Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
63220 Shoe repairers and shoemakers,410,270,145
63221 Upholsterers,"1,545","1,170",375
64 Sales and service representatives and other customer and personal services occupations,"550,670","238,255","312,420"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"306,940","141,915","165,030"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"306,940","141,915","165,030"
64100 Retail salespersons and visual merchandisers,"277,040","122,400","154,640"
64101 Sales and account representatives - wholesale trade (non-technical),"29,905","19,515","10,390"
642 Occupations in personal service,"7,065","1,235","5,825"
6420 Occupations in personal service,"7,065","1,235","5,825"
"64200 Tailors, dressmakers, furriers and milliners","5,940",935,"5,005"
"64201 Image, social and other personal consultants","1,125",295,825
"643 Occupations in food, accommodation and tourism","48,180","14,335","33,845"
6430 Occupations in food and beverage service,"19,930","5,340","14,595"
64300 Maîtres d'hôtel and hosts/hostesses,"8,070",875,"7,200"
64301 Bartenders,"11,860","4,465","7,395"
6431 Occupations in travel and accommodation,"23,840","6,435","17,400"
64310 Travel counsellors,"8,950","1,845","7,105"
64311 Pursers and flight attendants,"4,620",870,"3,750"
64312 Airline ticket and service agents,"4,545","1,530","3,015"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",515,220,300
64314 Hotel front desk clerks,"5,210","1,975","3,235"
6432 Tourism and amusement services occupations,"4,405","2,555","1,855"
64320 Tour and travel guides,780,410,370
64321 Casino workers,"3,230","1,830","1,400"
64322 Outdoor sport and recreational guides,395,310,85
"644 Occupations in customer, information and protective services","188,490","80,775","107,715"
6440 Customer and information services representatives,"141,570","45,485","96,090"
64400 Customer services representatives - financial institutions,"26,520","7,550","18,970"
64401 Postal services representatives,"3,040","1,030","2,005"
64409 Other customer and information services representatives,"112,015","36,900","75,110"
6441 Security guards and related security service occupations,"46,920","35,295","11,625"
64410 Security guards and related security service occupations,"46,920","35,295","11,625"
65 Sales and service support occupations,"723,440","280,305","443,140"
651 Sales support occupations,"272,290","109,610","162,675"
6510 Cashiers and other sales support occupations,"272,290","109,610","162,675"
65100 Cashiers,"155,350","34,165","121,185"
65101 Service station attendants,"2,790","2,095",695
"65102 Store shelf stockers, clerks and order fillers","102,290","69,110","33,180"
65109 Other sales related occupations,"11,860","4,245","7,615"
"652 Support occupations in food, accommodation and tourism","266,120","94,610","171,515"
6520 Food support occupations,"236,935","82,375","154,560"
65200 Food and beverage servers,"48,750","12,190","36,560"
"65201 Food counter attendants, kitchen helpers and related support occupations","185,900","68,145","117,760"
65202 Meat cutters and fishmongers - retail and wholesale,"2,280","2,045",240
"6521 Support occupations in accommodation, travel, tourism and amusement services","15,060","9,815","5,250"
"65210 Support occupations in accommodation, travel and facilities set-up services","1,145",900,250
"65211 Operators and attendants in amusement, recreation and sport","13,910","8,915","5,000"
6522 Support occupations in personal services,"14,125","2,425","11,705"
65220 Pet groomers and animal care workers,"12,925","2,255","10,665"
65229 Other support occupations in personal services,"1,205",165,"1,040"
653 Support occupations in cleaning and related services,"185,030","76,080","108,950"
6531 Cleaners,"166,525","67,785","98,735"
65310 Light duty cleaners,"105,565","26,715","78,855"
65311 Specialized cleaners,"15,615","13,310","2,310"
"65312 Janitors, caretakers and heavy-duty cleaners","45,345","27,765","17,575"
6532 Service support and related occupations,"18,510","8,295","10,215"
"65320 Dry cleaning, laundry and related occupations","6,550","1,745","4,805"
65329 Other service support occupations,"11,955","6,545","5,410"
"7 Trades, transport and equipment operators and related occupations","1,278,455","1,153,435","125,020"
70 Middle management occupations in trades and transportation,"123,390","101,905","21,480"
700 Middle management occupations in trades and transportation,"123,390","101,905","21,480"
7001 Managers in construction and facility operation and maintenance,"103,915","87,650","16,265"
70010 Construction managers,"38,175","32,650","5,530"
70011 Home building and renovation managers,"31,140","29,320","1,820"
70012 Facility operation and maintenance managers,"34,595","25,680","8,920"
7002 Managers in transportation and postal and courier services,"19,475","14,255","5,220"
70020 Managers in transportation,"17,510","13,015","4,500"
70021 Postal and courier services managers,"1,965","1,250",720
72 Technical trades and transportation officers and controllers,"457,035","438,610","18,425"
720 Technical trades contractors and supervisors,"77,485","70,450","7,035"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","43,950","41,410","2,535"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","5,130","4,855",280
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","9,495","8,875",615
"72012 Contractors and supervisors, pipefitting trades","2,685","2,585",100
"72013 Contractors and supervisors, carpentry trades","5,900","5,730",170
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","20,735","19,360","1,370"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","33,535","29,040","4,500"
"72020 Contractors and supervisors, mechanic trades","9,290","8,880",410
"72021 Contractors and supervisors, heavy equipment operator crews","15,360","14,760",600
"72022 Supervisors, printing and related occupations",890,560,340
"72023 Supervisors, railway transport operations",350,310,40
"72024 Supervisors, motor transport and other ground transit operators","4,865","3,170","1,695"
"72025 Supervisors, mail and message distribution occupations","2,775","1,355","1,420"
721 Technical industrial trades,"68,345","65,235","3,115"
"7210 Machining, metal forming, shaping and erecting trades","68,345","65,235","3,115"
72100 Machinists and machining and tooling inspectors,"15,000","14,340",655
72101 Tool and die makers,"8,200","7,960",235
72102 Sheet metal workers,"6,775","6,685",90
72103 Boilermakers,"1,255","1,220",30
72104 Structural metal and platework fabricators and fitters,"2,395","2,330",65
72105 Ironworkers,"4,605","4,525",80
72106 Welders and related machine operators,"30,130","28,170","1,955"
722 Technical electrical trades,"62,515","60,825","1,690"
7220 Technical electrical trades and electrical power line and telecommunications workers,"62,515","60,825","1,690"
72200 Electricians (except industrial and power system),"35,920","35,350",570
72201 Industrial electricians,"8,720","8,590",130
72202 Power system electricians,"1,870","1,790",75
72203 Electrical power line and cable workers,"4,300","4,260",50
72204 Telecommunications line and cable installers and repairers,"4,760","4,570",190
72205 Telecommunications equipment installation and cable television service technicians,"6,940","6,275",675
723 Technical construction trades,"96,045","93,825","2,220"
"7230 Plumbers, pipefitters and gas fitters","28,530","28,145",385
72300 Plumbers,"18,785","18,605",185
"72301 Steamfitters, pipefitters and sprinkler system installers","5,685","5,605",80
72302 Gas fitters,"4,060","3,935",125
7231 Carpenters and cabinetmakers,"56,280","54,690","1,595"
72310 Carpenters,"50,745","49,550","1,195"
72311 Cabinetmakers,"5,530","5,135",395
7232 Bricklayers and insulators,"11,230","10,995",235
72320 Bricklayers,"8,425","8,345",80
72321 Insulators,"2,805","2,650",155
724 Technical maintenance trades,"135,725","132,760","2,965"
7240 Machinery and transportation equipment mechanics (except motor vehicles),"59,510","58,365","1,140"
72400 Construction millwrights and industrial mechanics,"25,145","24,700",445
72401 Heavy-duty equipment mechanics,"8,625","8,545",75
"72402 Heating, refrigeration and air conditioning mechanics","15,830","15,555",275
72403 Railway carmen/women,975,955,20
72404 Aircraft mechanics and aircraft inspectors,"5,345","5,065",270
72405 Machine fitters,820,790,30
72406 Elevator constructors and mechanics,"2,770","2,755",15
7241 Automotive service technicians,"68,570","66,925","1,650"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","57,900","56,830","1,065"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","10,670","10,095",580
7242 Small engine and equipment mechanics and related repairers (including electrical components),"7,645","7,470",175
72420 Oil and solid fuel heating mechanics,410,400,10
72421 Appliance servicers and repairers,"2,255","2,215",45
72422 Electrical mechanics,"1,375","1,300",80
"72423 Motorcycle, all-terrain vehicle and other related mechanics","2,460","2,430",35
72429 Other small engine and small equipment repairers,"1,140","1,130",10
725 Technical equipment operation trades,"5,450","5,345",105
7250 Crane operators and water well drillers,"5,450","5,345",105
72500 Crane operators,"5,150","5,055",95
72501 Water well drillers,300,295,10
726 Transportation officers and controllers,"8,715","7,735",980
7260 Transportation officers and controllers,"8,715","7,735",980
"72600 Air pilots, flight engineers and flying instructors","5,890","5,490",405
72601 Air traffic controllers and related occupations,"1,335","1,045",290
"72602 Deck officers, water transport",890,730,165
"72603 Engineer officers, water transport",165,160,15
72604 Railway traffic controllers and marine traffic regulators,435,325,110
729 Other technical trades,"2,750","2,430",320
7299 Other technical trades,"2,750","2,430",320
72999 Other technical trades and related occupations,"2,750","2,430",320
73 General trades,"335,605","304,315","31,290"
731 General construction trades,"52,540","48,950","3,585"
"7310 Concrete finishers, tilesetters and plasterers","18,085","17,615",470
73100 Concrete finishers,"3,155","3,120",40
73101 Tilesetters,"3,345","3,270",75
"73102 Plasterers, drywall installers and finishers and lathers","11,580","11,220",360
"7311 Roofers, glaziers, painters, decorators and floor covering installers","34,455","31,335","3,115"
73110 Roofers and shinglers,"9,110","8,970",140
73111 Glaziers,"2,440","2,365",75
73112 Painters and decorators (except interior decorators),"17,685","14,960","2,725"
73113 Floor covering installers,"5,215","5,040",180
"732 Building maintenance installers, servicers and repairers","72,700","66,530","6,165"
"7320 Building maintenance installers, servicers and repairers","72,700","66,530","6,165"
73200 Residential and commercial installers and servicers,"22,975","21,930","1,040"
73201 General building maintenance workers and building superintendents,"44,310","39,560","4,745"
73202 Pest controllers and fumigators,"1,890","1,740",150
73209 Other repairers and servicers,"3,525","3,300",230
733 Transportation occupations,"177,935","158,220","19,720"
7330 Transport truck and transit drivers,"174,865","155,355","19,515"
73300 Transport truck drivers,"134,600","129,235","5,360"
"73301 Bus drivers, subway operators and other transit operators","40,265","26,115","14,150"
7331 Train crew operating occupations,"3,075","2,865",205
73310 Railway and yard locomotive engineers,"1,605","1,495",110
73311 Railway conductors and brakemen/women,"1,465","1,370",95
"734 Operators, drillers and blasters","32,435","30,615","1,815"
"7340 Operators, drillers and blasters","32,435","30,615","1,815"
73400 Heavy equipment operators,"23,820","23,125",705
73401 Printing press operators,"7,220","6,115","1,105"
"73402 Drillers and blasters - surface mining, quarrying and construction","1,385","1,380",0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","63,310","48,865","14,440"
741 Mail and message distribution occupations,"42,990","29,900","13,085"
7410 Mail and message distribution occupations,"42,990","29,900","13,085"
74100 Mail and parcel sorters and related occupations,"11,690","6,440","5,255"
74101 Letter carriers,"13,510","8,465","5,045"
74102 Couriers and messengers,"17,790","14,995","2,790"
"742 Transport equipment operators, utility maintenance and related workers","20,315","18,965","1,355"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","20,315","18,965","1,355"
74200 Railway yard and track maintenance workers,"2,055","1,990",65
74201 Water transport deck and engine room crew,555,465,90
74202 Air transport ramp attendants,"3,890","3,415",480
74203 Automotive and heavy truck and equipment parts installers and servicers,"5,185","4,935",245
74204 Utility maintenance workers,"2,670","2,460",210
74205 Public works maintenance equipment operators and related workers,"5,960","5,695",265
"75 Helpers and labourers and other transport drivers, operators and labourers","299,115","259,735","39,380"
751 Helpers and labourers,"205,100","176,960","28,135"
7510 Longshore workers and material handlers,"106,250","83,635","22,615"
75100 Longshore workers,295,280,15
75101 Material handlers,"105,950","83,350","22,600"
7511 Trades helpers and labourers,"98,850","93,325","5,520"
75110 Construction trades helpers and labourers,"93,560","88,450","5,110"
75119 Other trades helpers and labourers,"5,285","4,870",410
"752 Transport drivers, operators and labourers","94,020","82,780","11,240"
"7520 Taxi, personal service and delivery service drivers","83,200","73,400","9,800"
75200 Taxi and limousine drivers and chauffeurs,"32,735","30,365","2,370"
75201 Delivery service drivers and door-to-door distributors,"50,460","43,035","7,430"
7521 Water and rail transport operators and labourers and related occupations,"10,820","9,380","1,445"
75210 Boat and cable ferry operators and related occupations,550,435,115
75211 Railway and motor transport labourers,"1,255","1,055",200
75212 Public works and maintenance labourers,"9,015","7,890","1,125"
"8 Natural resources, agriculture and related production occupations","168,470","126,660","41,815"
80 Middle management occupations in production and agriculture,"47,085","33,560","13,525"
800 Middle management occupations in production and agriculture,"47,085","33,560","13,525"
8001 Managers in natural resources production and fishing,"1,795","1,590",205
80010 Managers in natural resources production and fishing,"1,795","1,590",205
"8002 Managers in agriculture, horticulture and aquaculture","45,290","31,970","13,320"
80020 Managers in agriculture,"43,635","30,910","12,725"
80021 Managers in horticulture,"1,605","1,025",580
80022 Managers in aquaculture,55,40,15
"82 Supervisors in natural resources, agriculture and related production","15,480","13,865","1,620"
"820 Supervisors in natural resources, agriculture and related production","15,480","13,865","1,620"
"8201 Supervisors, logging and forestry","1,210","1,175",35
"82010 Supervisors, logging and forestry","1,210","1,175",35
"8202 Contractors and supervisors, mining, oil and gas","3,195","3,060",140
"82020 Supervisors, mining and quarrying","2,940","2,825",120
"82021 Contractors and supervisors, oil and gas drilling and services",255,235,20
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","11,070","9,630","1,440"
82030 Agricultural service contractors and farm supervisors,"1,015",700,315
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","10,055","8,930","1,125"
83 Occupations in natural resources and related production,"7,635","7,060",570
831 Occupations in natural resources and fisheries,"7,635","7,060",570
"8310 Underground miners, oil and gas drillers and related occupations","6,630","6,105",525
83100 Underground production and development miners,"5,620","5,430",185
"83101 Oil and gas well drillers, servicers, testers and related workers","1,010",670,340
8311 Logging machinery operators,795,760,40
83110 Logging machinery operators,795,760,40
8312 Fishing vessel masters and fishermen/women,210,200,10
83120 Fishing masters and officers,40,40,0
83121 Fishermen/women,170,165,10
"84 Workers in natural resources, agriculture and related production","16,330","12,400","3,930"
841 Workers in natural resources and fisheries,"16,330","12,400","3,930"
8410 Mine service workers and operators in oil and gas drilling,"1,685","1,600",85
84100 Underground mine service and support workers,"1,495","1,410",85
84101 Oil and gas well drilling and related workers and services operators,185,185,0
8411 Logging and forestry workers,"2,605","2,325",280
84110 Chain saw and skidder operators,"1,370","1,310",65
84111 Silviculture and forestry workers,"1,235","1,020",215
8412 Workers in agriculture and fishing occupations,"12,045","8,475","3,570"
84120 Specialized livestock workers and farm machinery operators,"11,860","8,310","3,550"
84121 Fishing vessel deckhands,185,165,20
"85 Harvesting, landscaping and natural resources labourers","81,940","59,775","22,160"
"851 Harvesting, landscaping and natural resources labourers","81,940","59,775","22,160"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","23,565","11,635","11,935"
85100 Livestock labourers,"10,835","5,545","5,295"
85101 Harvesting labourers,"4,735","2,465","2,270"
85102 Aquaculture and marine harvest labourers,105,55,45
85103 Nursery and greenhouse labourers,"7,780","3,480","4,305"
85104 Trappers and hunters,105,90,20
"8511 Mine and oil and gas drilling, services and related labourers",955,850,105
85110 Mine labourers,840,750,90
"85111 Oil and gas drilling, servicing and related labourers",110,100,15
"8512 Logging, forestry, landscaping and other related labourers","57,415","47,295","10,125"
85120 Logging and forestry labourers,"1,755","1,100",660
85121 Landscaping and grounds maintenance labourers,"55,660","46,200","9,465"
9 Occupations in manufacturing and utilities,"405,660","273,785","131,870"
90 Middle management occupations in manufacturing and utilities,"37,880","29,770","8,110"
900 Middle management occupations in manufacturing and utilities,"37,880","29,770","8,110"
9001 Managers in manufacturing and utilities,"37,880","29,770","8,110"
90010 Manufacturing managers,"33,290","26,100","7,185"
90011 Utilities managers,"4,595","3,670",925
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","42,435","34,510","7,925"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","28,670","22,075","6,595"
"9201 Supervisors, processing and manufacturing occupations","16,560","12,505","4,060"
"92010 Supervisors, mineral and metal processing","2,330","2,205",125
"92011 Supervisors, petroleum, gas and chemical processing and utilities","4,565","3,615",955
"92012 Supervisors, food and beverage processing","6,150","3,955","2,195"
"92013 Supervisors, plastic and rubber products manufacturing","1,785","1,405",380
"92014 Supervisors, forest products processing","1,320","1,165",160
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",410,165,245
"9202 Supervisors, assembly and fabrication","12,100","9,565","2,535"
"92020 Supervisors, motor vehicle assembling","8,000","6,290","1,715"
"92021 Supervisors, electronics and electrical products manufacturing","1,230",820,405
"92022 Supervisors, furniture and fixtures manufacturing",630,530,95
"92023 Supervisors, other mechanical and metal products manufacturing","1,110",990,120
"92024 Supervisors, other products manufacturing and assembly","1,140",940,200
921 Utilities equipment operators and controllers,"13,770","12,435","1,330"
9210 Utilities equipment operators and controllers,"13,770","12,435","1,330"
92100 Power engineers and power systems operators,"8,655","7,990",665
92101 Water and waste treatment plant operators,"5,115","4,445",665
93 Central control and process operators and aircraft assembly assemblers and inspectors,"8,685","7,355","1,330"
931 Central control and process operators in processing and manufacturing,"7,010","6,115",900
9310 Central control and process operators in processing and manufacturing,"7,010","6,115",900
"93100 Central control and process operators, mineral and metal processing",935,910,25
"93101 Central control and process operators, petroleum, gas and chemical processing","5,945","5,080",860
"93102 Pulping, papermaking and coating control operators",135,120,10
932 Aircraft assemblers and aircraft assembly inspectors,"1,670","1,240",430
9320 Aircraft assemblers and aircraft assembly inspectors,"1,670","1,240",430
93200 Aircraft assemblers and aircraft assembly inspectors,"1,670","1,240",430
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","193,895","132,420","61,475"
941 Processing and manufacturing machine operators and related production workers,"82,785","56,360","26,425"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"18,420","16,715","1,705"
"94100 Machine operators, mineral and metal processing","2,365","2,215",145
94101 Foundry workers,685,655,30
94102 Glass forming and finishing machine operators and glass cutters,925,810,110
"94103 Concrete, clay and stone forming operators","1,480","1,395",80
"94104 Inspectors and testers, mineral and metal processing","1,015",775,240
94105 Metalworking and forging machine operators,"5,765","5,315",450
94106 Machining tool operators,"4,865","4,435",430
94107 Machine operators of other metal products,"1,325","1,105",220
"9411 Machine operators and related workers in chemical, plastic and rubber processing","11,715","8,500","3,215"
94110 Chemical plant machine operators,"2,870","2,130",740
94111 Plastics processing machine operators,"7,420","5,210","2,215"
94112 Rubber processing machine operators and related workers,"1,420","1,165",260
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"5,560","4,730",830
94120 Sawmill machine operators,"1,000",940,60
"94121 Pulp mill, papermaking and finishing machine operators",935,830,105
94122 Paper converting machine operators,"1,120",890,225
94123 Lumber graders and other wood processing inspectors and graders,200,140,65
94124 Woodworking machine operators,"1,935","1,610",325
94129 Other wood processing machine operators,375,320,55
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","9,305","1,635","7,670"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","1,035",530,500
"94131 Weavers, knitters and other fabric making occupations",965,280,685
94132 Industrial sewing machine operators,"6,685",715,"5,970"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",625,110,515
"9414 Machine operators and related workers in food, beverage and associated products processing","31,215","20,610","10,610"
"94140 Process control and machine operators, food and beverage processing","23,400","16,040","7,360"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","4,385","3,190","1,195"
94142 Fish and seafood plant workers,435,250,180
"94143 Testers and graders, food and beverage processing","3,000","1,120","1,875"
9415 Printing equipment operators and related occupations,"6,565","4,165","2,400"
94150 Plateless printing equipment operators,"3,480","2,310","1,170"
"94151 Camera, platemaking and other prepress occupations",980,700,280
94152 Binding and finishing machine operators,"1,615",925,690
94153 Photographic and film processors,490,235,255
942 Assemblers and inspectors in manufacturing,"111,110","76,060","35,050"
"9420 Mechanical, electrical and electronics assemblers and inspectors","83,305","54,585","28,725"
"94200 Motor vehicle assemblers, inspectors and testers","67,485","44,440","23,045"
"94201 Electronics assemblers, fabricators, inspectors and testers","6,470","2,970","3,500"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","3,280","2,230","1,050"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","1,070",795,270
94204 Mechanical assemblers and inspectors,"4,700","3,910",785
"94205 Machine operators and inspectors, electrical apparatus manufacturing",305,230,70
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","27,805","21,470","6,330"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","7,635","6,075","1,560"
94211 Assemblers and inspectors of other wood products,"2,900","2,645",255
"94212 Plastic products assemblers, finishers and inspectors","2,685","1,370","1,320"
"94213 Industrial painters, coaters and metal finishing process operators","6,070","5,225",850
"94219 Other products assemblers, finishers and inspectors","8,505","6,165","2,340"
"95 Labourers in processing, manufacturing and utilities","122,765","69,740","53,025"
"951 Labourers in processing, manufacturing and utilities","122,765","69,740","53,025"
"9510 Labourers in processing, manufacturing and utilities","122,765","69,740","53,025"
95100 Labourers in mineral and metal processing,"5,620","5,170",450
95101 Labourers in metal fabrication,"5,630","4,805",820
95102 Labourers in chemical products processing and utilities,"3,630","2,085","1,545"
"95103 Labourers in wood, pulp and paper processing","4,470","3,630",840
95104 Labourers in rubber and plastic products manufacturing,"4,075","2,500","1,575"
95105 Labourers in textile processing and cutting,"2,945","1,085","1,860"
95106 Labourers in food and beverage processing,"40,320","18,740","21,580"
95107 Labourers in fish and seafood processing,250,135,115
"95109 Other labourers in processing, manufacturing and utilities","55,835","31,590","24,245"
