Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"20 Specialized middle management occupations in engineering, architecture, science and information systems","65,230","47,260","17,965"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","65,230","47,260","17,965"
"2001 Managers in engineering, architecture, science and information systems","65,230","47,260","17,965"
20010 Engineering managers,"14,500","11,890","2,610"
20011 Architecture and science managers,"6,805","3,540","3,270"
20012 Computer and information systems managers,"43,920","31,830","12,090"
21 Professional occupations in natural and applied sciences,"439,790","321,740","118,050"
211 Professional occupations in natural sciences,"36,205","18,050","18,155"
2110 Physical science professionals,"12,325","7,210","5,115"
21100 Physicists and astronomers,"1,150",890,260
21101 Chemists,"7,850","4,010","3,835"
21102 Geoscientists and oceanographers,"2,855","2,010",840
21103 Meteorologists and climatologists,210,145,70
21109 Other professional occupations in physical sciences,255,155,105
2111 Life science professionals,"16,330","7,060","9,265"
21110 Biologists and related scientists,"14,340","5,620","8,720"
21111 Forestry professionals,700,565,140
"21112 Agricultural representatives, consultants and specialists","1,285",875,415
2112 Public and environmental health and safety professionals,"7,555","3,785","3,770"
21120 Public and environmental health and safety professionals,"7,555","3,785","3,770"
212 Professional occupations in applied sciences (except engineering),"296,835","213,440","83,395"
"2120 Architects, urban planners and land surveyors","20,485","12,770","7,715"
21200 Architects,"8,790","5,650","3,140"
21201 Landscape architects,990,525,470
21202 Urban and land use planners,"8,605","4,640","3,965"
21203 Land surveyors,"2,100","1,965",135
"2121 Mathematicians, statisticians, actuaries and data scientists","15,835","9,790","6,050"
"21210 Mathematicians, statisticians and actuaries","7,075","3,710","3,365"
21211 Data scientists,"8,765","6,075","2,685"
2122 Computer and information systems professionals,"110,905","75,010","35,900"
21220 Cybersecurity specialists,"8,235","6,585","1,655"
21221 Business systems specialists,"17,860","9,730","8,135"
21222 Information systems specialists,"72,940","51,720","21,220"
21223 Database analysts and data administrators,"11,865","6,975","4,890"
"2123 Computer, software and Web designers and developers","149,600","115,875","33,735"
21230 Computer systems developers and programmers,"17,375","13,355","4,025"
21231 Software engineers and designers,"50,800","40,830","9,970"
21232 Software developers and programmers,"48,485","38,455","10,030"
21233 Web designers,"6,400","3,625","2,780"
21234 Web developers and programmers,"26,535","19,605","6,930"
213 Professional occupations in engineering,"106,750","90,245","16,505"
2130 Civil and mechanical engineers,"52,035","44,380","7,660"
21300 Civil engineers,"26,805","21,815","4,985"
21301 Mechanical engineers,"25,235","22,555","2,675"
"2131 Electrical, electronics and computer engineers","34,880","30,405","4,470"
21310 Electrical and electronics engineers,"20,650","17,980","2,665"
21311 Computer engineers (except software engineers and designers),"14,235","12,425","1,805"
2132 Manufacturing and processing engineers,"13,325","10,005","3,325"
21320 Chemical engineers,"4,515","3,050","1,460"
21321 Industrial and manufacturing engineers,"7,740","6,060","1,680"
21322 Metallurgical and materials engineers,"1,075",890,185
2133 Natural resources engineers,"2,385","2,010",380
21330 Mining engineers,"1,185","1,000",190
21331 Geological engineers,910,750,160
21332 Petroleum engineers,290,260,30
2139 Other engineers,"4,125","3,455",670
21390 Aerospace engineers,"2,275","2,020",255
21399 Other professional engineers,"1,855","1,440",415
22 Technical occupations related to natural and applied sciences,"213,390","168,175","45,215"
221 Technical occupations related to natural sciences,"23,765","15,535","8,235"
2210 Technical occupations in physical sciences,"6,895","4,115","2,780"
22100 Chemical technologists and technicians,"4,935","2,490","2,450"
22101 Geological and mineral technologists and technicians,"1,960","1,620",340
2211 Technical occupations in life sciences,"16,875","11,425","5,445"
22110 Biological technologists and technicians,"3,280","1,495","1,785"
22111 Agricultural and fish products inspectors,"1,175",625,545
22112 Forestry technologists and technicians,"1,035",795,235
22113 Conservation and fishery officers,730,530,200
22114 Landscape and horticulture technicians and specialists,"10,655","7,980","2,675"
222 Technical occupations related to applied sciences (except engineering),"101,995","74,290","27,705"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","22,795","15,080","7,720"
22210 Architectural technologists and technicians,"5,970","3,720","2,255"
22211 Industrial designers,"4,950","2,950","2,000"
22212 Drafting technologists and technicians,"8,535","6,190","2,350"
22213 Land survey technologists and technicians,525,475,55
22214 Technical occupations in geomatics and meteorology,"2,810","1,745","1,065"
2222 Technical occupations in computer and information systems,"62,395","46,825","15,570"
22220 Computer network and web technicians,"27,975","23,010","4,970"
22221 User support technicians,"29,580","21,025","8,555"
22222 Information systems testing technicians,"4,840","2,795","2,045"
2223 Technical inspectors and regulatory officers,"16,805","12,390","4,415"
22230 Non-destructive testers and inspectors,"1,520","1,430",90
22231 Engineering inspectors and regulatory officers,"2,615","1,880",740
22232 Occupational health and safety specialists,"7,155","4,350","2,800"
22233 Construction inspectors,"5,515","4,730",785
223 Technical occupations related to engineering,"87,625","78,345","9,280"
"2230 Technical occupations in civil, mechanical and industrial engineering","41,300","35,820","5,480"
22300 Civil engineering technologists and technicians,"6,755","5,470","1,290"
22301 Mechanical engineering technologists and technicians,"15,605","14,620",990
22302 Industrial engineering and manufacturing technologists and technicians,"8,865","7,295","1,565"
22303 Construction estimators,"10,075","8,440","1,635"
2231 Technical occupations in electronics and electrical engineering,"46,325","42,530","3,800"
22310 Electrical and electronics engineering technologists and technicians,"17,900","15,905","2,000"
22311 Electronic service technicians (household and business equipment),"25,060","23,510","1,550"
22312 Industrial instrument technicians and mechanics,"1,535","1,420",120
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","1,825","1,690",130
3 Health occupations,"578,200","115,790","462,405"
30 Specialized middle management occupations in health care,"15,645","3,790","11,855"
300 Specialized middle management occupations in health care,"15,645","3,790","11,855"
3001 Managers in health care,"15,645","3,790","11,855"
30010 Managers in health care,"15,645","3,790","11,855"
31 Professional occupations in health,"254,490","61,675","192,810"
311 Health treating and consultation services professionals,"86,985","40,140","46,845"
3110 Physicians and veterinarians,"48,295","25,670","22,625"
31100 Specialists in clinical and laboratory medicine,"15,620","8,830","6,790"
31101 Specialists in surgery,"4,590","3,125","1,465"
31102 General practitioners and family physicians,"23,490","12,055","11,435"
31103 Veterinarians,"4,595","1,670","2,930"
"3111 Dentists, optometrists and audiologists","17,715","7,555","10,155"
31110 Dentists,"10,545","6,070","4,475"
31111 Optometrists,"2,805","1,155","1,650"
31112 Audiologists and speech-language pathologists,"4,370",335,"4,035"
3112 Pharmacists and dietitians,"20,975","6,910","14,065"
31120 Pharmacists,"16,265","6,690","9,575"
31121 Dietitians and nutritionists,"4,710",220,"4,490"
312 Therapy and assessment professionals,"32,830","9,265","23,560"
3120 Therapy and assessment professionals,"32,830","9,265","23,560"
31200 Psychologists,"4,785","1,150","3,635"
31201 Chiropractors,"4,800","2,800","2,000"
31202 Physiotherapists,"10,520","3,030","7,490"
31203 Occupational therapists,"5,880",510,"5,370"
31204 Kinesiologists and other professional occupations in therapy and assessment,"4,250","1,055","3,200"
31209 Other professional occupations in health diagnosing and treating,"2,590",725,"1,865"
313 Nursing and allied health professionals,"134,675","12,265","122,410"
3130 Nursing and allied health professionals,"134,675","12,265","122,410"
31300 Nursing coordinators and supervisors,"5,915",420,"5,495"
31301 Registered nurses and registered psychiatric nurses,"123,505","11,215","112,295"
31302 Nurse practitioners,"3,630",285,"3,340"
"31303 Physician assistants, midwives and allied health professionals","1,625",350,"1,275"
32 Technical occupations in health,"122,885","27,070","95,815"
321 Technical occupations in health (except practitioners of natural healing),"104,800","23,105","81,695"
3210 Technical occupations in therapy and assessment,"59,715","14,765","44,945"
32100 Opticians,"3,790","1,500","2,290"
32101 Licensed practical nurses,"24,200","2,660","21,540"
32102 Paramedical occupations,"11,745","7,405","4,340"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","4,080","1,225","2,855"
32104 Animal health technologists and veterinary technicians,"8,365",550,"7,820"
32109 Other technical occupations in therapy and assessment,"7,540","1,425","6,110"
3211 Technical occupations in dental health care,"15,560","2,075","13,485"
32110 Denturists,720,470,250
32111 Dental hygienists and dental therapists,"12,680",300,"12,375"
32112 Dental technologists and technicians,"2,160","1,300",860
3212 Medical technologists and technicians,"29,530","6,265","23,255"
32120 Medical laboratory technologists,"6,830","1,590","5,240"
32121 Medical radiation technologists,"6,930","1,680","5,250"
32122 Medical sonographers,"3,655",510,"3,140"
32123 Cardiology technologists and electrophysiological diagnostic technologists,"1,135",235,895
32124 Pharmacy technicians,"9,135","1,405","7,730"
32129 Other medical technologists and technicians,"1,845",845,995
322 Practitioners of natural healing,"18,085","3,970","14,120"
3220 Practitioners of natural healing,"18,085","3,970","14,120"
32200 Traditional Chinese medicine practitioners and acupuncturists,"1,555",655,900
32201 Massage therapists,"13,745","2,800","10,950"
32209 Other practitioners of natural healing,"2,785",510,"2,270"
33 Assisting occupations in support of health services,"185,175","23,255","161,925"
331 Assisting occupations in support of health services,"185,175","23,255","161,925"
3310 Assisting occupations in support of health services,"185,175","23,255","161,925"
33100 Dental assistants and dental laboratory assistants,"14,815",490,"14,325"
33101 Medical laboratory assistants and related technical occupations,"7,135","1,105","6,025"
"33102 Nurse aides, orderlies and patient service associates","135,320","16,110","119,210"
33103 Pharmacy technical assistants and pharmacy assistants,"12,915","2,125","10,790"
33109 Other assisting occupations in support of health services,"14,990","3,420","11,570"
"4 Occupations in education, law and social, community and government services","957,480","316,155","641,320"
"40 Managers in public administration, in education and social and community services and in public protection services","52,140","21,995","30,140"
"400 Managers in public administration, in education and social and community services and in public protection services","52,140","21,995","30,140"
4001 Managers in public administration,"10,630","4,795","5,835"
40010 Government managers - health and social policy development and program administration,"3,190","1,070","2,115"
"40011 Government managers - economic analysis, policy development and program administration","5,020","2,485","2,540"
40012 Government managers - education policy development and program administration,705,260,450
40019 Other managers in public administration,"1,710",980,730
4002 Managers in education,"19,815","6,775","13,040"
40020 Administrators - post-secondary education and vocational training,"6,665","2,120","4,545"
40021 School principals and administrators of elementary and secondary education,"13,150","4,655","8,490"
"4003 Managers in social, community and correctional services","12,085","2,915","9,165"
"40030 Managers in social, community and correctional services","12,085","2,915","9,165"
4004 Managers in public protection services,"9,610","7,510","2,100"
40040 Commissioned police officers and related occupations in public protection services,710,495,215
40041 Fire chiefs and senior firefighting officers,925,815,110
40042 Commissioned officers of the Canadian Armed Forces,"7,980","6,200","1,780"
"41 Professional occupations in law, education, social, community and government services","542,935","194,570","348,365"
411 Professional occupations in law,"47,035","25,825","21,210"
"4110 Judges, lawyers and Quebec notaries","47,035","25,825","21,210"
41100 Judges,905,545,360
41101 Lawyers and Quebec notaries,"46,120","25,275","20,850"
412 Professional occupations in education services,"316,840","103,545","213,295"
4120 University professors and post-secondary assistants,"81,670","39,015","42,655"
41200 University professors and lecturers,"29,480","16,605","12,880"
41201 Post-secondary teaching and research assistants,"52,190","22,410","29,780"
4121 College and other vocational instructors,"35,285","16,500","18,790"
