Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
70010 Construction managers,"2,985","2,590",395
70011 Home building and renovation managers,"1,895","1,810",85
70012 Facility operation and maintenance managers,"2,960","2,195",760
7002 Managers in transportation and postal and courier services,"1,950","1,520",435
70020 Managers in transportation,"1,760","1,385",375
70021 Postal and courier services managers,195,135,60
72 Technical trades and transportation officers and controllers,"51,425","49,455","1,970"
720 Technical trades contractors and supervisors,"8,340","7,640",700
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","4,340","4,165",175
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",505,490,15
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",900,855,50
"72012 Contractors and supervisors, pipefitting trades",285,270,25
"72013 Contractors and supervisors, carpentry trades",615,595,15
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","2,035","1,955",75
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","4,000","3,475",530
"72020 Contractors and supervisors, mechanic trades",950,930,25
"72021 Contractors and supervisors, heavy equipment operator crews","1,840","1,800",35
"72022 Supervisors, printing and related occupations",95,50,50
"72023 Supervisors, railway transport operations",85,65,20
"72024 Supervisors, motor transport and other ground transit operators",635,475,155
"72025 Supervisors, mail and message distribution occupations",395,150,250
721 Technical industrial trades,"6,885","6,725",160
"7210 Machining, metal forming, shaping and erecting trades","6,885","6,725",160
72100 Machinists and machining and tooling inspectors,"1,025","1,000",20
72101 Tool and die makers,185,180,0
72102 Sheet metal workers,745,715,30
72103 Boilermakers,105,105,0
72104 Structural metal and platework fabricators and fitters,185,185,0
72105 Ironworkers,390,390,0
72106 Welders and related machine operators,"4,245","4,145",105
722 Technical electrical trades,"7,080","6,925",160
7220 Technical electrical trades and electrical power line and telecommunications workers,"7,080","6,925",160
72200 Electricians (except industrial and power system),"4,440","4,385",55
72201 Industrial electricians,760,750,0
72202 Power system electricians,210,200,15
72203 Electrical power line and cable workers,680,675,0
72204 Telecommunications line and cable installers and repairers,435,410,20
72205 Telecommunications equipment installation and cable television service technicians,555,505,55
723 Technical construction trades,"11,155","10,835",320
"7230 Plumbers, pipefitters and gas fitters","3,075","3,025",50
72300 Plumbers,"2,365","2,330",30
"72301 Steamfitters, pipefitters and sprinkler system installers",495,485,0
72302 Gas fitters,220,205,10
7231 Carpenters and cabinetmakers,"7,425","7,180",245
72310 Carpenters,"6,785","6,630",160
72311 Cabinetmakers,635,555,80
7232 Bricklayers and insulators,650,620,30
72320 Bricklayers,325,315,0
72321 Insulators,335,305,30
724 Technical maintenance trades,"15,970","15,560",410
7240 Machinery and transportation equipment mechanics (except motor vehicles),"7,020","6,805",215
72400 Construction millwrights and industrial mechanics,"1,805","1,750",55
72401 Heavy-duty equipment mechanics,"2,335","2,310",20
"72402 Heating, refrigeration and air conditioning mechanics","1,205","1,170",30
72403 Railway carmen/women,290,275,15
72404 Aircraft mechanics and aircraft inspectors,"1,265","1,180",90
72405 Machine fitters,35,30,0
72406 Elevator constructors and mechanics,95,95,0
7241 Automotive service technicians,"8,355","8,175",175
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","6,695","6,620",70
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","1,660","1,550",105
7242 Small engine and equipment mechanics and related repairers (including electrical components),600,575,20
72420 Oil and solid fuel heating mechanics,0,0,0
72421 Appliance servicers and repairers,205,190,10
72422 Electrical mechanics,80,75,10
"72423 Motorcycle, all-terrain vehicle and other related mechanics",160,155,0
72429 Other small engine and small equipment repairers,150,150,0
725 Technical equipment operation trades,365,355,10
7250 Crane operators and water well drillers,365,355,10
72500 Crane operators,345,345,0
72501 Water well drillers,15,10,0
726 Transportation officers and controllers,"1,330","1,130",200
7260 Transportation officers and controllers,"1,330","1,130",200
"72600 Air pilots, flight engineers and flying instructors",875,755,120
72601 Air traffic controllers and related occupations,360,310,55
"72602 Deck officers, water transport",45,30,10
"72603 Engineer officers, water transport",0,0,0
72604 Railway traffic controllers and marine traffic regulators,45,35,10
729 Other technical trades,300,285,10
7299 Other technical trades,300,285,10
72999 Other technical trades and related occupations,300,285,10
73 General trades,"40,690","38,115","2,570"
731 General construction trades,"5,855","5,510",350
"7310 Concrete finishers, tilesetters and plasterers","2,055","2,005",55
73100 Concrete finishers,355,355,0
73101 Tilesetters,205,205,0
"73102 Plasterers, drywall installers and finishers and lathers","1,495","1,445",50
"7311 Roofers, glaziers, painters, decorators and floor covering installers","3,800","3,505",300
73110 Roofers and shinglers,"1,060","1,055",0
73111 Glaziers,210,205,0
73112 Painters and decorators (except interior decorators),"1,895","1,640",255
73113 Floor covering installers,635,600,35
"732 Building maintenance installers, servicers and repairers","6,910","6,505",405
"7320 Building maintenance installers, servicers and repairers","6,910","6,505",405
73200 Residential and commercial installers and servicers,"2,030","1,935",100
73201 General building maintenance workers and building superintendents,"4,305","4,060",250
73202 Pest controllers and fumigators,190,150,40
73209 Other repairers and servicers,375,355,20
733 Transportation occupations,"23,215","21,655","1,560"
7330 Transport truck and transit drivers,"22,135","20,615","1,525"
73300 Transport truck drivers,"18,370","17,715",655
"73301 Bus drivers, subway operators and other transit operators","3,770","2,900",865
7331 Train crew operating occupations,"1,080","1,045",40
73310 Railway and yard locomotive engineers,520,495,20
73311 Railway conductors and brakemen/women,565,545,20
"734 Operators, drillers and blasters","4,705","4,450",255
"7340 Operators, drillers and blasters","4,705","4,450",255
73400 Heavy equipment operators,"3,705","3,515",190
73401 Printing press operators,720,655,70
"73402 Drillers and blasters - surface mining, quarrying and construction",280,280,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","6,040","4,920","1,120"
741 Mail and message distribution occupations,"3,720","2,725",990
7410 Mail and message distribution occupations,"3,720","2,725",990
74100 Mail and parcel sorters and related occupations,"1,025",590,435
74101 Letter carriers,"1,020",660,360
74102 Couriers and messengers,"1,670","1,475",195
"742 Transport equipment operators, utility maintenance and related workers","2,320","2,200",125
"7420 Transport equipment operators, utility maintenance and related maintenance workers","2,320","2,200",125
74200 Railway yard and track maintenance workers,515,495,20
74201 Water transport deck and engine room crew,55,55,0
74202 Air transport ramp attendants,385,355,35
74203 Automotive and heavy truck and equipment parts installers and servicers,575,550,20
74204 Utility maintenance workers,360,345,15
74205 Public works maintenance equipment operators and related workers,425,390,30
"75 Helpers and labourers and other transport drivers, operators and labourers","26,475","23,820","2,650"
751 Helpers and labourers,"17,695","16,165","1,530"
7510 Longshore workers and material handlers,"7,145","6,315",825
75100 Longshore workers,15,15,0
75101 Material handlers,"7,130","6,300",825
7511 Trades helpers and labourers,"10,555","9,850",705
75110 Construction trades helpers and labourers,"9,815","9,165",650
75119 Other trades helpers and labourers,740,685,55
"752 Transport drivers, operators and labourers","8,780","7,655","1,120"
"7520 Taxi, personal service and delivery service drivers","6,840","5,940",900
75200 Taxi and limousine drivers and chauffeurs,"1,965","1,805",160
75201 Delivery service drivers and door-to-door distributors,"4,875","4,135",740
7521 Water and rail transport operators and labourers and related occupations,"1,935","1,720",220
75210 Boat and cable ferry operators and related occupations,50,50,0
75211 Railway and motor transport labourers,295,270,25
75212 Public works and maintenance labourers,"1,590","1,400",195
"8 Natural resources, agriculture and related production occupations","33,805","26,205","7,600"
80 Middle management occupations in production and agriculture,"15,025","11,600","3,430"
800 Middle management occupations in production and agriculture,"15,025","11,600","3,430"
8001 Managers in natural resources production and fishing,225,195,30
80010 Managers in natural resources production and fishing,225,195,30
"8002 Managers in agriculture, horticulture and aquaculture","14,800","11,405","3,400"
80020 Managers in agriculture,"14,595","11,295","3,300"
80021 Managers in horticulture,205,100,105
80022 Managers in aquaculture,0,0,0
"82 Supervisors in natural resources, agriculture and related production","1,720","1,610",110
"820 Supervisors in natural resources, agriculture and related production","1,720","1,610",110
"8201 Supervisors, logging and forestry",145,140,10
"82010 Supervisors, logging and forestry",145,140,10
"8202 Contractors and supervisors, mining, oil and gas",510,495,20
"82020 Supervisors, mining and quarrying",345,330,10
"82021 Contractors and supervisors, oil and gas drilling and services",165,160,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","1,060",975,85
82030 Agricultural service contractors and farm supervisors,190,165,25
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",870,810,60
83 Occupations in natural resources and related production,"1,380","1,255",120
831 Occupations in natural resources and fisheries,"1,380","1,255",120
"8310 Underground miners, oil and gas drillers and related occupations",965,910,55
83100 Underground production and development miners,710,685,25
"83101 Oil and gas well drillers, servicers, testers and related workers",260,230,30
8311 Logging machinery operators,130,125,0
83110 Logging machinery operators,130,125,0
8312 Fishing vessel masters and fishermen/women,280,220,60
83120 Fishing masters and officers,0,0,0
83121 Fishermen/women,280,220,60
"84 Workers in natural resources, agriculture and related production","5,345","4,280","1,065"
841 Workers in natural resources and fisheries,"5,345","4,280","1,065"
8410 Mine service workers and operators in oil and gas drilling,260,245,15
84100 Underground mine service and support workers,155,145,10
84101 Oil and gas well drilling and related workers and services operators,110,100,0
8411 Logging and forestry workers,450,410,40
84110 Chain saw and skidder operators,195,190,0
84111 Silviculture and forestry workers,255,220,35
8412 Workers in agriculture and fishing occupations,"4,640","3,620","1,010"
84120 Specialized livestock workers and farm machinery operators,"4,580","3,585","1,000"
84121 Fishing vessel deckhands,60,40,15
"85 Harvesting, landscaping and natural resources labourers","10,335","7,460","2,875"
"851 Harvesting, landscaping and natural resources labourers","10,335","7,460","2,875"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","3,825","2,015","1,815"
85100 Livestock labourers,"2,335","1,410",925
85101 Harvesting labourers,610,285,315
85102 Aquaculture and marine harvest labourers,10,10,0
85103 Nursery and greenhouse labourers,830,275,565
85104 Trappers and hunters,45,35,0
"8511 Mine and oil and gas drilling, services and related labourers",340,300,45
85110 Mine labourers,165,135,30
"85111 Oil and gas drilling, servicing and related labourers",175,160,15
"8512 Logging, forestry, landscaping and other related labourers","6,165","5,145","1,020"
85120 Logging and forestry labourers,140,105,35
85121 Landscaping and grounds maintenance labourers,"6,030","5,045",985
9 Occupations in manufacturing and utilities,"36,865","27,030","9,835"
90 Middle management occupations in manufacturing and utilities,"2,960","2,510",445
900 Middle management occupations in manufacturing and utilities,"2,960","2,510",445
9001 Managers in manufacturing and utilities,"2,960","2,510",445
90010 Manufacturing managers,"2,570","2,195",375
90011 Utilities managers,390,320,70
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","4,605","4,080",530
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","2,215","1,800",420
"9201 Supervisors, processing and manufacturing occupations","1,655","1,305",350
"92010 Supervisors, mineral and metal processing",175,160,10
"92011 Supervisors, petroleum, gas and chemical processing and utilities",470,400,75
"92012 Supervisors, food and beverage processing",720,525,195
"92013 Supervisors, plastic and rubber products manufacturing",110,70,45
"92014 Supervisors, forest products processing",130,125,0
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",50,25,20
"9202 Supervisors, assembly and fabrication",560,495,65
"92020 Supervisors, motor vehicle assembling",40,40,0
"92021 Supervisors, electronics and electrical products manufacturing",65,50,20
"92022 Supervisors, furniture and fixtures manufacturing",135,95,35
"92023 Supervisors, other mechanical and metal products manufacturing",255,245,10
"92024 Supervisors, other products manufacturing and assembly",70,70,0
921 Utilities equipment operators and controllers,"2,390","2,275",115
9210 Utilities equipment operators and controllers,"2,390","2,275",115
92100 Power engineers and power systems operators,"1,785","1,730",55
92101 Water and waste treatment plant operators,610,545,55
93 Central control and process operators and aircraft assembly assemblers and inspectors,935,780,155
931 Central control and process operators in processing and manufacturing,500,440,60
9310 Central control and process operators in processing and manufacturing,500,440,60
"93100 Central control and process operators, mineral and metal processing",50,40,0
"93101 Central control and process operators, petroleum, gas and chemical processing",450,400,50
"93102 Pulping, papermaking and coating control operators",0,0,0
932 Aircraft assemblers and aircraft assembly inspectors,440,340,100
9320 Aircraft assemblers and aircraft assembly inspectors,440,340,100
93200 Aircraft assemblers and aircraft assembly inspectors,440,340,100
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","17,630","12,705","4,925"
941 Processing and manufacturing machine operators and related production workers,"10,890","7,335","3,555"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"1,870","1,775",95
"94100 Machine operators, mineral and metal processing",310,295,15
94101 Foundry workers,150,150,0
94102 Glass forming and finishing machine operators and glass cutters,30,30,0
"94103 Concrete, clay and stone forming operators",120,105,10
"94104 Inspectors and testers, mineral and metal processing",65,65,0
94105 Metalworking and forging machine operators,660,620,40
94106 Machining tool operators,430,415,20
94107 Machine operators of other metal products,95,90,10
"9411 Machine operators and related workers in chemical, plastic and rubber processing",845,690,150
94110 Chemical plant machine operators,255,190,65
94111 Plastics processing machine operators,475,390,90
94112 Rubber processing machine operators and related workers,110,110,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,730,590,140
94120 Sawmill machine operators,80,65,15
"94121 Pulp mill, papermaking and finishing machine operators",65,45,15
94122 Paper converting machine operators,160,130,35
94123 Lumber graders and other wood processing inspectors and graders,35,30,0
94124 Woodworking machine operators,340,285,60
94129 Other wood processing machine operators,45,40,10
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","1,870",255,"1,610"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",110,65,45
"94131 Weavers, knitters and other fabric making occupations",75,25,55
94132 Industrial sewing machine operators,"1,575",160,"1,420"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",105,0,100
"9414 Machine operators and related workers in food, beverage and associated products processing","4,690","3,420","1,270"
"94140 Process control and machine operators, food and beverage processing","1,895","1,510",380
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","2,240","1,705",535
94142 Fish and seafood plant workers,125,35,95
"94143 Testers and graders, food and beverage processing",430,175,255
9415 Printing equipment operators and related occupations,885,600,290
94150 Plateless printing equipment operators,405,320,90
"94151 Camera, platemaking and other prepress occupations",145,120,25
94152 Binding and finishing machine operators,290,155,140
94153 Photographic and film processors,40,0,30
942 Assemblers and inspectors in manufacturing,"6,745","5,375","1,370"
"9420 Mechanical, electrical and electronics assemblers and inspectors","3,190","2,710",480
"94200 Motor vehicle assemblers, inspectors and testers",795,675,120
"94201 Electronics assemblers, fabricators, inspectors and testers",375,160,215
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",190,165,30
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",225,220,10
94204 Mechanical assemblers and inspectors,"1,580","1,470",110
"94205 Machine operators and inspectors, electrical apparatus manufacturing",25,25,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","3,555","2,660",890
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","1,130",805,325
94211 Assemblers and inspectors of other wood products,405,340,70
"94212 Plastic products assemblers, finishers and inspectors",230,155,70
"94213 Industrial painters, coaters and metal finishing process operators",955,790,165
"94219 Other products assemblers, finishers and inspectors",835,575,260
"95 Labourers in processing, manufacturing and utilities","10,735","6,950","3,780"
"951 Labourers in processing, manufacturing and utilities","10,735","6,950","3,780"
"9510 Labourers in processing, manufacturing and utilities","10,735","6,950","3,780"
95100 Labourers in mineral and metal processing,415,415,0
95101 Labourers in metal fabrication,610,585,25
95102 Labourers in chemical products processing and utilities,310,215,90
"95103 Labourers in wood, pulp and paper processing",435,345,90
95104 Labourers in rubber and plastic products manufacturing,295,250,45
95105 Labourers in textile processing and cutting,260,120,135
95106 Labourers in food and beverage processing,"4,765","2,580","2,185"
95107 Labourers in fish and seafood processing,85,60,25
"95109 Other labourers in processing, manufacturing and utilities","3,555","2,380","1,175"
