Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21103 Meteorologists and climatologists,15,10,10
21109 Other professional occupations in physical sciences,10,0,10
2111 Life science professionals,"2,095","1,165",935
21110 Biologists and related scientists,"1,240",520,720
21111 Forestry professionals,30,30,0
"21112 Agricultural representatives, consultants and specialists",825,610,220
2112 Public and environmental health and safety professionals,740,420,315
21120 Public and environmental health and safety professionals,740,420,315
212 Professional occupations in applied sciences (except engineering),"11,455","8,365","3,095"
"2120 Architects, urban planners and land surveyors","1,220",820,400
21200 Architects,505,330,180
21201 Landscape architects,80,25,55
21202 Urban and land use planners,415,270,145
21203 Land surveyors,220,200,15
"2121 Mathematicians, statisticians, actuaries and data scientists",710,385,320
"21210 Mathematicians, statisticians and actuaries",530,270,265
21211 Data scientists,175,115,60
2122 Computer and information systems professionals,"4,310","3,020","1,290"
21220 Cybersecurity specialists,330,300,30
21221 Business systems specialists,715,380,335
21222 Information systems specialists,"2,670","1,990",680
21223 Database analysts and data administrators,595,355,240
"2123 Computer, software and Web designers and developers","5,225","4,135","1,090"
21230 Computer systems developers and programmers,875,660,210
21231 Software engineers and designers,950,755,190
21232 Software developers and programmers,"2,085","1,745",340
21233 Web designers,295,175,115
21234 Web developers and programmers,"1,025",800,225
213 Professional occupations in engineering,"5,710","4,900",810
2130 Civil and mechanical engineers,"3,185","2,785",395
21300 Civil engineers,"1,765","1,490",280
21301 Mechanical engineers,"1,415","1,300",120
"2131 Electrical, electronics and computer engineers","1,510","1,335",175
21310 Electrical and electronics engineers,"1,085",935,150
21311 Computer engineers (except software engineers and designers),425,400,30
2132 Manufacturing and processing engineers,590,440,150
21320 Chemical engineers,130,55,75
21321 Industrial and manufacturing engineers,435,360,75
21322 Metallurgical and materials engineers,25,20,0
2133 Natural resources engineers,200,170,30
21330 Mining engineers,85,75,15
21331 Geological engineers,100,80,20
21332 Petroleum engineers,15,15,0
2139 Other engineers,225,170,55
21390 Aerospace engineers,155,130,25
21399 Other professional engineers,70,35,30
22 Technical occupations related to natural and applied sciences,"17,930","14,410","3,515"
221 Technical occupations related to natural sciences,"2,150","1,400",740
2210 Technical occupations in physical sciences,475,315,160
22100 Chemical technologists and technicians,275,155,120
22101 Geological and mineral technologists and technicians,195,160,40
2211 Technical occupations in life sciences,"1,675","1,090",585
22110 Biological technologists and technicians,465,220,245
22111 Agricultural and fish products inspectors,215,110,105
22112 Forestry technologists and technicians,115,80,40
22113 Conservation and fishery officers,195,175,25
22114 Landscape and horticulture technicians and specialists,675,500,175
222 Technical occupations related to applied sciences (except engineering),"8,490","6,365","2,130"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","2,015","1,405",605
22210 Architectural technologists and technicians,235,150,85
22211 Industrial designers,250,175,70
22212 Drafting technologists and technicians,"1,200",840,355
22213 Land survey technologists and technicians,105,90,10
22214 Technical occupations in geomatics and meteorology,230,150,85
2222 Technical occupations in computer and information systems,"4,715","3,615","1,100"
