Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
6431 Occupations in travel and accommodation,"12,260","3,525","8,735"
64310 Travel counsellors,"3,905",880,"3,025"
64311 Pursers and flight attendants,"2,225",440,"1,790"
64312 Airline ticket and service agents,"2,175",750,"1,425"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",435,150,285
64314 Hotel front desk clerks,"3,520","1,305","2,215"
6432 Tourism and amusement services occupations,"3,145","1,930","1,215"
64320 Tour and travel guides,730,470,260
64321 Casino workers,"1,560",805,760
64322 Outdoor sport and recreational guides,860,660,195
"644 Occupations in customer, information and protective services","53,590","25,515","28,075"
6440 Customer and information services representatives,"36,970","12,625","24,350"
64400 Customer services representatives - financial institutions,"6,920","1,700","5,225"
64401 Postal services representatives,"1,015",295,725
64409 Other customer and information services representatives,"29,030","10,635","18,400"
6441 Security guards and related security service occupations,"16,615","12,890","3,730"
64410 Security guards and related security service occupations,"16,615","12,890","3,730"
65 Sales and service support occupations,"274,110","100,530","173,580"
651 Sales support occupations,"90,855","35,540","55,320"
6510 Cashiers and other sales support occupations,"90,855","35,540","55,320"
65100 Cashiers,"52,725","12,915","39,805"
65101 Service station attendants,"1,150",815,330
"65102 Store shelf stockers, clerks and order fillers","32,930","20,655","12,275"
65109 Other sales related occupations,"4,050","1,150","2,905"
"652 Support occupations in food, accommodation and tourism","111,145","37,280","73,865"
6520 Food support occupations,"98,720","32,185","66,535"
65200 Food and beverage servers,"28,785","6,205","22,580"
"65201 Food counter attendants, kitchen helpers and related support occupations","68,835","25,005","43,820"
65202 Meat cutters and fishmongers - retail and wholesale,"1,105",970,130
"6521 Support occupations in accommodation, travel, tourism and amusement services","6,750","4,125","2,620"
"65210 Support occupations in accommodation, travel and facilities set-up services",920,700,225
"65211 Operators and attendants in amusement, recreation and sport","5,825","3,425","2,405"
6522 Support occupations in personal services,"5,675",965,"4,705"
65220 Pet groomers and animal care workers,"4,840",830,"4,015"
65229 Other support occupations in personal services,830,140,695
653 Support occupations in cleaning and related services,"72,110","27,720","44,395"
6531 Cleaners,"65,700","24,920","40,775"
65310 Light duty cleaners,"38,475","8,270","30,205"
65311 Specialized cleaners,"6,960","5,870","1,090"
"65312 Janitors, caretakers and heavy-duty cleaners","20,265","10,780","9,480"
6532 Service support and related occupations,"6,415","2,795","3,610"
"65320 Dry cleaning, laundry and related occupations","2,725",655,"2,070"
65329 Other service support occupations,"3,680","2,140","1,540"
"7 Trades, transport and equipment operators and related occupations","511,120","462,275","48,845"
70 Middle management occupations in trades and transportation,"50,325","41,285","9,040"
700 Middle management occupations in trades and transportation,"50,325","41,285","9,040"
7001 Managers in construction and facility operation and maintenance,"43,130","35,905","7,225"
70010 Construction managers,"18,670","16,250","2,415"
70011 Home building and renovation managers,"10,655","9,875",780
70012 Facility operation and maintenance managers,"13,810","9,775","4,035"
7002 Managers in transportation and postal and courier services,"7,195","5,380","1,810"
70020 Managers in transportation,"6,460","4,920","1,540"
70021 Postal and courier services managers,735,460,280
72 Technical trades and transportation officers and controllers,"198,090","189,770","8,315"
720 Technical trades contractors and supervisors,"34,830","31,990","2,840"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","22,195","20,780","1,420"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","1,915","1,825",95
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","4,180","3,950",230
"72012 Contractors and supervisors, pipefitting trades","1,940","1,850",95
"72013 Contractors and supervisors, carpentry trades","3,400","3,285",115
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","10,760","9,875",885
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","12,635","11,215","1,420"
"72020 Contractors and supervisors, mechanic trades","3,170","3,035",130
"72021 Contractors and supervisors, heavy equipment operator crews","6,760","6,425",335
"72022 Supervisors, printing and related occupations",175,130,50
"72023 Supervisors, railway transport operations",200,170,30
"72024 Supervisors, motor transport and other ground transit operators","1,460","1,020",440
"72025 Supervisors, mail and message distribution occupations",875,430,440
721 Technical industrial trades,"21,345","20,600",750
"7210 Machining, metal forming, shaping and erecting trades","21,345","20,600",750
72100 Machinists and machining and tooling inspectors,"3,070","3,035",40
72101 Tool and die makers,360,340,20
72102 Sheet metal workers,"3,130","3,015",115
72103 Boilermakers,505,485,20
72104 Structural metal and platework fabricators and fitters,"1,805","1,775",40
72105 Ironworkers,"2,355","2,295",55
72106 Welders and related machine operators,"10,120","9,665",460
722 Technical electrical trades,"26,875","25,830","1,040"
7220 Technical electrical trades and electrical power line and telecommunications workers,"26,875","25,830","1,040"
72200 Electricians (except industrial and power system),"18,345","17,615",730
72201 Industrial electricians,"3,130","3,060",70
72202 Power system electricians,540,510,30
72203 Electrical power line and cable workers,"1,300","1,285",20
72204 Telecommunications line and cable installers and repairers,"1,185","1,150",35
72205 Telecommunications equipment installation and cable television service technicians,"2,360","2,205",155
723 Technical construction trades,"52,160","50,680","1,485"
"7230 Plumbers, pipefitters and gas fitters","14,755","14,425",325
72300 Plumbers,"10,825","10,600",225
"72301 Steamfitters, pipefitters and sprinkler system installers","2,805","2,730",75
72302 Gas fitters,"1,120","1,095",30
7231 Carpenters and cabinetmakers,"34,155","33,165",990
72310 Carpenters,"31,530","30,725",800
72311 Cabinetmakers,"2,625","2,435",190
7232 Bricklayers and insulators,"3,255","3,090",165
72320 Bricklayers,"1,845","1,820",25
72321 Insulators,"1,410","1,270",140
724 Technical maintenance trades,"50,915","49,795","1,120"
7240 Machinery and transportation equipment mechanics (except motor vehicles),"23,755","23,335",420
72400 Construction millwrights and industrial mechanics,"7,530","7,415",115
72401 Heavy-duty equipment mechanics,"7,690","7,625",65
"72402 Heating, refrigeration and air conditioning mechanics","3,715","3,635",80
72403 Railway carmen/women,330,330,0
72404 Aircraft mechanics and aircraft inspectors,"3,205","3,055",145
72405 Machine fitters,95,95,0
72406 Elevator constructors and mechanics,"1,205","1,190",15
7241 Automotive service technicians,"23,925","23,345",585
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","19,135","18,775",360
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","4,790","4,570",215
7242 Small engine and equipment mechanics and related repairers (including electrical components),"3,240","3,115",120
72420 Oil and solid fuel heating mechanics,105,105,0
72421 Appliance servicers and repairers,930,910,15
72422 Electrical mechanics,365,350,20
"72423 Motorcycle, all-terrain vehicle and other related mechanics","1,545","1,465",75
72429 Other small engine and small equipment repairers,300,285,10
725 Technical equipment operation trades,"2,580","2,480",100
7250 Crane operators and water well drillers,"2,580","2,480",100
72500 Crane operators,"2,520","2,420",100
72501 Water well drillers,60,60,0
726 Transportation officers and controllers,"7,095","6,375",720
7260 Transportation officers and controllers,"7,095","6,375",720
"72600 Air pilots, flight engineers and flying instructors","3,600","3,360",240
72601 Air traffic controllers and related occupations,730,505,225
"72602 Deck officers, water transport","2,280","2,070",205
"72603 Engineer officers, water transport",265,255,0
72604 Railway traffic controllers and marine traffic regulators,225,185,35
729 Other technical trades,"2,285","2,020",270
7299 Other technical trades,"2,285","2,020",270
72999 Other technical trades and related occupations,"2,285","2,020",270
73 General trades,"130,660","121,270","9,380"
731 General construction trades,"26,565","24,000","2,565"
"7310 Concrete finishers, tilesetters and plasterers","8,480","8,070",405
73100 Concrete finishers,"1,515","1,455",65
73101 Tilesetters,"2,055","1,990",65
"73102 Plasterers, drywall installers and finishers and lathers","4,905","4,625",275
"7311 Roofers, glaziers, painters, decorators and floor covering installers","18,085","15,925","2,160"
73110 Roofers and shinglers,"3,560","3,425",130
73111 Glaziers,"1,970","1,955",15
73112 Painters and decorators (except interior decorators),"10,180","8,260","1,920"
73113 Floor covering installers,"2,385","2,285",95
"732 Building maintenance installers, servicers and repairers","25,860","24,125","1,730"
"7320 Building maintenance installers, servicers and repairers","25,860","24,125","1,730"
73200 Residential and commercial installers and servicers,"9,080","8,670",410
73201 General building maintenance workers and building superintendents,"14,135","13,045","1,090"
73202 Pest controllers and fumigators,625,550,75
73209 Other repairers and servicers,"2,015","1,860",155
733 Transportation occupations,"61,260","57,120","4,135"
7330 Transport truck and transit drivers,"58,635","54,670","3,965"
73300 Transport truck drivers,"48,060","46,140","1,925"
"73301 Bus drivers, subway operators and other transit operators","10,575","8,535","2,045"
7331 Train crew operating occupations,"2,620","2,450",170
73310 Railway and yard locomotive engineers,"1,405","1,315",90
73311 Railway conductors and brakemen/women,"1,220","1,140",80
"734 Operators, drillers and blasters","16,980","16,025",955
"7340 Operators, drillers and blasters","16,980","16,025",955
73400 Heavy equipment operators,"14,805","14,060",745
73401 Printing press operators,"1,390","1,190",205
"73402 Drillers and blasters - surface mining, quarrying and construction",775,775,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","22,870","17,270","5,600"
741 Mail and message distribution occupations,"13,960","9,030","4,930"
7410 Mail and message distribution occupations,"13,960","9,030","4,930"
74100 Mail and parcel sorters and related occupations,"3,280","1,540","1,740"
74101 Letter carriers,"4,925","2,660","2,265"
74102 Couriers and messengers,"5,755","4,830",925
"742 Transport equipment operators, utility maintenance and related workers","8,910","8,240",670
"7420 Transport equipment operators, utility maintenance and related maintenance workers","8,910","8,240",670
74200 Railway yard and track maintenance workers,"1,000",960,40
74201 Water transport deck and engine room crew,"1,410","1,225",185
74202 Air transport ramp attendants,"1,800","1,550",245
74203 Automotive and heavy truck and equipment parts installers and servicers,"2,260","2,210",55
74204 Utility maintenance workers,635,570,65
74205 Public works maintenance equipment operators and related workers,"1,795","1,715",80
"75 Helpers and labourers and other transport drivers, operators and labourers","109,180","92,680","16,500"
751 Helpers and labourers,"75,585","63,860","11,725"
7510 Longshore workers and material handlers,"36,505","29,530","6,970"
75100 Longshore workers,"3,505","3,005",500
75101 Material handlers,"32,995","26,525","6,475"
7511 Trades helpers and labourers,"39,080","34,325","4,755"
75110 Construction trades helpers and labourers,"37,460","32,845","4,625"
75119 Other trades helpers and labourers,"1,620","1,490",135
"752 Transport drivers, operators and labourers","33,595","28,820","4,770"
"7520 Taxi, personal service and delivery service drivers","27,450","23,690","3,760"
75200 Taxi and limousine drivers and chauffeurs,"8,005","7,570",430
75201 Delivery service drivers and door-to-door distributors,"19,445","16,115","3,330"
7521 Water and rail transport operators and labourers and related occupations,"6,150","5,135","1,015"
75210 Boat and cable ferry operators and related occupations,"1,485","1,140",345
75211 Railway and motor transport labourers,735,610,125
75212 Public works and maintenance labourers,"3,925","3,385",545
"8 Natural resources, agriculture and related production occupations","83,150","59,185","23,965"
80 Middle management occupations in production and agriculture,"17,865","11,470","6,400"
800 Middle management occupations in production and agriculture,"17,865","11,470","6,400"
8001 Managers in natural resources production and fishing,"1,990","1,745",245
80010 Managers in natural resources production and fishing,"1,990","1,745",245
"8002 Managers in agriculture, horticulture and aquaculture","15,880","9,725","6,150"
80020 Managers in agriculture,"14,395","8,785","5,610"
80021 Managers in horticulture,"1,020",555,460
80022 Managers in aquaculture,465,385,85
"82 Supervisors in natural resources, agriculture and related production","8,660","7,350","1,315"
"820 Supervisors in natural resources, agriculture and related production","8,660","7,350","1,315"
"8201 Supervisors, logging and forestry","1,795","1,660",135
"82010 Supervisors, logging and forestry","1,795","1,660",135
"8202 Contractors and supervisors, mining, oil and gas","2,135","2,035",105
"82020 Supervisors, mining and quarrying","1,240","1,185",55
"82021 Contractors and supervisors, oil and gas drilling and services",895,850,45
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","4,730","3,650","1,080"
82030 Agricultural service contractors and farm supervisors,530,315,215
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","4,195","3,340",855
83 Occupations in natural resources and related production,"5,670","5,340",335
831 Occupations in natural resources and fisheries,"5,670","5,340",335
"8310 Underground miners, oil and gas drillers and related occupations","2,155","2,010",145
83100 Underground production and development miners,"1,360","1,280",80
"83101 Oil and gas well drillers, servicers, testers and related workers",795,730,65
8311 Logging machinery operators,"2,415","2,390",25
83110 Logging machinery operators,"2,415","2,390",25
8312 Fishing vessel masters and fishermen/women,"1,105",945,160
83120 Fishing masters and officers,165,160,0
83121 Fishermen/women,935,780,155
"84 Workers in natural resources, agriculture and related production","10,585","8,125","2,455"
841 Workers in natural resources and fisheries,"10,585","8,125","2,455"
8410 Mine service workers and operators in oil and gas drilling,935,860,75
84100 Underground mine service and support workers,420,380,40
84101 Oil and gas well drilling and related workers and services operators,515,485,25
8411 Logging and forestry workers,"4,455","4,050",410
84110 Chain saw and skidder operators,"2,690","2,620",65
84111 Silviculture and forestry workers,"1,770","1,425",345
8412 Workers in agriculture and fishing occupations,"5,190","3,220","1,975"
84120 Specialized livestock workers and farm machinery operators,"4,490","2,730","1,760"
84121 Fishing vessel deckhands,705,490,215
"85 Harvesting, landscaping and natural resources labourers","40,370","26,900","13,470"
"851 Harvesting, landscaping and natural resources labourers","40,370","26,900","13,470"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","13,365","5,955","7,410"
85100 Livestock labourers,"3,735","1,840","1,895"
85101 Harvesting labourers,"4,455","1,765","2,695"
85102 Aquaculture and marine harvest labourers,575,435,140
85103 Nursery and greenhouse labourers,"4,540","1,865","2,675"
85104 Trappers and hunters,50,45,10
"8511 Mine and oil and gas drilling, services and related labourers","1,355","1,200",160
85110 Mine labourers,640,530,105
"85111 Oil and gas drilling, servicing and related labourers",720,665,50
"8512 Logging, forestry, landscaping and other related labourers","25,655","19,755","5,900"
85120 Logging and forestry labourers,"1,820","1,235",580
85121 Landscaping and grounds maintenance labourers,"23,835","18,515","5,320"
9 Occupations in manufacturing and utilities,"96,625","68,625","28,000"
90 Middle management occupations in manufacturing and utilities,"11,480","8,820","2,660"
900 Middle management occupations in manufacturing and utilities,"11,480","8,820","2,660"
9001 Managers in manufacturing and utilities,"11,480","8,820","2,660"
90010 Manufacturing managers,"9,895","7,595","2,295"
90011 Utilities managers,"1,585","1,225",365
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","13,565","11,795","1,765"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","5,880","4,650","1,235"
"9201 Supervisors, processing and manufacturing occupations","4,955","3,900","1,055"
"92010 Supervisors, mineral and metal processing",470,435,35
"92011 Supervisors, petroleum, gas and chemical processing and utilities","1,145",990,155
"92012 Supervisors, food and beverage processing","1,700","1,015",685
"92013 Supervisors, plastic and rubber products manufacturing",255,235,25
"92014 Supervisors, forest products processing","1,285","1,210",80
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",105,25,75
"9202 Supervisors, assembly and fabrication",920,745,180
"92020 Supervisors, motor vehicle assembling",85,70,10
"92021 Supervisors, electronics and electrical products manufacturing",260,175,80
"92022 Supervisors, furniture and fixtures manufacturing",125,95,30
"92023 Supervisors, other mechanical and metal products manufacturing",180,160,15
"92024 Supervisors, other products manufacturing and assembly",280,240,40
921 Utilities equipment operators and controllers,"7,685","7,150",535
9210 Utilities equipment operators and controllers,"7,685","7,150",535
92100 Power engineers and power systems operators,"5,880","5,560",315
92101 Water and waste treatment plant operators,"1,805","1,590",220
93 Central control and process operators and aircraft assembly assemblers and inspectors,"2,920","2,700",215
931 Central control and process operators in processing and manufacturing,"2,825","2,620",210
9310 Central control and process operators in processing and manufacturing,"2,825","2,620",210
"93100 Central control and process operators, mineral and metal processing",595,520,70
"93101 Central control and process operators, petroleum, gas and chemical processing","2,065","1,935",130
"93102 Pulping, papermaking and coating control operators",165,160,10
932 Aircraft assemblers and aircraft assembly inspectors,95,85,10
9320 Aircraft assemblers and aircraft assembly inspectors,95,85,10
93200 Aircraft assemblers and aircraft assembly inspectors,95,85,10
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","34,400","25,100","9,295"
941 Processing and manufacturing machine operators and related production workers,"22,770","15,950","6,825"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"3,175","2,965",215
"94100 Machine operators, mineral and metal processing",610,560,45
94101 Foundry workers,130,130,0
94102 Glass forming and finishing machine operators and glass cutters,315,265,45
"94103 Concrete, clay and stone forming operators",580,570,10
"94104 Inspectors and testers, mineral and metal processing",145,125,20
94105 Metalworking and forging machine operators,845,820,25
94106 Machining tool operators,380,360,20
94107 Machine operators of other metal products,170,130,40
"9411 Machine operators and related workers in chemical, plastic and rubber processing","1,360","1,065",295
94110 Chemical plant machine operators,470,310,155
94111 Plastics processing machine operators,680,545,135
94112 Rubber processing machine operators and related workers,210,210,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"5,520","5,050",465
94120 Sawmill machine operators,"2,095","1,955",135
"94121 Pulp mill, papermaking and finishing machine operators",910,815,95
94122 Paper converting machine operators,205,175,25
94123 Lumber graders and other wood processing inspectors and graders,875,790,85
94124 Woodworking machine operators,770,695,70
94129 Other wood processing machine operators,670,615,55
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","2,285",390,"1,895"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",240,145,95
"94131 Weavers, knitters and other fabric making occupations",205,35,170
94132 Industrial sewing machine operators,"1,650",155,"1,495"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",190,55,130
"9414 Machine operators and related workers in food, beverage and associated products processing","8,780","5,510","3,275"
"94140 Process control and machine operators, food and beverage processing","5,590","3,920","1,670"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","1,290",740,555
94142 Fish and seafood plant workers,"1,115",540,580
"94143 Testers and graders, food and beverage processing",780,305,475
9415 Printing equipment operators and related occupations,"1,645",965,680
94150 Plateless printing equipment operators,710,475,235
"94151 Camera, platemaking and other prepress occupations",165,115,50
94152 Binding and finishing machine operators,370,190,180
94153 Photographic and film processors,405,200,210
942 Assemblers and inspectors in manufacturing,"11,630","9,160","2,470"
"9420 Mechanical, electrical and electronics assemblers and inspectors","3,905","2,705","1,200"
"94200 Motor vehicle assemblers, inspectors and testers","1,025",740,285
"94201 Electronics assemblers, fabricators, inspectors and testers","1,430",755,675
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",415,320,100
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",130,120,10
94204 Mechanical assemblers and inspectors,770,690,85
"94205 Machine operators and inspectors, electrical apparatus manufacturing",130,80,45
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","7,725","6,455","1,270"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","1,995","1,615",380
94211 Assemblers and inspectors of other wood products,"1,140","1,085",55
"94212 Plastic products assemblers, finishers and inspectors",365,240,130
"94213 Industrial painters, coaters and metal finishing process operators","1,680","1,550",125
"94219 Other products assemblers, finishers and inspectors","2,545","1,965",580
"95 Labourers in processing, manufacturing and utilities","34,265","20,200","14,065"
"951 Labourers in processing, manufacturing and utilities","34,265","20,200","14,065"
"9510 Labourers in processing, manufacturing and utilities","34,265","20,200","14,065"
95100 Labourers in mineral and metal processing,"1,185","1,040",145
95101 Labourers in metal fabrication,"1,695","1,500",190
95102 Labourers in chemical products processing and utilities,975,590,385
"95103 Labourers in wood, pulp and paper processing","5,520","4,760",760
95104 Labourers in rubber and plastic products manufacturing,705,520,180
95105 Labourers in textile processing and cutting,685,255,430
95106 Labourers in food and beverage processing,"12,805","4,885","7,915"
95107 Labourers in fish and seafood processing,955,495,465
"95109 Other labourers in processing, manufacturing and utilities","9,740","6,150","3,595"
