Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"2001 Managers in engineering, architecture, science and information systems","17,310","12,930","4,385"
20010 Engineering managers,"4,285","3,450",835
20011 Architecture and science managers,"2,095","1,040","1,055"
20012 Computer and information systems managers,"10,930","8,435","2,495"
21 Professional occupations in natural and applied sciences,"130,370","97,450","32,925"
211 Professional occupations in natural sciences,"17,435","10,090","7,345"
2110 Physical science professionals,"5,125","3,335","1,795"
21100 Physicists and astronomers,510,395,115
21101 Chemists,"1,835",885,950
21102 Geoscientists and oceanographers,"2,555","1,880",675
21103 Meteorologists and climatologists,150,120,35
21109 Other professional occupations in physical sciences,70,55,15
2111 Life science professionals,"9,375","5,115","4,260"
21110 Biologists and related scientists,"6,415","2,815","3,600"
21111 Forestry professionals,"2,430","1,885",545
"21112 Agricultural representatives, consultants and specialists",520,410,110
2112 Public and environmental health and safety professionals,"2,935","1,640","1,285"
21120 Public and environmental health and safety professionals,"2,935","1,640","1,285"
212 Professional occupations in applied sciences (except engineering),"80,115","59,545","20,560"
"2120 Architects, urban planners and land surveyors","8,480","5,455","3,030"
21200 Architects,"3,790","2,545","1,250"
21201 Landscape architects,335,185,150
21202 Urban and land use planners,"3,185","1,640","1,545"
21203 Land surveyors,"1,170","1,085",85
"2121 Mathematicians, statisticians, actuaries and data scientists","2,775","1,845",925
"21210 Mathematicians, statisticians and actuaries",835,445,390
21211 Data scientists,"1,935","1,400",535
2122 Computer and information systems professionals,"21,950","14,885","7,070"
21220 Cybersecurity specialists,"1,410","1,120",280
21221 Business systems specialists,"4,170","2,240","1,925"
21222 Information systems specialists,"13,785","9,965","3,820"
21223 Database analysts and data administrators,"2,595","1,560","1,040"
"2123 Computer, software and Web designers and developers","46,900","37,365","9,540"
21230 Computer systems developers and programmers,"3,670","2,975",690
21231 Software engineers and designers,"18,605","15,375","3,235"
21232 Software developers and programmers,"13,700","11,190","2,510"
21233 Web designers,"2,660","1,445","1,215"
21234 Web developers and programmers,"8,270","6,380","1,890"
213 Professional occupations in engineering,"32,825","27,810","5,020"
2130 Civil and mechanical engineers,"16,590","14,015","2,575"
21300 Civil engineers,"10,170","8,365","1,800"
21301 Mechanical engineers,"6,420","5,650",770
"2131 Electrical, electronics and computer engineers","9,365","8,285","1,080"
21310 Electrical and electronics engineers,"6,710","5,950",765
21311 Computer engineers (except software engineers and designers),"2,655","2,340",310
2132 Manufacturing and processing engineers,"2,850","2,125",725
21320 Chemical engineers,"1,115",775,340
21321 Industrial and manufacturing engineers,"1,410","1,120",295
21322 Metallurgical and materials engineers,325,235,90
2133 Natural resources engineers,"2,090","1,705",380
21330 Mining engineers,755,650,110
21331 Geological engineers,"1,160",910,250
21332 Petroleum engineers,170,150,20
2139 Other engineers,"1,930","1,675",260
21390 Aerospace engineers,240,210,35
21399 Other professional engineers,"1,690","1,465",225
22 Technical occupations related to natural and applied sciences,"73,135","56,725","16,405"
221 Technical occupations related to natural sciences,"13,000","8,705","4,290"
2210 Technical occupations in physical sciences,"2,115","1,430",685
22100 Chemical technologists and technicians,950,515,435
22101 Geological and mineral technologists and technicians,"1,160",915,245
2211 Technical occupations in life sciences,"10,885","7,275","3,610"
22110 Biological technologists and technicians,"1,830",945,890
22111 Agricultural and fish products inspectors,530,340,195
22112 Forestry technologists and technicians,"2,540","1,845",695
22113 Conservation and fishery officers,785,595,195
22114 Landscape and horticulture technicians and specialists,"5,200","3,560","1,635"
222 Technical occupations related to applied sciences (except engineering),"33,540","24,515","9,025"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","10,295","6,745","3,550"
22210 Architectural technologists and technicians,"2,065","1,315",745
22211 Industrial designers,"1,565",920,640
22212 Drafting technologists and technicians,"4,295","3,085","1,200"
22213 Land survey technologists and technicians,450,365,85
22214 Technical occupations in geomatics and meteorology,"1,920","1,050",870
2222 Technical occupations in computer and information systems,"16,330","12,780","3,550"
22220 Computer network and web technicians,"7,785","6,440","1,345"
22221 User support technicians,"7,330","5,545","1,780"
22222 Information systems testing technicians,"1,220",800,425
2223 Technical inspectors and regulatory officers,"6,920","4,995","1,930"
22230 Non-destructive testers and inspectors,625,570,55
22231 Engineering inspectors and regulatory officers,640,450,190
22232 Occupational health and safety specialists,"2,790","1,650","1,135"
22233 Construction inspectors,"2,865","2,325",540
223 Technical occupations related to engineering,"26,590","23,505","3,080"
"2230 Technical occupations in civil, mechanical and industrial engineering","11,540","9,785","1,760"
22300 Civil engineering technologists and technicians,"2,815","2,210",610
22301 Mechanical engineering technologists and technicians,"3,100","2,905",195
22302 Industrial engineering and manufacturing technologists and technicians,"1,660","1,325",335
22303 Construction estimators,"3,960","3,340",620
2231 Technical occupations in electronics and electrical engineering,"15,050","13,725","1,325"
22310 Electrical and electronics engineering technologists and technicians,"5,340","4,510",830
22311 Electronic service technicians (household and business equipment),"8,125","7,745",385
22312 Industrial instrument technicians and mechanics,955,915,40
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",625,555,70
3 Health occupations,"212,305","46,305","166,000"
30 Specialized middle management occupations in health care,"5,315","1,335","3,980"
300 Specialized middle management occupations in health care,"5,315","1,335","3,980"
3001 Managers in health care,"5,315","1,335","3,980"
30010 Managers in health care,"5,315","1,335","3,980"
31 Professional occupations in health,"95,595","24,705","70,890"
311 Health treating and consultation services professionals,"31,495","15,490","16,005"
3110 Physicians and veterinarians,"17,385","9,715","7,665"
31100 Specialists in clinical and laboratory medicine,"5,510","3,205","2,310"
31101 Specialists in surgery,"1,650","1,170",475
31102 General practitioners and family physicians,"8,650","4,760","3,895"
31103 Veterinarians,"1,580",585,990
"3111 Dentists, optometrists and audiologists","6,345","3,035","3,305"
31110 Dentists,"3,930","2,440","1,485"
31111 Optometrists,865,450,415
31112 Audiologists and speech-language pathologists,"1,550",140,"1,405"
3112 Pharmacists and dietitians,"7,765","2,735","5,035"
31120 Pharmacists,"6,300","2,615","3,680"
31121 Dietitians and nutritionists,"1,465",120,"1,350"
312 Therapy and assessment professionals,"13,830","4,105","9,730"
3120 Therapy and assessment professionals,"13,830","4,105","9,730"
31200 Psychologists,"2,145",525,"1,620"
31201 Chiropractors,"1,435",950,490
31202 Physiotherapists,"4,485","1,405","3,080"
31203 Occupational therapists,"2,725",280,"2,445"
31204 Kinesiologists and other professional occupations in therapy and assessment,"2,085",700,"1,380"
31209 Other professional occupations in health diagnosing and treating,945,235,710
313 Nursing and allied health professionals,"50,270","5,120","45,155"
3130 Nursing and allied health professionals,"50,270","5,120","45,155"
31300 Nursing coordinators and supervisors,"1,760",185,"1,575"
31301 Registered nurses and registered psychiatric nurses,"47,500","4,825","42,680"
31302 Nurse practitioners,685,50,640
"31303 Physician assistants, midwives and allied health professionals",320,65,260
32 Technical occupations in health,"46,530","10,935","35,590"
321 Technical occupations in health (except practitioners of natural healing),"36,465","8,520","27,950"
3210 Technical occupations in therapy and assessment,"21,195","5,255","15,940"
32100 Opticians,"1,475",480,"1,000"
32101 Licensed practical nurses,"8,485","1,025","7,460"
32102 Paramedical occupations,"3,955","2,430","1,525"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","1,485",555,930
32104 Animal health technologists and veterinary technicians,"3,570",345,"3,230"
32109 Other technical occupations in therapy and assessment,"2,220",425,"1,800"
3211 Technical occupations in dental health care,"5,080","1,030","4,050"
32110 Denturists,265,180,90
32111 Dental hygienists and dental therapists,"3,850",205,"3,645"
32112 Dental technologists and technicians,965,650,320
3212 Medical technologists and technicians,"10,190","2,235","7,960"
32120 Medical laboratory technologists,"2,760",645,"2,115"
32121 Medical radiation technologists,"2,755",700,"2,060"
32122 Medical sonographers,915,140,780
32123 Cardiology technologists and electrophysiological diagnostic technologists,620,115,505
32124 Pharmacy technicians,"2,695",445,"2,250"
32129 Other medical technologists and technicians,440,190,250
322 Practitioners of natural healing,"10,060","2,415","7,645"
3220 Practitioners of natural healing,"10,060","2,415","7,645"
32200 Traditional Chinese medicine practitioners and acupuncturists,"1,635",560,"1,075"
32201 Massage therapists,"7,245","1,685","5,560"
32209 Other practitioners of natural healing,"1,190",175,"1,015"
33 Assisting occupations in support of health services,"64,870","9,330","55,540"
331 Assisting occupations in support of health services,"64,870","9,330","55,540"
3310 Assisting occupations in support of health services,"64,870","9,330","55,540"
33100 Dental assistants and dental laboratory assistants,"6,610",265,"6,340"
33101 Medical laboratory assistants and related technical occupations,"3,875",550,"3,325"
"33102 Nurse aides, orderlies and patient service associates","44,420","6,425","37,995"
33103 Pharmacy technical assistants and pharmacy assistants,"4,450",835,"3,615"
33109 Other assisting occupations in support of health services,"5,515","1,250","4,265"
"4 Occupations in education, law and social, community and government services","336,840","111,625","225,210"
"40 Managers in public administration, in education and social and community services and in public protection services","20,230","8,585","11,645"
"400 Managers in public administration, in education and social and community services and in public protection services","20,230","8,585","11,645"
4001 Managers in public administration,"3,700","1,760","1,945"
40010 Government managers - health and social policy development and program administration,"1,180",445,735
"40011 Government managers - economic analysis, policy development and program administration","1,610",875,735
