Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"200 Specialized middle management occupations in engineering, architecture, science and information systems","27,430","20,375","7,050"
"2001 Managers in engineering, architecture, science and information systems","27,430","20,375","7,050"
20010 Engineering managers,"5,680","4,590","1,095"
20011 Architecture and science managers,"3,715","2,170","1,545"
20012 Computer and information systems managers,"18,030","13,620","4,405"
21 Professional occupations in natural and applied sciences,"210,745","158,525","52,220"
211 Professional occupations in natural sciences,"21,670","10,810","10,865"
2110 Physical science professionals,"6,865","4,105","2,760"
21100 Physicists and astronomers,695,550,145
21101 Chemists,"4,545","2,365","2,180"
21102 Geoscientists and oceanographers,"1,165",840,320
21103 Meteorologists and climatologists,305,230,75
21109 Other professional occupations in physical sciences,160,115,40
2111 Life science professionals,"11,065","4,890","6,175"
21110 Biologists and related scientists,"7,395","2,585","4,810"
21111 Forestry professionals,"1,510","1,260",250
"21112 Agricultural representatives, consultants and specialists","2,165","1,045","1,120"
2112 Public and environmental health and safety professionals,"3,740","1,815","1,925"
21120 Public and environmental health and safety professionals,"3,740","1,815","1,925"
212 Professional occupations in applied sciences (except engineering),"132,600","100,635","31,965"
"2120 Architects, urban planners and land surveyors","12,315","7,520","4,795"
21200 Architects,"5,855","3,135","2,715"
21201 Landscape architects,575,250,325
21202 Urban and land use planners,"3,750","2,295","1,450"
21203 Land surveyors,"2,130","1,830",300
"2121 Mathematicians, statisticians, actuaries and data scientists","7,105","4,460","2,645"
"21210 Mathematicians, statisticians and actuaries","4,525","2,605","1,925"
21211 Data scientists,"2,580","1,865",720
2122 Computer and information systems professionals,"46,700","33,310","13,390"
21220 Cybersecurity specialists,"3,220","2,695",525
21221 Business systems specialists,"4,450","2,615","1,835"
21222 Information systems specialists,"31,890","23,570","8,320"
21223 Database analysts and data administrators,"7,140","4,430","2,710"
"2123 Computer, software and Web designers and developers","66,485","55,345","11,140"
21230 Computer systems developers and programmers,"18,225","15,895","2,325"
21231 Software engineers and designers,"12,225","10,470","1,760"
21232 Software developers and programmers,"18,255","15,460","2,795"
21233 Web designers,"2,515","1,620",890
21234 Web developers and programmers,"15,270","11,900","3,370"
213 Professional occupations in engineering,"56,470","47,080","9,390"
2130 Civil and mechanical engineers,"28,040","23,525","4,510"
21300 Civil engineers,"14,460","11,355","3,105"
21301 Mechanical engineers,"13,575","12,170","1,405"
"2131 Electrical, electronics and computer engineers","15,600","13,840","1,760"
21310 Electrical and electronics engineers,"9,365","8,365","1,000"
21311 Computer engineers (except software engineers and designers),"6,230","5,475",755
2132 Manufacturing and processing engineers,"7,230","5,305","1,925"
21320 Chemical engineers,"1,890","1,250",635
21321 Industrial and manufacturing engineers,"4,715","3,540","1,170"
21322 Metallurgical and materials engineers,625,510,115
2133 Natural resources engineers,"1,435","1,145",290
21330 Mining engineers,645,540,105
21331 Geological engineers,695,525,170
21332 Petroleum engineers,95,80,15
2139 Other engineers,"4,175","3,265",910
21390 Aerospace engineers,"2,855","2,405",445
21399 Other professional engineers,"1,320",865,460
22 Technical occupations related to natural and applied sciences,"138,815","105,930","32,890"
221 Technical occupations related to natural sciences,"19,275","10,595","8,675"
2210 Technical occupations in physical sciences,"6,545","3,535","3,010"
22100 Chemical technologists and technicians,"4,645","2,040","2,605"
22101 Geological and mineral technologists and technicians,"1,900","1,495",405
2211 Technical occupations in life sciences,"12,730","7,060","5,670"
22110 Biological technologists and technicians,"2,690","1,280","1,405"
22111 Agricultural and fish products inspectors,740,280,460
22112 Forestry technologists and technicians,"2,150","1,735",415
22113 Conservation and fishery officers,675,450,235
22114 Landscape and horticulture technicians and specialists,"6,475","3,320","3,155"
222 Technical occupations related to applied sciences (except engineering),"69,065","51,625","17,440"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","19,695","12,455","7,245"
22210 Architectural technologists and technicians,"4,165","2,280","1,885"
22211 Industrial designers,"3,710","2,350","1,365"
22212 Drafting technologists and technicians,"8,640","5,495","3,140"
22213 Land survey technologists and technicians,"1,510","1,165",340
22214 Technical occupations in geomatics and meteorology,"1,675","1,165",515
2222 Technical occupations in computer and information systems,"39,620","32,445","7,175"
22220 Computer network and web technicians,"20,960","18,275","2,685"
22221 User support technicians,"14,795","11,385","3,405"
22222 Information systems testing technicians,"3,860","2,780","1,080"
2223 Technical inspectors and regulatory officers,"9,750","6,730","3,025"
22230 Non-destructive testers and inspectors,630,575,55
22231 Engineering inspectors and regulatory officers,"1,905","1,185",715
22232 Occupational health and safety specialists,"3,995","2,425","1,570"
22233 Construction inspectors,"3,220","2,535",690
223 Technical occupations related to engineering,"50,480","43,705","6,770"
"2230 Technical occupations in civil, mechanical and industrial engineering","26,700","22,015","4,680"
22300 Civil engineering technologists and technicians,"7,525","6,095","1,430"
22301 Mechanical engineering technologists and technicians,"8,240","7,585",655
22302 Industrial engineering and manufacturing technologists and technicians,"4,340","3,205","1,135"
22303 Construction estimators,"6,590","5,125","1,465"
2231 Technical occupations in electronics and electrical engineering,"23,785","21,690","2,090"
22310 Electrical and electronics engineering technologists and technicians,"13,325","12,030","1,290"
22311 Electronic service technicians (household and business equipment),"6,850","6,290",555
22312 Industrial instrument technicians and mechanics,"1,890","1,790",105
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","1,720","1,580",140
3 Health occupations,"382,265","74,415","307,850"
30 Specialized middle management occupations in health care,"8,270","2,340","5,930"
300 Specialized middle management occupations in health care,"8,270","2,340","5,930"
3001 Managers in health care,"8,270","2,340","5,930"
30010 Managers in health care,"8,270","2,340","5,930"
31 Professional occupations in health,"158,640","34,725","123,915"
311 Health treating and consultation services professionals,"51,350","19,440","31,910"
3110 Physicians and veterinarians,"28,685","13,100","15,585"
31100 Specialists in clinical and laboratory medicine,"7,310","3,640","3,675"
31101 Specialists in surgery,"2,105","1,295",810
31102 General practitioners and family physicians,"16,590","7,295","9,300"
31103 Veterinarians,"2,675",875,"1,800"
"3111 Dentists, optometrists and audiologists","9,960","3,000","6,960"
31110 Dentists,"4,775","2,385","2,390"
31111 Optometrists,"1,685",480,"1,210"
31112 Audiologists and speech-language pathologists,"3,500",135,"3,365"
3112 Pharmacists and dietitians,"12,705","3,335","9,360"
31120 Pharmacists,"9,900","3,225","6,675"
31121 Dietitians and nutritionists,"2,805",115,"2,690"
312 Therapy and assessment professionals,"26,590","5,985","20,605"
3120 Therapy and assessment professionals,"26,590","5,985","20,605"
31200 Psychologists,"7,995","1,660","6,335"
31201 Chiropractors,"1,335",675,665
31202 Physiotherapists,"5,900","1,350","4,545"
31203 Occupational therapists,"5,580",405,"5,175"
31204 Kinesiologists and other professional occupations in therapy and assessment,"2,480","1,085","1,390"
31209 Other professional occupations in health diagnosing and treating,"3,305",805,"2,495"
313 Nursing and allied health professionals,"80,700","9,305","71,395"
3130 Nursing and allied health professionals,"80,700","9,305","71,395"
31300 Nursing coordinators and supervisors,"4,140",605,"3,535"
31301 Registered nurses and registered psychiatric nurses,"75,280","8,575","66,700"
31302 Nurse practitioners,775,55,720
"31303 Physician assistants, midwives and allied health professionals",510,75,440
32 Technical occupations in health,"87,530","15,790","71,740"
321 Technical occupations in health (except practitioners of natural healing),"76,670","13,515","63,155"
3210 Technical occupations in therapy and assessment,"43,875","8,390","35,485"
32100 Opticians,"2,295",505,"1,790"
32101 Licensed practical nurses,"22,355","2,460","19,895"
