Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"64201 Image, social and other personal consultants",490,220,275
"643 Occupations in food, accommodation and tourism","27,335","9,310","18,030"
6430 Occupations in food and beverage service,"10,425","2,990","7,440"
64300 Maîtres d'hôtel and hosts/hostesses,"4,985",960,"4,030"
64301 Bartenders,"5,440","2,030","3,415"
6431 Occupations in travel and accommodation,"14,085","4,505","9,580"
64310 Travel counsellors,"4,010",920,"3,095"
64311 Pursers and flight attendants,"3,600",920,"2,680"
64312 Airline ticket and service agents,"2,100",860,"1,245"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",615,310,300
64314 Hotel front desk clerks,"3,755","1,495","2,260"
6432 Tourism and amusement services occupations,"2,830","1,815","1,010"
64320 Tour and travel guides,"1,045",520,520
64321 Casino workers,985,615,375
64322 Outdoor sport and recreational guides,800,680,120
"644 Occupations in customer, information and protective services","119,885","58,385","61,500"
6440 Customer and information services representatives,"84,200","30,450","53,750"
64400 Customer services representatives - financial institutions,"16,315","4,440","11,875"
64401 Postal services representatives,"1,810",680,"1,140"
64409 Other customer and information services representatives,"66,075","25,335","40,740"
6441 Security guards and related security service occupations,"35,685","27,935","7,750"
64410 Security guards and related security service occupations,"35,685","27,935","7,750"
65 Sales and service support occupations,"478,170","205,485","272,690"
651 Sales support occupations,"192,525","76,230","116,290"
6510 Cashiers and other sales support occupations,"192,525","76,230","116,290"
65100 Cashiers,"112,900","22,900","90,005"
65101 Service station attendants,"1,635","1,220",415
"65102 Store shelf stockers, clerks and order fillers","67,000","46,065","20,940"
65109 Other sales related occupations,"10,990","6,045","4,940"
"652 Support occupations in food, accommodation and tourism","153,230","61,555","91,675"
6520 Food support occupations,"136,450","52,775","83,675"
65200 Food and beverage servers,"33,265","9,200","24,065"
"65201 Food counter attendants, kitchen helpers and related support occupations","101,760","42,575","59,185"
65202 Meat cutters and fishmongers - retail and wholesale,"1,420","1,005",420
"6521 Support occupations in accommodation, travel, tourism and amusement services","10,470","7,335","3,135"
"65210 Support occupations in accommodation, travel and facilities set-up services",915,700,215
"65211 Operators and attendants in amusement, recreation and sport","9,555","6,635","2,920"
6522 Support occupations in personal services,"6,315","1,445","4,865"
65220 Pet groomers and animal care workers,"5,700","1,305","4,400"
65229 Other support occupations in personal services,615,140,470
653 Support occupations in cleaning and related services,"132,415","67,695","64,715"
6531 Cleaners,"120,425","61,140","59,275"
65310 Light duty cleaners,"88,420","36,030","52,385"
65311 Specialized cleaners,"11,145","9,455","1,685"
"65312 Janitors, caretakers and heavy-duty cleaners","20,860","15,655","5,200"
6532 Service support and related occupations,"11,995","6,550","5,440"
"65320 Dry cleaning, laundry and related occupations","4,965","1,960","3,005"
65329 Other service support occupations,"7,030","4,590","2,435"
"7 Trades, transport and equipment operators and related occupations","762,630","700,360","62,270"
70 Middle management occupations in trades and transportation,"45,325","38,055","7,270"
700 Middle management occupations in trades and transportation,"45,325","38,055","7,270"
7001 Managers in construction and facility operation and maintenance,"37,405","32,270","5,135"
70010 Construction managers,"18,375","15,815","2,565"
70011 Home building and renovation managers,"8,325","7,910",420
70012 Facility operation and maintenance managers,"10,695","8,545","2,150"
7002 Managers in transportation and postal and courier services,"7,920","5,790","2,135"
70020 Managers in transportation,"7,400","5,455","1,950"
70021 Postal and courier services managers,515,330,190
72 Technical trades and transportation officers and controllers,"311,210","297,090","14,120"
720 Technical trades contractors and supervisors,"36,390","31,730","4,660"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","15,025","13,750","1,275"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","3,290","2,990",300
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","4,020","3,550",475
"72012 Contractors and supervisors, pipefitting trades","1,045",990,60
"72013 Contractors and supervisors, carpentry trades","2,335","2,260",80
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","4,340","3,965",370
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","21,365","17,980","3,385"
"72020 Contractors and supervisors, mechanic trades","7,695","6,635","1,060"
"72021 Contractors and supervisors, heavy equipment operator crews","8,655","8,390",265
"72022 Supervisors, printing and related occupations",740,455,280
"72023 Supervisors, railway transport operations",320,285,35
"72024 Supervisors, motor transport and other ground transit operators","1,665","1,370",295
"72025 Supervisors, mail and message distribution occupations","2,295",845,"1,445"
721 Technical industrial trades,"48,610","46,065","2,545"
"7210 Machining, metal forming, shaping and erecting trades","48,610","46,065","2,545"
72100 Machinists and machining and tooling inspectors,"13,620","12,675",940
72101 Tool and die makers,"1,440","1,230",210
72102 Sheet metal workers,"5,220","5,090",130
72103 Boilermakers,550,540,10
72104 Structural metal and platework fabricators and fitters,"1,260","1,190",75
72105 Ironworkers,"3,210","3,130",75
72106 Welders and related machine operators,"23,320","22,210","1,110"
722 Technical electrical trades,"36,920","35,495","1,425"
7220 Technical electrical trades and electrical power line and telecommunications workers,"36,920","35,495","1,425"
72200 Electricians (except industrial and power system),"20,195","19,700",495
72201 Industrial electricians,"2,545","2,475",70
72202 Power system electricians,"1,195","1,155",45
72203 Electrical power line and cable workers,"3,245","3,130",115
72204 Telecommunications line and cable installers and repairers,"2,010","1,890",115
72205 Telecommunications equipment installation and cable television service technicians,"7,735","7,140",590
723 Technical construction trades,"75,255","73,225","2,035"
"7230 Plumbers, pipefitters and gas fitters","14,115","13,835",280
72300 Plumbers,"9,670","9,470",200
"72301 Steamfitters, pipefitters and sprinkler system installers","4,000","3,955",50
72302 Gas fitters,440,410,30
7231 Carpenters and cabinetmakers,"54,180","52,585","1,600"
72310 Carpenters,"47,910","46,970",945
72311 Cabinetmakers,"6,275","5,615",655
7232 Bricklayers and insulators,"6,960","6,800",155
72320 Bricklayers,"5,660","5,610",50
72321 Insulators,"1,295","1,195",105
724 Technical maintenance trades,"102,875","100,300","2,575"
7240 Machinery and transportation equipment mechanics (except motor vehicles),"41,675","40,630","1,045"
72400 Construction millwrights and industrial mechanics,"19,195","18,905",285
72401 Heavy-duty equipment mechanics,"8,760","8,680",85
"72402 Heating, refrigeration and air conditioning mechanics","5,865","5,795",70
72403 Railway carmen/women,340,320,30
72404 Aircraft mechanics and aircraft inspectors,"5,390","4,925",460
72405 Machine fitters,"1,010",930,85
72406 Elevator constructors and mechanics,"1,110","1,080",35
7241 Automotive service technicians,"48,510","47,360","1,150"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","41,505","40,665",835
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","7,010","6,695",315
7242 Small engine and equipment mechanics and related repairers (including electrical components),"12,690","12,305",380
72420 Oil and solid fuel heating mechanics,535,510,25
72421 Appliance servicers and repairers,"1,850","1,795",60
72422 Electrical mechanics,"8,375","8,105",265
"72423 Motorcycle, all-terrain vehicle and other related mechanics","1,385","1,365",20
72429 Other small engine and small equipment repairers,550,535,15
725 Technical equipment operation trades,"2,755","2,700",55
7250 Crane operators and water well drillers,"2,755","2,700",55
72500 Crane operators,"2,690","2,635",55
72501 Water well drillers,65,65,0
726 Transportation officers and controllers,"6,135","5,505",630
7260 Transportation officers and controllers,"6,135","5,505",630
"72600 Air pilots, flight engineers and flying instructors","3,495","3,205",290
72601 Air traffic controllers and related occupations,800,595,210
"72602 Deck officers, water transport","1,030",950,80
"72603 Engineer officers, water transport",640,605,35
72604 Railway traffic controllers and marine traffic regulators,175,150,20
729 Other technical trades,"2,260","2,080",185
7299 Other technical trades,"2,260","2,080",185
72999 Other technical trades and related occupations,"2,260","2,080",185
73 General trades,"235,175","214,960","20,215"
731 General construction trades,"33,125","30,240","2,885"
"7310 Concrete finishers, tilesetters and plasterers","12,740","12,030",705
73100 Concrete finishers,"2,850","2,775",75
73101 Tilesetters,"2,645","2,425",215
"73102 Plasterers, drywall installers and finishers and lathers","7,245","6,830",415
"7311 Roofers, glaziers, painters, decorators and floor covering installers","20,385","18,210","2,175"
73110 Roofers and shinglers,"6,585","6,450",140
73111 Glaziers,"2,260","2,205",65
73112 Painters and decorators (except interior decorators),"9,545","7,670","1,875"
73113 Floor covering installers,"1,995","1,890",105
"732 Building maintenance installers, servicers and repairers","39,690","36,955","2,735"
"7320 Building maintenance installers, servicers and repairers","39,690","36,955","2,735"
73200 Residential and commercial installers and servicers,"11,465","10,880",575
73201 General building maintenance workers and building superintendents,"24,295","22,405","1,885"
73202 Pest controllers and fumigators,"1,000",905,95
73209 Other repairers and servicers,"2,935","2,760",180
733 Transportation occupations,"135,280","121,790","13,485"
7330 Transport truck and transit drivers,"133,740","120,330","13,410"
73300 Transport truck drivers,"107,875","101,640","6,235"
"73301 Bus drivers, subway operators and other transit operators","25,865","18,685","7,180"
7331 Train crew operating occupations,"1,540","1,465",75
73310 Railway and yard locomotive engineers,845,810,40
73311 Railway conductors and brakemen/women,695,655,40
"734 Operators, drillers and blasters","27,080","25,980","1,105"
"7340 Operators, drillers and blasters","27,080","25,980","1,105"
73400 Heavy equipment operators,"21,570","21,135",440
73401 Printing press operators,"4,440","3,780",650
"73402 Drillers and blasters - surface mining, quarrying and construction","1,075","1,060",15
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","27,870","21,475","6,395"
741 Mail and message distribution occupations,"16,710","11,120","5,590"
7410 Mail and message distribution occupations,"16,710","11,120","5,590"
74100 Mail and parcel sorters and related occupations,"4,605","3,040","1,565"
74101 Letter carriers,"7,795","4,405","3,395"
74102 Couriers and messengers,"4,310","3,680",635
"742 Transport equipment operators, utility maintenance and related workers","11,160","10,355",805
"7420 Transport equipment operators, utility maintenance and related maintenance workers","11,160","10,355",805
74200 Railway yard and track maintenance workers,970,920,45
74201 Water transport deck and engine room crew,"1,105",960,145
74202 Air transport ramp attendants,"1,525","1,345",175
74203 Automotive and heavy truck and equipment parts installers and servicers,"2,170","2,070",95
74204 Utility maintenance workers,285,255,35
74205 Public works maintenance equipment operators and related workers,"5,115","4,800",310
"75 Helpers and labourers and other transport drivers, operators and labourers","143,055","128,780","14,275"
751 Helpers and labourers,"97,110","86,515","10,595"
7510 Longshore workers and material handlers,"55,610","48,145","7,470"
75100 Longshore workers,"1,500","1,370",135
75101 Material handlers,"54,110","46,775","7,335"
7511 Trades helpers and labourers,"41,500","38,375","3,125"
75110 Construction trades helpers and labourers,"38,920","36,010","2,910"
75119 Other trades helpers and labourers,"2,580","2,365",210
"752 Transport drivers, operators and labourers","45,945","42,260","3,680"
"7520 Taxi, personal service and delivery service drivers","31,415","29,130","2,290"
75200 Taxi and limousine drivers and chauffeurs,"13,615","12,950",660
75201 Delivery service drivers and door-to-door distributors,"17,800","16,180","1,620"
7521 Water and rail transport operators and labourers and related occupations,"14,525","13,130","1,395"
75210 Boat and cable ferry operators and related occupations,245,225,25
75211 Railway and motor transport labourers,"2,070","1,675",395
75212 Public works and maintenance labourers,"12,215","11,235",980
"8 Natural resources, agriculture and related production occupations","99,600","79,010","20,590"
80 Middle management occupations in production and agriculture,"31,685","23,625","8,060"
800 Middle management occupations in production and agriculture,"31,685","23,625","8,060"
8001 Managers in natural resources production and fishing,"1,075",980,90
80010 Managers in natural resources production and fishing,"1,075",980,90
"8002 Managers in agriculture, horticulture and aquaculture","30,610","22,640","7,975"
80020 Managers in agriculture,"30,265","22,470","7,795"
80021 Managers in horticulture,290,115,170
80022 Managers in aquaculture,65,55,10
"82 Supervisors in natural resources, agriculture and related production","5,520","4,880",635
"820 Supervisors in natural resources, agriculture and related production","5,520","4,880",635
"8201 Supervisors, logging and forestry","1,125","1,065",55
"82010 Supervisors, logging and forestry","1,125","1,065",55
"8202 Contractors and supervisors, mining, oil and gas","1,530","1,460",70
"82020 Supervisors, mining and quarrying","1,500","1,430",70
"82021 Contractors and supervisors, oil and gas drilling and services",30,30,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","2,865","2,355",510
82030 Agricultural service contractors and farm supervisors,455,335,120
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","2,410","2,020",390
83 Occupations in natural resources and related production,"7,200","6,865",335
831 Occupations in natural resources and fisheries,"7,200","6,865",335
"8310 Underground miners, oil and gas drillers and related occupations","3,940","3,730",210
83100 Underground production and development miners,"3,625","3,515",110
"83101 Oil and gas well drillers, servicers, testers and related workers",320,215,100
8311 Logging machinery operators,"2,235","2,200",35
83110 Logging machinery operators,"2,235","2,200",35
8312 Fishing vessel masters and fishermen/women,"1,025",935,95
83120 Fishing masters and officers,95,90,0
83121 Fishermen/women,935,840,90
"84 Workers in natural resources, agriculture and related production","19,205","15,455","3,750"
841 Workers in natural resources and fisheries,"19,205","15,455","3,750"
8410 Mine service workers and operators in oil and gas drilling,"1,680","1,575",105
84100 Underground mine service and support workers,"1,575","1,485",90
84101 Oil and gas well drilling and related workers and services operators,105,90,15
8411 Logging and forestry workers,"5,465","5,045",420
84110 Chain saw and skidder operators,"2,450","2,380",70
84111 Silviculture and forestry workers,"3,015","2,665",350
8412 Workers in agriculture and fishing occupations,"12,060","8,840","3,220"
84120 Specialized livestock workers and farm machinery operators,"10,990","7,935","3,055"
84121 Fishing vessel deckhands,"1,065",905,165
"85 Harvesting, landscaping and natural resources labourers","35,990","28,180","7,805"
"851 Harvesting, landscaping and natural resources labourers","35,990","28,180","7,805"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","12,805","8,205","4,600"
85100 Livestock labourers,"6,700","4,325","2,375"
85101 Harvesting labourers,"3,220","2,265",960
85102 Aquaculture and marine harvest labourers,90,80,10
85103 Nursery and greenhouse labourers,"2,520","1,330","1,185"
85104 Trappers and hunters,280,205,75
"8511 Mine and oil and gas drilling, services and related labourers",640,575,60
85110 Mine labourers,500,445,55
"85111 Oil and gas drilling, servicing and related labourers",140,135,0
"8512 Logging, forestry, landscaping and other related labourers","22,550","19,395","3,150"
85120 Logging and forestry labourers,"1,185",910,280
85121 Landscaping and grounds maintenance labourers,"21,360","18,485","2,870"
9 Occupations in manufacturing and utilities,"227,185","163,635","63,550"
90 Middle management occupations in manufacturing and utilities,"19,645","15,015","4,625"
900 Middle management occupations in manufacturing and utilities,"19,645","15,015","4,625"
9001 Managers in manufacturing and utilities,"19,645","15,015","4,625"
90010 Manufacturing managers,"18,100","13,815","4,285"
90011 Utilities managers,"1,540","1,200",340
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","22,275","18,435","3,835"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","16,165","12,900","3,265"
"9201 Supervisors, processing and manufacturing occupations","12,480","9,870","2,605"
"92010 Supervisors, mineral and metal processing","2,005","1,870",135
"92011 Supervisors, petroleum, gas and chemical processing and utilities","2,145","1,605",540
"92012 Supervisors, food and beverage processing","4,605","3,310","1,290"
"92013 Supervisors, plastic and rubber products manufacturing","1,160",935,225
"92014 Supervisors, forest products processing","2,055","1,885",170
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",505,260,245
"9202 Supervisors, assembly and fabrication","3,685","3,025",655
"92020 Supervisors, motor vehicle assembling",300,260,40
"92021 Supervisors, electronics and electrical products manufacturing",485,365,120
"92022 Supervisors, furniture and fixtures manufacturing",695,550,150
"92023 Supervisors, other mechanical and metal products manufacturing",915,810,105
"92024 Supervisors, other products manufacturing and assembly","1,290","1,045",245
921 Utilities equipment operators and controllers,"6,115","5,535",575
9210 Utilities equipment operators and controllers,"6,115","5,535",575
92100 Power engineers and power systems operators,"3,850","3,625",225
92101 Water and waste treatment plant operators,"2,265","1,915",350
93 Central control and process operators and aircraft assembly assemblers and inspectors,"5,705","4,765",935
931 Central control and process operators in processing and manufacturing,"2,310","1,845",460
9310 Central control and process operators in processing and manufacturing,"2,310","1,845",460
"93100 Central control and process operators, mineral and metal processing",275,250,25
"93101 Central control and process operators, petroleum, gas and chemical processing","1,735","1,355",390
"93102 Pulping, papermaking and coating control operators",295,245,50
932 Aircraft assemblers and aircraft assembly inspectors,"3,395","2,925",475
9320 Aircraft assemblers and aircraft assembly inspectors,"3,395","2,925",475
93200 Aircraft assemblers and aircraft assembly inspectors,"3,395","2,925",475
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","104,540","76,725","27,815"
941 Processing and manufacturing machine operators and related production workers,"67,735","49,475","18,265"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"16,080","14,490","1,590"
"94100 Machine operators, mineral and metal processing","4,560","4,270",290
94101 Foundry workers,"1,500","1,400",105
94102 Glass forming and finishing machine operators and glass cutters,780,705,75
"94103 Concrete, clay and stone forming operators","1,285","1,230",55
"94104 Inspectors and testers, mineral and metal processing",775,585,185
94105 Metalworking and forging machine operators,"3,300","2,915",385
94106 Machining tool operators,"2,795","2,470",325
94107 Machine operators of other metal products,"1,085",910,175
"9411 Machine operators and related workers in chemical, plastic and rubber processing","9,955","7,380","2,580"
94110 Chemical plant machine operators,"3,235","2,195","1,035"
94111 Plastics processing machine operators,"4,625","3,440","1,185"
94112 Rubber processing machine operators and related workers,"2,095","1,740",360
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"11,405","9,900","1,505"
94120 Sawmill machine operators,"1,885","1,800",90
"94121 Pulp mill, papermaking and finishing machine operators","2,265","2,105",165
94122 Paper converting machine operators,"1,935","1,630",305
94123 Lumber graders and other wood processing inspectors and graders,"1,130",885,250
94124 Woodworking machine operators,"3,375","2,805",575
94129 Other wood processing machine operators,805,675,125
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","6,895","2,100","4,790"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","1,300",800,495
"94131 Weavers, knitters and other fabric making occupations",770,400,375
94132 Industrial sewing machine operators,"4,035",740,"3,295"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",785,155,630
"9414 Machine operators and related workers in food, beverage and associated products processing","19,970","13,480","6,490"
"94140 Process control and machine operators, food and beverage processing","13,090","9,210","3,880"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","4,245","3,125","1,120"
94142 Fish and seafood plant workers,980,540,440
"94143 Testers and graders, food and beverage processing","1,660",605,"1,050"
9415 Printing equipment operators and related occupations,"3,435","2,130","1,305"
94150 Plateless printing equipment operators,"1,745","1,110",640
"94151 Camera, platemaking and other prepress occupations",535,355,180
94152 Binding and finishing machine operators,935,570,365
94153 Photographic and film processors,220,100,120
942 Assemblers and inspectors in manufacturing,"36,800","27,245","9,550"
"9420 Mechanical, electrical and electronics assemblers and inspectors","14,860","10,665","4,200"
"94200 Motor vehicle assemblers, inspectors and testers","3,875","3,025",850
"94201 Electronics assemblers, fabricators, inspectors and testers","4,550","2,465","2,080"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","2,900","2,210",695
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",845,680,165
94204 Mechanical assemblers and inspectors,"2,405","2,050",355
"94205 Machine operators and inspectors, electrical apparatus manufacturing",285,225,60
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","21,940","16,590","5,355"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","6,080","4,440","1,635"
94211 Assemblers and inspectors of other wood products,"3,150","2,625",520
"94212 Plastic products assemblers, finishers and inspectors","1,730","1,025",705
"94213 Industrial painters, coaters and metal finishing process operators","4,265","3,705",560
"94219 Other products assemblers, finishers and inspectors","6,715","4,790","1,930"
"95 Labourers in processing, manufacturing and utilities","75,025","48,695","26,330"
"951 Labourers in processing, manufacturing and utilities","75,025","48,695","26,330"
"9510 Labourers in processing, manufacturing and utilities","75,025","48,695","26,330"
95100 Labourers in mineral and metal processing,"2,095","1,895",210
95101 Labourers in metal fabrication,"4,175","3,660",520
95102 Labourers in chemical products processing and utilities,"14,855","10,970","3,880"
"95103 Labourers in wood, pulp and paper processing","5,795","4,940",860
95104 Labourers in rubber and plastic products manufacturing,"3,200","2,160","1,035"
95105 Labourers in textile processing and cutting,"2,270","1,155","1,115"
95106 Labourers in food and beverage processing,"23,015","12,445","10,570"
95107 Labourers in fish and seafood processing,865,565,305
"95109 Other labourers in processing, manufacturing and utilities","18,755","10,905","7,855"
