Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
72204 Telecommunications line and cable installers and repairers,135,135,0
72205 Telecommunications equipment installation and cable television service technicians,265,255,10
723 Technical construction trades,"5,920","5,810",110
"7230 Plumbers, pipefitters and gas fitters","1,285","1,260",25
72300 Plumbers,545,535,15
"72301 Steamfitters, pipefitters and sprinkler system installers",690,680,10
72302 Gas fitters,45,45,0
7231 Carpenters and cabinetmakers,"4,250","4,185",65
72310 Carpenters,"4,080","4,030",55
72311 Cabinetmakers,165,155,15
7232 Bricklayers and insulators,380,365,15
72320 Bricklayers,180,170,10
72321 Insulators,200,195,0
724 Technical maintenance trades,"5,960","5,820",135
7240 Machinery and transportation equipment mechanics (except motor vehicles),"2,900","2,805",100
72400 Construction millwrights and industrial mechanics,"1,295","1,225",65
72401 Heavy-duty equipment mechanics,955,940,15
"72402 Heating, refrigeration and air conditioning mechanics",220,210,10
72403 Railway carmen/women,0,0,0
72404 Aircraft mechanics and aircraft inspectors,415,400,10
72405 Machine fitters,0,0,0
72406 Elevator constructors and mechanics,15,15,0
7241 Automotive service technicians,"2,700","2,665",35
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","2,280","2,255",25
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",420,410,10
7242 Small engine and equipment mechanics and related repairers (including electrical components),360,350,10
72420 Oil and solid fuel heating mechanics,105,105,0
72421 Appliance servicers and repairers,35,35,0
72422 Electrical mechanics,25,25,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",95,95,0
72429 Other small engine and small equipment repairers,95,90,0
725 Technical equipment operation trades,420,420,0
7250 Crane operators and water well drillers,420,420,0
72500 Crane operators,410,405,0
72501 Water well drillers,10,10,0
726 Transportation officers and controllers,"1,790","1,630",160
7260 Transportation officers and controllers,"1,790","1,630",160
"72600 Air pilots, flight engineers and flying instructors",360,325,35
72601 Air traffic controllers and related occupations,380,305,80
"72602 Deck officers, water transport",855,810,50
"72603 Engineer officers, water transport",190,190,0
72604 Railway traffic controllers and marine traffic regulators,10,10,0
729 Other technical trades,215,210,10
7299 Other technical trades,215,210,10
72999 Other technical trades and related occupations,215,210,10
73 General trades,"14,435","13,465",970
731 General construction trades,"1,600","1,450",150
"7310 Concrete finishers, tilesetters and plasterers",550,520,25
73100 Concrete finishers,175,150,20
73101 Tilesetters,45,45,0
"73102 Plasterers, drywall installers and finishers and lathers",330,320,0
"7311 Roofers, glaziers, painters, decorators and floor covering installers","1,050",935,120
73110 Roofers and shinglers,285,285,0
73111 Glaziers,75,75,0
73112 Painters and decorators (except interior decorators),540,420,120
73113 Floor covering installers,160,160,0
"732 Building maintenance installers, servicers and repairers","2,810","2,610",195
"7320 Building maintenance installers, servicers and repairers","2,810","2,610",195
73200 Residential and commercial installers and servicers,410,370,35
73201 General building maintenance workers and building superintendents,"2,195","2,035",155
73202 Pest controllers and fumigators,55,55,0
73209 Other repairers and servicers,150,145,0
733 Transportation occupations,"5,790","5,305",485
7330 Transport truck and transit drivers,"5,775","5,295",485
73300 Transport truck drivers,"4,555","4,365",190
"73301 Bus drivers, subway operators and other transit operators","1,220",925,300
7331 Train crew operating occupations,15,15,0
73310 Railway and yard locomotive engineers,0,0,0
73311 Railway conductors and brakemen/women,10,10,0
"734 Operators, drillers and blasters","4,235","4,095",135
"7340 Operators, drillers and blasters","4,235","4,095",135
73400 Heavy equipment operators,"4,025","3,900",125
73401 Printing press operators,25,15,10
"73402 Drillers and blasters - surface mining, quarrying and construction",190,180,10
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","3,210","2,620",590
741 Mail and message distribution occupations,"1,340",805,530
7410 Mail and message distribution occupations,"1,340",805,530
74100 Mail and parcel sorters and related occupations,345,100,240
74101 Letter carriers,435,215,215
74102 Couriers and messengers,565,490,80
"742 Transport equipment operators, utility maintenance and related workers","1,870","1,805",55
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,870","1,805",55
74200 Railway yard and track maintenance workers,45,35,0
74201 Water transport deck and engine room crew,810,790,20
74202 Air transport ramp attendants,335,315,25
74203 Automotive and heavy truck and equipment parts installers and servicers,220,220,0
74204 Utility maintenance workers,175,170,0
74205 Public works maintenance equipment operators and related workers,285,275,10
"75 Helpers and labourers and other transport drivers, operators and labourers","11,145","9,790","1,350"
751 Helpers and labourers,"7,960","7,080",875
7510 Longshore workers and material handlers,"2,510","2,270",240
75100 Longshore workers,275,250,30
75101 Material handlers,"2,230","2,020",210
7511 Trades helpers and labourers,"5,455","4,810",635
75110 Construction trades helpers and labourers,"5,140","4,525",620
75119 Other trades helpers and labourers,310,295,20
"752 Transport drivers, operators and labourers","3,185","2,710",480
"7520 Taxi, personal service and delivery service drivers","1,645","1,460",180
75200 Taxi and limousine drivers and chauffeurs,540,470,70
75201 Delivery service drivers and door-to-door distributors,"1,105",990,110
7521 Water and rail transport operators and labourers and related occupations,"1,550","1,250",295
75210 Boat and cable ferry operators and related occupations,380,335,35
75211 Railway and motor transport labourers,55,50,0
75212 Public works and maintenance labourers,"1,115",860,255
"8 Natural resources, agriculture and related production occupations","13,660","10,905","2,750"
80 Middle management occupations in production and agriculture,880,740,140
800 Middle management occupations in production and agriculture,880,740,140
8001 Managers in natural resources production and fishing,420,360,60
80010 Managers in natural resources production and fishing,420,360,60
"8002 Managers in agriculture, horticulture and aquaculture",460,380,80
80020 Managers in agriculture,370,325,50
80021 Managers in horticulture,35,20,20
80022 Managers in aquaculture,55,35,15
"82 Supervisors in natural resources, agriculture and related production","1,005",955,50
"820 Supervisors in natural resources, agriculture and related production","1,005",955,50
"8201 Supervisors, logging and forestry",85,85,0
"82010 Supervisors, logging and forestry",85,85,0
"8202 Contractors and supervisors, mining, oil and gas",770,725,50
"82020 Supervisors, mining and quarrying",435,410,30
"82021 Contractors and supervisors, oil and gas drilling and services",330,315,20
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",155,145,0
82030 Agricultural service contractors and farm supervisors,15,10,0
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",140,140,0
83 Occupations in natural resources and related production,"5,150","4,045","1,100"
831 Occupations in natural resources and fisheries,"5,150","4,045","1,100"
"8310 Underground miners, oil and gas drillers and related occupations",830,770,60
83100 Underground production and development miners,565,500,60
"83101 Oil and gas well drillers, servicers, testers and related workers",270,270,0
8311 Logging machinery operators,95,95,0
83110 Logging machinery operators,95,95,0
8312 Fishing vessel masters and fishermen/women,"4,225","3,185","1,040"
83120 Fishing masters and officers,240,235,0
83121 Fishermen/women,"3,985","2,945","1,040"
"84 Workers in natural resources, agriculture and related production","3,215","2,410",805
841 Workers in natural resources and fisheries,"3,215","2,410",805
8410 Mine service workers and operators in oil and gas drilling,385,325,60
84100 Underground mine service and support workers,295,230,55
84101 Oil and gas well drilling and related workers and services operators,95,95,0
8411 Logging and forestry workers,375,355,20
84110 Chain saw and skidder operators,220,220,0
84111 Silviculture and forestry workers,150,135,15
8412 Workers in agriculture and fishing occupations,"2,455","1,730",720
84120 Specialized livestock workers and farm machinery operators,270,190,75
84121 Fishing vessel deckhands,"2,185","1,540",645
"85 Harvesting, landscaping and natural resources labourers","3,415","2,755",655
"851 Harvesting, landscaping and natural resources labourers","3,415","2,755",655
"8510 Agriculture, horticulture and harvesting labourers and related occupations","1,005",745,260
85100 Livestock labourers,305,205,100
85101 Harvesting labourers,80,45,35
85102 Aquaculture and marine harvest labourers,450,420,25
85103 Nursery and greenhouse labourers,165,70,100
85104 Trappers and hunters,0,0,0
"8511 Mine and oil and gas drilling, services and related labourers",495,440,55
85110 Mine labourers,250,205,45
"85111 Oil and gas drilling, servicing and related labourers",240,230,10
"8512 Logging, forestry, landscaping and other related labourers","1,915","1,570",340
85120 Logging and forestry labourers,110,105,0
85121 Landscaping and grounds maintenance labourers,"1,805","1,465",335
9 Occupations in manufacturing and utilities,"11,155","7,680","3,475"
90 Middle management occupations in manufacturing and utilities,550,440,105
900 Middle management occupations in manufacturing and utilities,550,440,105
9001 Managers in manufacturing and utilities,550,440,105
90010 Manufacturing managers,435,340,100
90011 Utilities managers,110,105,10
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","1,525","1,360",170
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations",550,425,120
"9201 Supervisors, processing and manufacturing occupations",520,410,110
"92010 Supervisors, mineral and metal processing",65,65,0
"92011 Supervisors, petroleum, gas and chemical processing and utilities",195,165,30
"92012 Supervisors, food and beverage processing",220,150,75
"92013 Supervisors, plastic and rubber products manufacturing",10,10,0
"92014 Supervisors, forest products processing",20,20,0
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0
"9202 Supervisors, assembly and fabrication",25,15,10
"92020 Supervisors, motor vehicle assembling",0,0,0
"92021 Supervisors, electronics and electrical products manufacturing",0,0,0
"92022 Supervisors, furniture and fixtures manufacturing",0,0,0
"92023 Supervisors, other mechanical and metal products manufacturing",20,10,10
"92024 Supervisors, other products manufacturing and assembly",0,0,0
921 Utilities equipment operators and controllers,975,925,50
9210 Utilities equipment operators and controllers,975,925,50
92100 Power engineers and power systems operators,815,790,30
92101 Water and waste treatment plant operators,160,140,20
93 Central control and process operators and aircraft assembly assemblers and inspectors,470,420,45
931 Central control and process operators in processing and manufacturing,460,410,45
9310 Central control and process operators in processing and manufacturing,460,410,45
"93100 Central control and process operators, mineral and metal processing",115,105,10
"93101 Central control and process operators, petroleum, gas and chemical processing",320,280,35
"93102 Pulping, papermaking and coating control operators",15,15,0
932 Aircraft assemblers and aircraft assembly inspectors,15,15,0
9320 Aircraft assemblers and aircraft assembly inspectors,15,15,0
93200 Aircraft assemblers and aircraft assembly inspectors,15,15,0
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","3,865","2,410","1,450"
941 Processing and manufacturing machine operators and related production workers,"3,275","1,895","1,385"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,255,215,35
"94100 Machine operators, mineral and metal processing",175,155,15
94101 Foundry workers,20,10,10
94102 Glass forming and finishing machine operators and glass cutters,0,0,0
"94103 Concrete, clay and stone forming operators",20,20,0
"94104 Inspectors and testers, mineral and metal processing",0,0,0
94105 Metalworking and forging machine operators,25,25,0
94106 Machining tool operators,0,0,0
94107 Machine operators of other metal products,0,0,0
"9411 Machine operators and related workers in chemical, plastic and rubber processing",90,70,15
94110 Chemical plant machine operators,25,25,0
94111 Plastics processing machine operators,30,20,10
94112 Rubber processing machine operators and related workers,35,30,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,180,170,10
94120 Sawmill machine operators,45,45,0
"94121 Pulp mill, papermaking and finishing machine operators",65,65,0
94122 Paper converting machine operators,20,20,0
94123 Lumber graders and other wood processing inspectors and graders,10,10,0
94124 Woodworking machine operators,20,10,10
94129 Other wood processing machine operators,10,10,0
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",160,40,120
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",15,10,0
"94131 Weavers, knitters and other fabric making occupations",30,10,20
94132 Industrial sewing machine operators,105,10,95
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",10,10,0
"9414 Machine operators and related workers in food, beverage and associated products processing","2,505","1,345","1,155"
"94140 Process control and machine operators, food and beverage processing",250,200,50
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",50,35,10
94142 Fish and seafood plant workers,"1,950","1,020",920
"94143 Testers and graders, food and beverage processing",255,85,170
9415 Printing equipment operators and related occupations,95,45,45
94150 Plateless printing equipment operators,60,30,25
"94151 Camera, platemaking and other prepress occupations",10,0,10
94152 Binding and finishing machine operators,0,0,0
94153 Photographic and film processors,20,10,10
942 Assemblers and inspectors in manufacturing,590,525,65
"9420 Mechanical, electrical and electronics assemblers and inspectors",135,125,15
"94200 Motor vehicle assemblers, inspectors and testers",65,50,15
"94201 Electronics assemblers, fabricators, inspectors and testers",25,25,0
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0,0
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0
94204 Mechanical assemblers and inspectors,40,40,0
"94205 Machine operators and inspectors, electrical apparatus manufacturing",0,0,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors",450,400,50
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",100,80,20
94211 Assemblers and inspectors of other wood products,80,80,0
"94212 Plastic products assemblers, finishers and inspectors",10,10,0
"94213 Industrial painters, coaters and metal finishing process operators",125,120,0
"94219 Other products assemblers, finishers and inspectors",140,110,30
"95 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705"
"951 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705"
"9510 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705"
95100 Labourers in mineral and metal processing,75,65,10
95101 Labourers in metal fabrication,105,105,0
95102 Labourers in chemical products processing and utilities,95,70,25
"95103 Labourers in wood, pulp and paper processing",180,165,15
95104 Labourers in rubber and plastic products manufacturing,35,25,0
95105 Labourers in textile processing and cutting,50,15,35
95106 Labourers in food and beverage processing,675,410,270
95107 Labourers in fish and seafood processing,"2,585","1,520","1,065"
"95109 Other labourers in processing, manufacturing and utilities",950,670,285
