Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21231 Software engineers and designers,0,0,0
21232 Software developers and programmers,0,0,0
21233 Web designers,0,0,0
21234 Web developers and programmers,25,20,0
213 Professional occupations in engineering,220,195,25
2130 Civil and mechanical engineers,160,145,15
21300 Civil engineers,100,95,10
21301 Mechanical engineers,60,55,0
"2131 Electrical, electronics and computer engineers",30,25,0
21310 Electrical and electronics engineers,25,15,0
21311 Computer engineers (except software engineers and designers),0,0,0
2132 Manufacturing and processing engineers,0,0,0
21320 Chemical engineers,0,0,0
21321 Industrial and manufacturing engineers,0,0,0
21322 Metallurgical and materials engineers,0,0,0
2133 Natural resources engineers,20,20,0
21330 Mining engineers,20,20,0
21331 Geological engineers,0,0,0
21332 Petroleum engineers,0,0,0
2139 Other engineers,10,0,0
21390 Aerospace engineers,10,0,0
21399 Other professional engineers,0,0,0
22 Technical occupations related to natural and applied sciences,615,505,115
221 Technical occupations related to natural sciences,140,95,45
2210 Technical occupations in physical sciences,40,25,10
22100 Chemical technologists and technicians,10,0,0
22101 Geological and mineral technologists and technicians,30,25,0
2211 Technical occupations in life sciences,105,70,35
22110 Biological technologists and technicians,35,15,20
22111 Agricultural and fish products inspectors,0,0,0
22112 Forestry technologists and technicians,25,20,10
22113 Conservation and fishery officers,45,35,10
22114 Landscape and horticulture technicians and specialists,0,0,0
222 Technical occupations related to applied sciences (except engineering),295,235,50
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",90,75,10
22210 Architectural technologists and technicians,0,0,0
22211 Industrial designers,0,0,0
22212 Drafting technologists and technicians,15,15,0
22213 Land survey technologists and technicians,15,15,0
22214 Technical occupations in geomatics and meteorology,55,45,10
2222 Technical occupations in computer and information systems,140,125,15
22220 Computer network and web technicians,85,75,0
22221 User support technicians,60,45,10
22222 Information systems testing technicians,0,0,0
2223 Technical inspectors and regulatory officers,60,40,25
22230 Non-destructive testers and inspectors,0,0,0
22231 Engineering inspectors and regulatory officers,0,0,0
22232 Occupational health and safety specialists,50,25,25
22233 Construction inspectors,10,10,0
223 Technical occupations related to engineering,180,165,15
"2230 Technical occupations in civil, mechanical and industrial engineering",50,45,0
22300 Civil engineering technologists and technicians,20,20,0
22301 Mechanical engineering technologists and technicians,15,10,0
22302 Industrial engineering and manufacturing technologists and technicians,0,0,0
22303 Construction estimators,20,20,0
2231 Technical occupations in electronics and electrical engineering,130,120,15
22310 Electrical and electronics engineering technologists and technicians,30,35,0
22311 Electronic service technicians (household and business equipment),75,65,10
22312 Industrial instrument technicians and mechanics,0,0,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",20,20,0
3 Health occupations,"1,390",290,"1,100"
30 Specialized middle management occupations in health care,40,10,35
300 Specialized middle management occupations in health care,40,10,35
3001 Managers in health care,40,10,35
30010 Managers in health care,40,10,35
31 Professional occupations in health,715,130,590
311 Health treating and consultation services professionals,160,55,110
3110 Physicians and veterinarians,70,30,40
31100 Specialists in clinical and laboratory medicine,10,10,0
31101 Specialists in surgery,0,0,0
31102 General practitioners and family physicians,50,20,30
31103 Veterinarians,10,0,10
"3111 Dentists, optometrists and audiologists",45,0,35
31110 Dentists,15,0,10
31111 Optometrists,0,0,0
31112 Audiologists and speech-language pathologists,30,0,30
3112 Pharmacists and dietitians,50,20,30
31120 Pharmacists,35,20,15
31121 Dietitians and nutritionists,15,0,15
312 Therapy and assessment professionals,85,25,65
3120 Therapy and assessment professionals,85,25,65
31200 Psychologists,25,15,15
31201 Chiropractors,0,0,0
31202 Physiotherapists,10,0,10
31203 Occupational therapists,35,0,35
31204 Kinesiologists and other professional occupations in therapy and assessment,0,0,0
31209 Other professional occupations in health diagnosing and treating,0,0,0
313 Nursing and allied health professionals,470,55,415
3130 Nursing and allied health professionals,470,55,415
31300 Nursing coordinators and supervisors,25,10,20
31301 Registered nurses and registered psychiatric nurses,430,45,380
31302 Nurse practitioners,10,0,15
"31303 Physician assistants, midwives and allied health professionals",0,0,0
32 Technical occupations in health,220,75,145
321 Technical occupations in health (except practitioners of natural healing),185,70,115
3210 Technical occupations in therapy and assessment,115,60,55
32100 Opticians,0,0,0
32101 Licensed practical nurses,40,10,35
32102 Paramedical occupations,45,35,10
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0,0
32104 Animal health technologists and veterinary technicians,0,0,0
32109 Other technical occupations in therapy and assessment,25,15,10
3211 Technical occupations in dental health care,20,0,20
32110 Denturists,0,0,0
32111 Dental hygienists and dental therapists,15,0,15
32112 Dental technologists and technicians,0,0,0
3212 Medical technologists and technicians,50,0,40
32120 Medical laboratory technologists,25,0,20
32121 Medical radiation technologists,10,0,10
32122 Medical sonographers,0,0,0
32123 Cardiology technologists and electrophysiological diagnostic technologists,0,0,0
32124 Pharmacy technicians,15,10,15
32129 Other medical technologists and technicians,0,0,0
322 Practitioners of natural healing,35,10,25
3220 Practitioners of natural healing,35,10,25
32200 Traditional Chinese medicine practitioners and acupuncturists,0,0,0
32201 Massage therapists,25,10,20
32209 Other practitioners of natural healing,0,0,0
33 Assisting occupations in support of health services,415,80,330
331 Assisting occupations in support of health services,415,80,330
3310 Assisting occupations in support of health services,415,80,330
33100 Dental assistants and dental laboratory assistants,20,0,20
33101 Medical laboratory assistants and related technical occupations,10,0,10
"33102 Nurse aides, orderlies and patient service associates",275,45,225
33103 Pharmacy technical assistants and pharmacy assistants,15,0,15
33109 Other assisting occupations in support of health services,90,35,60
"4 Occupations in education, law and social, community and government services","5,040","1,925","3,115"
"40 Managers in public administration, in education and social and community services and in public protection services",535,285,250
"400 Managers in public administration, in education and social and community services and in public protection services",535,285,250
4001 Managers in public administration,210,125,85
40010 Government managers - health and social policy development and program administration,70,25,45
"40011 Government managers - economic analysis, policy development and program administration",95,75,15
40012 Government managers - education policy development and program administration,25,10,15
40019 Other managers in public administration,25,20,0
4002 Managers in education,110,55,55
40020 Administrators - post-secondary education and vocational training,30,15,15
40021 School principals and administrators of elementary and secondary education,80,40,40
"4003 Managers in social, community and correctional services",130,35,100
"40030 Managers in social, community and correctional services",130,35,100
4004 Managers in public protection services,85,75,10
40040 Commissioned police officers and related occupations in public protection services,0,0,0
40041 Fire chiefs and senior firefighting officers,15,15,0
40042 Commissioned officers of the Canadian Armed Forces,70,65,10
"41 Professional occupations in law, education, social, community and government services","2,460",850,"1,605"
411 Professional occupations in law,165,80,85
"4110 Judges, lawyers and Quebec notaries",165,80,85
41100 Judges,15,10,10
41101 Lawyers and Quebec notaries,150,70,75
412 Professional occupations in education services,"1,040",300,740
4120 University professors and post-secondary assistants,50,25,25
41200 University professors and lecturers,10,0,10
41201 Post-secondary teaching and research assistants,40,25,15
4121 College and other vocational instructors,185,70,110
41210 College and other vocational instructors,185,70,110
"4122 Secondary, elementary and kindergarten school teachers",800,210,600
41220 Secondary school teachers,230,115,115
41221 Elementary school and kindergarten teachers,575,95,480
413 Professional occupations in social and community services,300,90,210
4130 Social and community service professionals,195,50,145
41300 Social workers,105,10,100
41301 Therapists in counselling and related specialized therapies,50,10,45
41302 Religious leaders,35,30,0
4131 Police investigators and probation officers,60,30,30
41310 Police investigators and other investigative occupations,20,20,0
41311 Probation and parole officers,45,15,30
4132 Educational and employment counsellors,45,15,30
41320 Educational counsellors,20,10,15
41321 Career development practitioners and career counsellors (except education),20,10,10
414 Professional occupations in government services,950,375,575
"4140 Policy and program researchers, consultants and officers",950,375,575
"41400 Natural and applied science policy researchers, consultants and program officers",180,85,95
41401 Economists and economic policy researchers and analysts,25,15,15
41402 Business development officers and market researchers and analysts,75,45,25
"41403 Social policy researchers, consultants and program officers",210,85,120
"41404 Health policy researchers, consultants and program officers",120,35,90
"41405 Education policy researchers, consultants and program officers",160,35,125
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",35,20,15
41407 Program officers unique to government,110,40,70
41409 Other professional occupations in social science,30,10,20
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","1,090",405,685
421 Occupations in front-line public protection services,300,225,80
4210 Occupations in front-line public protection services,300,225,80
42100 Police officers (except commissioned),225,155,70
42101 Firefighters,70,65,0
42102 Specialized members of the Canadian Armed Forces,0,0,0
"422 Paraprofessional occupations in legal, social, community and education services",790,185,610
"4220 Paraprofessional occupations in legal, social, community and education services",790,185,610
42200 Paralegals and related occupations,35,0,30
42201 Social and community service workers,485,150,335
42202 Early childhood educators and assistants,265,30,235
42203 Instructors of persons with disabilities,0,0,0
42204 Religion workers,0,0,0
43 Assisting occupations in education and in legal and public protection,750,350,405
431 Assisting occupations in educational,385,75,310
4310 Assisting occupations in education,385,75,310
43100 Elementary and secondary school teacher assistants,355,65,290
43109 Other instructors,30,0,25
432 Assisting occupations in legal and public protection,370,280,90
4320 Assisting occupations in legal and public protection,370,280,90
43200 Sheriffs and bailiffs,0,0,0
43201 Correctional service officers,165,105,65
43202 By-law enforcement and other regulatory officers,40,35,0
"43203 Border services, customs, and immigration officers",20,10,0
43204 Operations members of the Canadian Armed Forces,145,120,20
44 Care providers and legal and public protection support occupations,200,25,170
441 Home care provider occupations,175,10,170
4410 Home care provider occupations,175,10,170
44100 Home child care providers,105,0,100
"44101 Home support workers, caregivers and related occupations",75,0,75
442 Primary combat members of the Canadian Armed Forces,20,20,0
4420 Primary combat members of the Canadian Armed Forces,20,20,0
44200 Primary combat members of the Canadian Armed Forces,20,20,0
"45 Student monitors, crossing guards and related occupations",0,0,0
"451 Student monitors, crossing guards and related occupations",0,0,0
"4510 Student monitors, crossing guards and related occupations",0,0,0
"45100 Student monitors, crossing guards and related occupations",0,0,0
"5 Occupations in art, culture, recreation and sport",605,250,360
"50 Specialized middle management occupations in art, culture, recreation and sport",40,20,20
"500 Specialized middle management occupations in art, culture, recreation and sport",40,20,20
"5001 Managers in art, culture, recreation and sport",40,20,20
"50010 Library, archive, museum and art gallery managers",20,10,10
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",10,10,0
"50012 Recreation, sports and fitness program and service directors",15,10,0
51 Professional occupations in art and culture,190,75,120
511 Professional occupations in art and culture,190,75,120
"5110 Librarians, archivists, conservators and curators",40,0,35
51100 Librarians,20,0,20
51101 Conservators and curators,0,0,0
51102 Archivists,15,0,15
"5111 Writing, translating and related communications professionals",100,60,45
51110 Editors,0,0,0
51111 Authors and writers (except technical),10,0,10
51112 Technical writers,0,0,0
51113 Journalists,40,30,10
"51114 Translators, terminologists and interpreters",50,20,25
5112 Creative and performing artists,50,15,40
"51120 Producers, directors, choreographers and related occupations",20,10,10
"51121 Conductors, composers and arrangers",0,0,0
51122 Musicians and singers,30,0,20
"52 Technical occupations in art, culture and sport",105,30,80
521 Technical occupations in art and culture,105,30,80
5210 Technical occupations in libraries and public archives,15,0,15
52100 Library and public archive technicians,15,0,15
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",50,20,35
52110 Film and video camera operators,0,0,0
52111 Graphic arts technicians,0,0,0
52112 Broadcast technicians,0,0,0
52113 Audio and video recording technicians,0,0,0
52114 Announcers and other broadcasters,35,10,25
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",10,10,0
5212 Graphic and interior designers,40,10,30
52120 Graphic designers and illustrators,40,10,30
52121 Interior designers and interior decorators,0,0,0
"53 Occupations in art, culture and sport",120,45,80
531 Occupations in art and culture,120,45,80
5310 Occupations related to museums and art galleries,10,10,10
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",10,10,10
5311 Photographers and support occupations in arts and culture,25,10,15
53110 Photographers,20,10,10
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",0,0,0
5312 Occupations in creative and performing art,85,25,55
53120 Dancers,0,0,0
"53121 Actors, comedians and circus performers",0,0,0
"53122 Painters, sculptors and other visual artists",35,15,20
"53123 Theatre, fashion, exhibit and other creative designers",10,0,10
53124 Artisans and craftspersons,40,15,25
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,0,0,0
"5320 Athletes, coaches, referees and related occupations",0,0,0
53200 Athletes,0,0,0
53201 Coaches,10,10,0
53202 Sports officials and referees,0,0,0
54 Support occupations in sport,140,75,65
541 Support occupations in sport,140,75,65
"5410 Program leaders and instructors in recreation, sport and fitness",140,75,65
"54100 Program leaders and instructors in recreation, sport and fitness",140,75,65
55 Support occupations in art and culture,0,0,0
551 Support occupations in art and culture,0,0,0
5510 Support occupations in art and culture,0,0,0
55109 Other performers,0,0,0
