Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",850,840,10
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",125,125,0
7242 Small engine and equipment mechanics and related repairers (including electrical components),115,115,0
72420 Oil and solid fuel heating mechanics,35,35,0
72421 Appliance servicers and repairers,25,25,0
72422 Electrical mechanics,20,20,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",0,0,0
72429 Other small engine and small equipment repairers,25,25,0
725 Technical equipment operation trades,70,70,0
7250 Crane operators and water well drillers,70,70,0
72500 Crane operators,60,60,0
72501 Water well drillers,10,10,0
726 Transportation officers and controllers,115,110,0
7260 Transportation officers and controllers,115,110,0
"72600 Air pilots, flight engineers and flying instructors",20,20,0
72601 Air traffic controllers and related occupations,20,15,0
"72602 Deck officers, water transport",60,60,0
"72603 Engineer officers, water transport",15,15,0
72604 Railway traffic controllers and marine traffic regulators,0,0,0
729 Other technical trades,40,40,0
7299 Other technical trades,40,40,0
72999 Other technical trades and related occupations,40,40,0
73 General trades,"4,355","4,110",245
731 General construction trades,645,620,20
"7310 Concrete finishers, tilesetters and plasterers",180,180,0
73100 Concrete finishers,30,30,0
73101 Tilesetters,35,35,0
"73102 Plasterers, drywall installers and finishers and lathers",115,115,0
"7311 Roofers, glaziers, painters, decorators and floor covering installers",460,440,20
73110 Roofers and shinglers,135,135,0
73111 Glaziers,0,0,0
73112 Painters and decorators (except interior decorators),250,230,20
73113 Floor covering installers,75,75,0
"732 Building maintenance installers, servicers and repairers","1,000",925,70
"7320 Building maintenance installers, servicers and repairers","1,000",925,70
73200 Residential and commercial installers and servicers,255,245,10
73201 General building maintenance workers and building superintendents,670,605,65
73202 Pest controllers and fumigators,30,30,0
73209 Other repairers and servicers,45,45,0
733 Transportation occupations,"2,175","2,045",130
7330 Transport truck and transit drivers,"2,175","2,045",130
73300 Transport truck drivers,"1,805","1,785",15
"73301 Bus drivers, subway operators and other transit operators",370,260,110
7331 Train crew operating occupations,0,0,0
73310 Railway and yard locomotive engineers,0,0,0
73311 Railway conductors and brakemen/women,0,0,0
"734 Operators, drillers and blasters",540,520,20
"7340 Operators, drillers and blasters",540,520,20
73400 Heavy equipment operators,505,500,0
73401 Printing press operators,15,0,15
"73402 Drillers and blasters - surface mining, quarrying and construction",20,20,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",640,475,165
741 Mail and message distribution occupations,415,250,160
7410 Mail and message distribution occupations,415,250,160
74100 Mail and parcel sorters and related occupations,110,40,70
74101 Letter carriers,170,100,70
74102 Couriers and messengers,135,115,20
"742 Transport equipment operators, utility maintenance and related workers",225,225,0
"7420 Transport equipment operators, utility maintenance and related maintenance workers",225,225,0
74200 Railway yard and track maintenance workers,0,0,0
74201 Water transport deck and engine room crew,60,60,0
74202 Air transport ramp attendants,25,25,0
74203 Automotive and heavy truck and equipment parts installers and servicers,40,40,0
74204 Utility maintenance workers,20,20,0
74205 Public works maintenance equipment operators and related workers,85,85,0
"75 Helpers and labourers and other transport drivers, operators and labourers","3,260","2,825",440
751 Helpers and labourers,"2,345","2,030",320
7510 Longshore workers and material handlers,685,615,75
75100 Longshore workers,20,20,0
75101 Material handlers,660,595,70
7511 Trades helpers and labourers,"1,655","1,410",245
75110 Construction trades helpers and labourers,"1,575","1,335",240
75119 Other trades helpers and labourers,85,80,0
"752 Transport drivers, operators and labourers",915,795,120
"7520 Taxi, personal service and delivery service drivers",620,570,50
75200 Taxi and limousine drivers and chauffeurs,190,180,10
75201 Delivery service drivers and door-to-door distributors,425,390,40
7521 Water and rail transport operators and labourers and related occupations,300,230,70
75210 Boat and cable ferry operators and related occupations,50,35,15
75211 Railway and motor transport labourers,10,0,10
75212 Public works and maintenance labourers,240,185,50
"8 Natural resources, agriculture and related production occupations","7,685","6,040","1,645"
80 Middle management occupations in production and agriculture,"1,535","1,255",280
800 Middle management occupations in production and agriculture,"1,535","1,255",280
8001 Managers in natural resources production and fishing,30,25,10
80010 Managers in natural resources production and fishing,30,25,10
"8002 Managers in agriculture, horticulture and aquaculture","1,505","1,235",275
80020 Managers in agriculture,"1,365","1,125",240
80021 Managers in horticulture,40,25,15
80022 Managers in aquaculture,100,80,20
"82 Supervisors in natural resources, agriculture and related production",240,190,55
"820 Supervisors in natural resources, agriculture and related production",240,190,55
"8201 Supervisors, logging and forestry",20,20,0
"82010 Supervisors, logging and forestry",20,20,0
"8202 Contractors and supervisors, mining, oil and gas",45,35,0
"82020 Supervisors, mining and quarrying",0,0,0
"82021 Contractors and supervisors, oil and gas drilling and services",35,30,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",180,130,45
82030 Agricultural service contractors and farm supervisors,50,25,20
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",125,105,25
83 Occupations in natural resources and related production,"1,445","1,145",305
831 Occupations in natural resources and fisheries,"1,445","1,145",305
"8310 Underground miners, oil and gas drillers and related occupations",0,0,0
83100 Underground production and development miners,0,0,0
"83101 Oil and gas well drillers, servicers, testers and related workers",0,0,0
8311 Logging machinery operators,30,30,0
83110 Logging machinery operators,30,30,0
8312 Fishing vessel masters and fishermen/women,"1,415","1,110",305
83120 Fishing masters and officers,50,50,0
83121 Fishermen/women,"1,360","1,060",305
"84 Workers in natural resources, agriculture and related production","2,115","1,640",470
841 Workers in natural resources and fisheries,"2,115","1,640",470
8410 Mine service workers and operators in oil and gas drilling,20,15,0
84100 Underground mine service and support workers,0,0,0
84101 Oil and gas well drilling and related workers and services operators,15,10,0
8411 Logging and forestry workers,110,100,10
84110 Chain saw and skidder operators,60,55,0
84111 Silviculture and forestry workers,55,45,0
8412 Workers in agriculture and fishing occupations,"1,985","1,530",455
84120 Specialized livestock workers and farm machinery operators,860,695,165
84121 Fishing vessel deckhands,"1,130",835,295
"85 Harvesting, landscaping and natural resources labourers","2,360","1,815",545
"851 Harvesting, landscaping and natural resources labourers","2,360","1,815",545
"8510 Agriculture, horticulture and harvesting labourers and related occupations","1,360",960,400
85100 Livestock labourers,340,205,135
85101 Harvesting labourers,405,270,135
85102 Aquaculture and marine harvest labourers,485,405,80
85103 Nursery and greenhouse labourers,125,75,55
85104 Trappers and hunters,0,0,0
"8511 Mine and oil and gas drilling, services and related labourers",25,25,0
85110 Mine labourers,0,0,0
"85111 Oil and gas drilling, servicing and related labourers",25,25,0
"8512 Logging, forestry, landscaping and other related labourers",975,835,145
85120 Logging and forestry labourers,20,20,0
85121 Landscaping and grounds maintenance labourers,955,815,140
9 Occupations in manufacturing and utilities,"4,670","3,045","1,620"
90 Middle management occupations in manufacturing and utilities,350,255,95
900 Middle management occupations in manufacturing and utilities,350,255,95
9001 Managers in manufacturing and utilities,350,255,95
90010 Manufacturing managers,320,225,90
90011 Utilities managers,30,25,0
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",530,435,95
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations",250,175,80
"9201 Supervisors, processing and manufacturing occupations",235,165,70
"92010 Supervisors, mineral and metal processing",0,0,0
"92011 Supervisors, petroleum, gas and chemical processing and utilities",50,40,0
"92012 Supervisors, food and beverage processing",170,115,60
"92013 Supervisors, plastic and rubber products manufacturing",0,0,0
"92014 Supervisors, forest products processing",0,0,0
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0
"9202 Supervisors, assembly and fabrication",20,10,10
"92020 Supervisors, motor vehicle assembling",0,0,0
"92021 Supervisors, electronics and electrical products manufacturing",0,0,0
"92022 Supervisors, furniture and fixtures manufacturing",0,0,0
"92023 Supervisors, other mechanical and metal products manufacturing",15,10,0
"92024 Supervisors, other products manufacturing and assembly",0,0,0
921 Utilities equipment operators and controllers,280,265,15
9210 Utilities equipment operators and controllers,280,265,15
92100 Power engineers and power systems operators,210,210,0
92101 Water and waste treatment plant operators,70,50,15
93 Central control and process operators and aircraft assembly assemblers and inspectors,95,80,10
931 Central control and process operators in processing and manufacturing,70,70,0
9310 Central control and process operators in processing and manufacturing,70,70,0
"93100 Central control and process operators, mineral and metal processing",0,0,0
"93101 Central control and process operators, petroleum, gas and chemical processing",70,60,0
"93102 Pulping, papermaking and coating control operators",0,0,0
932 Aircraft assemblers and aircraft assembly inspectors,20,15,10
9320 Aircraft assemblers and aircraft assembly inspectors,20,15,10
93200 Aircraft assemblers and aircraft assembly inspectors,20,15,10
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","1,985","1,185",800
941 Processing and manufacturing machine operators and related production workers,"1,730",970,760
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,55,55,0
"94100 Machine operators, mineral and metal processing",10,10,0
94101 Foundry workers,0,0,0
94102 Glass forming and finishing machine operators and glass cutters,10,10,0
"94103 Concrete, clay and stone forming operators",0,0,0
"94104 Inspectors and testers, mineral and metal processing",0,0,0
94105 Metalworking and forging machine operators,25,25,0
94106 Machining tool operators,0,0,0
94107 Machine operators of other metal products,0,0,0
"9411 Machine operators and related workers in chemical, plastic and rubber processing",35,30,10
94110 Chemical plant machine operators,20,15,0
94111 Plastics processing machine operators,15,10,0
94112 Rubber processing machine operators and related workers,0,0,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,55,50,0
94120 Sawmill machine operators,15,15,0
"94121 Pulp mill, papermaking and finishing machine operators",0,0,0
94122 Paper converting machine operators,25,25,0
94123 Lumber graders and other wood processing inspectors and graders,0,0,0
94124 Woodworking machine operators,10,10,0
94129 Other wood processing machine operators,0,0,0
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",35,0,35
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",0,0,0
"94131 Weavers, knitters and other fabric making occupations",25,0,15
94132 Industrial sewing machine operators,10,0,10
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0
"9414 Machine operators and related workers in food, beverage and associated products processing","1,480",785,695
"94140 Process control and machine operators, food and beverage processing",350,275,75
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",90,70,20
94142 Fish and seafood plant workers,600,275,325
"94143 Testers and graders, food and beverage processing",445,165,280
9415 Printing equipment operators and related occupations,70,45,20
94150 Plateless printing equipment operators,15,15,0
"94151 Camera, platemaking and other prepress occupations",10,0,10
94152 Binding and finishing machine operators,30,30,0
94153 Photographic and film processors,15,10,10
942 Assemblers and inspectors in manufacturing,255,215,35
"9420 Mechanical, electrical and electronics assemblers and inspectors",100,80,20
"94200 Motor vehicle assemblers, inspectors and testers",35,30,10
"94201 Electronics assemblers, fabricators, inspectors and testers",15,0,15
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0,0
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0
94204 Mechanical assemblers and inspectors,40,40,0
"94205 Machine operators and inspectors, electrical apparatus manufacturing",0,0,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors",150,135,15
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",35,35,0
94211 Assemblers and inspectors of other wood products,15,15,0
"94212 Plastic products assemblers, finishers and inspectors",10,10,0
"94213 Industrial painters, coaters and metal finishing process operators",30,30,0
"94219 Other products assemblers, finishers and inspectors",60,50,15
"95 Labourers in processing, manufacturing and utilities","1,705","1,080",620
"951 Labourers in processing, manufacturing and utilities","1,705","1,080",620
"9510 Labourers in processing, manufacturing and utilities","1,705","1,080",620
95100 Labourers in mineral and metal processing,10,10,0
95101 Labourers in metal fabrication,20,20,0
95102 Labourers in chemical products processing and utilities,55,35,15
"95103 Labourers in wood, pulp and paper processing",25,25,0
95104 Labourers in rubber and plastic products manufacturing,0,0,0
95105 Labourers in textile processing and cutting,20,10,0
95106 Labourers in food and beverage processing,585,395,195
95107 Labourers in fish and seafood processing,645,365,285
"95109 Other labourers in processing, manufacturing and utilities",340,220,115
