Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21220 Cybersecurity specialists,15,15,0
21221 Business systems specialists,90,25,60
21222 Information systems specialists,435,315,115
21223 Database analysts and data administrators,75,65,10
"2123 Computer, software and Web designers and developers",835,660,175
21230 Computer systems developers and programmers,235,180,55
21231 Software engineers and designers,110,85,25
21232 Software developers and programmers,260,225,35
21233 Web designers,45,20,25
21234 Web developers and programmers,185,145,35
213 Professional occupations in engineering,580,505,70
2130 Civil and mechanical engineers,295,270,25
21300 Civil engineers,185,180,0
21301 Mechanical engineers,105,90,15
"2131 Electrical, electronics and computer engineers",115,110,10
21310 Electrical and electronics engineers,60,60,0
21311 Computer engineers (except software engineers and designers),55,50,0
2132 Manufacturing and processing engineers,85,55,35
21320 Chemical engineers,35,25,10
21321 Industrial and manufacturing engineers,45,30,15
21322 Metallurgical and materials engineers,0,0,0
2133 Natural resources engineers,10,10,0
21330 Mining engineers,10,10,0
21331 Geological engineers,0,0,0
21332 Petroleum engineers,0,0,0
2139 Other engineers,70,60,0
21390 Aerospace engineers,15,10,0
21399 Other professional engineers,55,50,0
22 Technical occupations related to natural and applied sciences,"2,155","1,590",565
221 Technical occupations related to natural sciences,610,370,235
2210 Technical occupations in physical sciences,125,65,60
22100 Chemical technologists and technicians,120,60,60
22101 Geological and mineral technologists and technicians,0,0,0
2211 Technical occupations in life sciences,485,305,185
22110 Biological technologists and technicians,190,100,90
22111 Agricultural and fish products inspectors,50,25,25
22112 Forestry technologists and technicians,60,50,10
22113 Conservation and fishery officers,75,45,30
22114 Landscape and horticulture technicians and specialists,110,75,30
222 Technical occupations related to applied sciences (except engineering),940,680,260
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",125,80,45
22210 Architectural technologists and technicians,30,15,15
22211 Industrial designers,0,0,0
22212 Drafting technologists and technicians,60,40,20
22213 Land survey technologists and technicians,0,0,0
22214 Technical occupations in geomatics and meteorology,35,20,10
2222 Technical occupations in computer and information systems,640,465,180
22220 Computer network and web technicians,235,185,55
22221 User support technicians,385,265,120
22222 Information systems testing technicians,20,20,0
2223 Technical inspectors and regulatory officers,175,135,40
22230 Non-destructive testers and inspectors,15,15,0
22231 Engineering inspectors and regulatory officers,15,15,0
22232 Occupational health and safety specialists,55,35,15
22233 Construction inspectors,85,65,25
223 Technical occupations related to engineering,605,535,65
"2230 Technical occupations in civil, mechanical and industrial engineering",255,230,25
22300 Civil engineering technologists and technicians,70,55,15
22301 Mechanical engineering technologists and technicians,125,115,0
22302 Industrial engineering and manufacturing technologists and technicians,15,10,0
22303 Construction estimators,55,55,0
2231 Technical occupations in electronics and electrical engineering,340,305,40
22310 Electrical and electronics engineering technologists and technicians,105,85,20
22311 Electronic service technicians (household and business equipment),210,190,20
22312 Industrial instrument technicians and mechanics,20,20,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,15,0
3 Health occupations,"7,265","1,080","6,185"
30 Specialized middle management occupations in health care,145,25,120
300 Specialized middle management occupations in health care,145,25,120
3001 Managers in health care,145,25,120
30010 Managers in health care,145,25,120
31 Professional occupations in health,"3,135",540,"2,595"
311 Health treating and consultation services professionals,835,325,510
