Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"72024 Supervisors, motor transport and other ground transit operators",235,155,75
"72025 Supervisors, mail and message distribution occupations",230,55,175
721 Technical industrial trades,"3,965","3,845",125
"7210 Machining, metal forming, shaping and erecting trades","3,965","3,845",125
72100 Machinists and machining and tooling inspectors,605,585,20
72101 Tool and die makers,30,30,0
72102 Sheet metal workers,410,380,30
72103 Boilermakers,335,325,10
72104 Structural metal and platework fabricators and fitters,130,125,10
72105 Ironworkers,300,300,0
72106 Welders and related machine operators,"2,150","2,100",55
722 Technical electrical trades,"4,095","3,975",120
7220 Technical electrical trades and electrical power line and telecommunications workers,"4,095","3,975",120
72200 Electricians (except industrial and power system),"2,260","2,205",55
72201 Industrial electricians,490,490,0
72202 Power system electricians,125,125,0
72203 Electrical power line and cable workers,560,560,0
72204 Telecommunications line and cable installers and repairers,190,190,0
72205 Telecommunications equipment installation and cable television service technicians,480,410,65
723 Technical construction trades,"7,585","7,465",120
"7230 Plumbers, pipefitters and gas fitters","1,775","1,750",30
72300 Plumbers,"1,075","1,060",20
"72301 Steamfitters, pipefitters and sprinkler system installers",585,570,10
72302 Gas fitters,115,115,0
7231 Carpenters and cabinetmakers,"5,205","5,135",70
72310 Carpenters,"4,990","4,935",60
72311 Cabinetmakers,220,205,10
7232 Bricklayers and insulators,595,580,15
72320 Bricklayers,290,290,0
72321 Insulators,310,290,15
724 Technical maintenance trades,"9,540","9,400",140
7240 Machinery and transportation equipment mechanics (except motor vehicles),"3,525","3,470",55
72400 Construction millwrights and industrial mechanics,"1,750","1,745",10
72401 Heavy-duty equipment mechanics,910,910,0
"72402 Heating, refrigeration and air conditioning mechanics",510,500,10
72403 Railway carmen/women,50,50,0
72404 Aircraft mechanics and aircraft inspectors,190,175,15
72405 Machine fitters,30,20,10
72406 Elevator constructors and mechanics,70,70,0
7241 Automotive service technicians,"5,405","5,330",75
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","4,705","4,655",50
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",700,675,25
7242 Small engine and equipment mechanics and related repairers (including electrical components),610,595,15
72420 Oil and solid fuel heating mechanics,80,80,0
72421 Appliance servicers and repairers,80,75,0
72422 Electrical mechanics,80,75,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",210,210,0
72429 Other small engine and small equipment repairers,160,160,0
725 Technical equipment operation trades,340,330,10
7250 Crane operators and water well drillers,340,330,10
72500 Crane operators,315,305,10
72501 Water well drillers,25,25,0
726 Transportation officers and controllers,785,690,95
7260 Transportation officers and controllers,785,690,95
"72600 Air pilots, flight engineers and flying instructors",270,250,20
72601 Air traffic controllers and related occupations,190,155,30
"72602 Deck officers, water transport",265,230,40
"72603 Engineer officers, water transport",40,40,0
72604 Railway traffic controllers and marine traffic regulators,15,15,0
729 Other technical trades,290,275,10
7299 Other technical trades,290,275,10
72999 Other technical trades and related occupations,290,275,10
73 General trades,"22,440","20,980","1,465"
731 General construction trades,"2,710","2,580",130
"7310 Concrete finishers, tilesetters and plasterers",725,710,15
73100 Concrete finishers,115,115,0
73101 Tilesetters,65,65,0
"73102 Plasterers, drywall installers and finishers and lathers",540,525,15
"7311 Roofers, glaziers, painters, decorators and floor covering installers","1,985","1,870",110
73110 Roofers and shinglers,550,535,15
73111 Glaziers,140,130,10
73112 Painters and decorators (except interior decorators),"1,070",980,90
73113 Floor covering installers,230,225,0
"732 Building maintenance installers, servicers and repairers","3,755","3,515",235
"7320 Building maintenance installers, servicers and repairers","3,755","3,515",235
73200 Residential and commercial installers and servicers,930,910,25
73201 General building maintenance workers and building superintendents,"2,465","2,275",190
73202 Pest controllers and fumigators,90,85,0
73209 Other repairers and servicers,270,250,20
733 Transportation occupations,"12,730","11,680","1,050"
7330 Transport truck and transit drivers,"12,555","11,505","1,045"
73300 Transport truck drivers,"10,655","10,315",345
"73301 Bus drivers, subway operators and other transit operators","1,890","1,190",700
7331 Train crew operating occupations,180,175,0
73310 Railway and yard locomotive engineers,100,100,0
73311 Railway conductors and brakemen/women,75,75,0
"734 Operators, drillers and blasters","3,250","3,200",50
"7340 Operators, drillers and blasters","3,250","3,200",50
73400 Heavy equipment operators,"3,005","2,970",35
73401 Printing press operators,180,165,20
"73402 Drillers and blasters - surface mining, quarrying and construction",65,65,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","3,905","3,035",870
741 Mail and message distribution occupations,"2,180","1,435",745
7410 Mail and message distribution occupations,"2,180","1,435",745
74100 Mail and parcel sorters and related occupations,470,235,230
74101 Letter carriers,915,520,395
74102 Couriers and messengers,795,675,120
"742 Transport equipment operators, utility maintenance and related workers","1,730","1,600",125
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,730","1,600",125
74200 Railway yard and track maintenance workers,110,105,0
74201 Water transport deck and engine room crew,150,145,10
74202 Air transport ramp attendants,120,110,10
74203 Automotive and heavy truck and equipment parts installers and servicers,780,690,95
74204 Utility maintenance workers,65,60,0
74205 Public works maintenance equipment operators and related workers,500,500,0
"75 Helpers and labourers and other transport drivers, operators and labourers","14,635","13,405","1,235"
751 Helpers and labourers,"11,020","10,150",865
7510 Longshore workers and material handlers,"4,145","3,795",350
75100 Longshore workers,150,145,0
75101 Material handlers,"3,995","3,645",350
7511 Trades helpers and labourers,"6,870","6,360",515
75110 Construction trades helpers and labourers,"6,430","5,950",475
75119 Other trades helpers and labourers,445,405,35
"752 Transport drivers, operators and labourers","3,625","3,255",365
"7520 Taxi, personal service and delivery service drivers","2,325","2,095",230
75200 Taxi and limousine drivers and chauffeurs,705,660,45
75201 Delivery service drivers and door-to-door distributors,"1,620","1,435",185
7521 Water and rail transport operators and labourers and related occupations,"1,295","1,160",135
75210 Boat and cable ferry operators and related occupations,130,110,15
75211 Railway and motor transport labourers,125,105,15
75212 Public works and maintenance labourers,"1,045",940,105
"8 Natural resources, agriculture and related production occupations","16,735","13,740","2,990"
80 Middle management occupations in production and agriculture,"2,335","1,875",460
800 Middle management occupations in production and agriculture,"2,335","1,875",460
8001 Managers in natural resources production and fishing,190,180,10
80010 Managers in natural resources production and fishing,190,180,10
"8002 Managers in agriculture, horticulture and aquaculture","2,145","1,695",455
80020 Managers in agriculture,"1,895","1,495",400
80021 Managers in horticulture,115,75,40
80022 Managers in aquaculture,135,125,15
"82 Supervisors in natural resources, agriculture and related production",940,870,75
"820 Supervisors in natural resources, agriculture and related production",940,870,75
"8201 Supervisors, logging and forestry",360,340,25
"82010 Supervisors, logging and forestry",360,340,25
"8202 Contractors and supervisors, mining, oil and gas",195,190,0
"82020 Supervisors, mining and quarrying",135,135,0
"82021 Contractors and supervisors, oil and gas drilling and services",65,60,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",380,335,45
82030 Agricultural service contractors and farm supervisors,45,35,10
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",340,300,35
83 Occupations in natural resources and related production,"3,105","2,840",265
831 Occupations in natural resources and fisheries,"3,105","2,840",265
"8310 Underground miners, oil and gas drillers and related occupations",415,395,25
83100 Underground production and development miners,325,320,0
"83101 Oil and gas well drillers, servicers, testers and related workers",90,70,20
8311 Logging machinery operators,650,640,10
83110 Logging machinery operators,650,640,10
8312 Fishing vessel masters and fishermen/women,"2,040","1,810",235
83120 Fishing masters and officers,115,115,0
83121 Fishermen/women,"1,925","1,690",235
"84 Workers in natural resources, agriculture and related production","4,105","3,530",570
841 Workers in natural resources and fisheries,"4,105","3,530",570
8410 Mine service workers and operators in oil and gas drilling,120,105,10
84100 Underground mine service and support workers,60,60,0
84101 Oil and gas well drilling and related workers and services operators,50,45,10
8411 Logging and forestry workers,"1,345","1,315",30
84110 Chain saw and skidder operators,655,655,0
84111 Silviculture and forestry workers,690,665,25
8412 Workers in agriculture and fishing occupations,"2,645","2,110",530
84120 Specialized livestock workers and farm machinery operators,"1,125",860,265
84121 Fishing vessel deckhands,"1,515","1,250",265
"85 Harvesting, landscaping and natural resources labourers","6,240","4,625","1,620"
"851 Harvesting, landscaping and natural resources labourers","6,240","4,625","1,620"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","2,815","1,745","1,070"
85100 Livestock labourers,750,420,335
85101 Harvesting labourers,690,450,240
85102 Aquaculture and marine harvest labourers,635,505,130
85103 Nursery and greenhouse labourers,735,370,365
85104 Trappers and hunters,0,0,0
"8511 Mine and oil and gas drilling, services and related labourers",105,105,0
85110 Mine labourers,50,50,0
"85111 Oil and gas drilling, servicing and related labourers",60,60,0
"8512 Logging, forestry, landscaping and other related labourers","3,315","2,770",545
85120 Logging and forestry labourers,400,270,140
85121 Landscaping and grounds maintenance labourers,"2,910","2,505",405
9 Occupations in manufacturing and utilities,"21,680","15,775","5,900"
90 Middle management occupations in manufacturing and utilities,"1,525","1,175",355
900 Middle management occupations in manufacturing and utilities,"1,525","1,175",355
9001 Managers in manufacturing and utilities,"1,525","1,175",355
90010 Manufacturing managers,"1,320","1,010",315
90011 Utilities managers,205,160,40
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","2,940","2,515",425
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","1,390","1,090",300
"9201 Supervisors, processing and manufacturing occupations","1,210",935,280
"92010 Supervisors, mineral and metal processing",60,60,0
"92011 Supervisors, petroleum, gas and chemical processing and utilities",265,225,40
"92012 Supervisors, food and beverage processing",560,350,215
"92013 Supervisors, plastic and rubber products manufacturing",10,0,0
"92014 Supervisors, forest products processing",310,300,15
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0
"9202 Supervisors, assembly and fabrication",175,160,25
"92020 Supervisors, motor vehicle assembling",10,10,0
"92021 Supervisors, electronics and electrical products manufacturing",25,25,0
"92022 Supervisors, furniture and fixtures manufacturing",15,15,0
"92023 Supervisors, other mechanical and metal products manufacturing",50,35,0
"92024 Supervisors, other products manufacturing and assembly",80,65,15
921 Utilities equipment operators and controllers,"1,550","1,425",120
9210 Utilities equipment operators and controllers,"1,550","1,425",120
92100 Power engineers and power systems operators,"1,265","1,175",90
92101 Water and waste treatment plant operators,280,250,30
93 Central control and process operators and aircraft assembly assemblers and inspectors,600,530,70
931 Central control and process operators in processing and manufacturing,570,510,60
9310 Central control and process operators in processing and manufacturing,570,510,60
"93100 Central control and process operators, mineral and metal processing",0,0,0
"93101 Central control and process operators, petroleum, gas and chemical processing",495,435,60
"93102 Pulping, papermaking and coating control operators",70,70,0
932 Aircraft assemblers and aircraft assembly inspectors,35,20,15
9320 Aircraft assemblers and aircraft assembly inspectors,35,20,15
93200 Aircraft assemblers and aircraft assembly inspectors,35,20,15
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","8,005","5,780","2,230"
941 Processing and manufacturing machine operators and related production workers,"6,070","4,170","1,895"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,400,380,20
"94100 Machine operators, mineral and metal processing",70,70,0
94101 Foundry workers,0,0,0
94102 Glass forming and finishing machine operators and glass cutters,85,80,0
"94103 Concrete, clay and stone forming operators",35,35,0
"94104 Inspectors and testers, mineral and metal processing",20,20,0
94105 Metalworking and forging machine operators,130,125,10
94106 Machining tool operators,50,50,0
94107 Machine operators of other metal products,15,10,0
"9411 Machine operators and related workers in chemical, plastic and rubber processing",370,300,70
94110 Chemical plant machine operators,60,55,0
94111 Plastics processing machine operators,270,210,60
94112 Rubber processing machine operators and related workers,35,30,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"1,400","1,275",125
94120 Sawmill machine operators,360,335,20
"94121 Pulp mill, papermaking and finishing machine operators",385,365,15
94122 Paper converting machine operators,105,95,0
94123 Lumber graders and other wood processing inspectors and graders,155,125,30
94124 Woodworking machine operators,295,245,50
94129 Other wood processing machine operators,115,110,0
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",130,20,110
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",20,0,15
"94131 Weavers, knitters and other fabric making occupations",15,0,15
94132 Industrial sewing machine operators,95,15,80
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0
"9414 Machine operators and related workers in food, beverage and associated products processing","3,630","2,095","1,540"
"94140 Process control and machine operators, food and beverage processing","1,155",915,240
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",160,100,60
94142 Fish and seafood plant workers,"2,005",985,"1,020"
"94143 Testers and graders, food and beverage processing",310,95,225
9415 Printing equipment operators and related occupations,140,105,30
94150 Plateless printing equipment operators,80,65,15
"94151 Camera, platemaking and other prepress occupations",10,0,0
94152 Binding and finishing machine operators,50,35,10
94153 Photographic and film processors,0,0,0
942 Assemblers and inspectors in manufacturing,"1,940","1,610",330
"9420 Mechanical, electrical and electronics assemblers and inspectors",505,350,150
"94200 Motor vehicle assemblers, inspectors and testers",125,90,35
"94201 Electronics assemblers, fabricators, inspectors and testers",120,70,50
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",90,50,40
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",30,25,10
94204 Mechanical assemblers and inspectors,110,100,15
"94205 Machine operators and inspectors, electrical apparatus manufacturing",25,15,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","1,435","1,255",180
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",190,165,25
94211 Assemblers and inspectors of other wood products,275,240,35
"94212 Plastic products assemblers, finishers and inspectors",35,30,0
"94213 Industrial painters, coaters and metal finishing process operators",260,250,10
"94219 Other products assemblers, finishers and inspectors",675,570,105
"95 Labourers in processing, manufacturing and utilities","8,600","5,775","2,825"
"951 Labourers in processing, manufacturing and utilities","8,600","5,775","2,825"
"9510 Labourers in processing, manufacturing and utilities","8,600","5,775","2,825"
95100 Labourers in mineral and metal processing,165,165,0
95101 Labourers in metal fabrication,280,225,55
95102 Labourers in chemical products processing and utilities,750,550,205
"95103 Labourers in wood, pulp and paper processing","1,100",965,135
95104 Labourers in rubber and plastic products manufacturing,180,140,35
95105 Labourers in textile processing and cutting,55,35,25
95106 Labourers in food and beverage processing,"1,765","1,000",765
95107 Labourers in fish and seafood processing,"2,540","1,385","1,160"
"95109 Other labourers in processing, manufacturing and utilities","1,765","1,310",455
