Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
2112 Public and environmental health and safety professionals,400,230,170
21120 Public and environmental health and safety professionals,400,230,170
212 Professional occupations in applied sciences (except engineering),"7,150","5,325","1,830"
"2120 Architects, urban planners and land surveyors",550,385,165
21200 Architects,125,75,50
21201 Landscape architects,0,0,0
21202 Urban and land use planners,295,195,100
21203 Land surveyors,120,110,15
"2121 Mathematicians, statisticians, actuaries and data scientists",265,175,85
"21210 Mathematicians, statisticians and actuaries",120,75,40
21211 Data scientists,145,100,40
2122 Computer and information systems professionals,"3,040","2,120",925
21220 Cybersecurity specialists,250,195,60
21221 Business systems specialists,615,280,335
21222 Information systems specialists,"1,850","1,445",410
21223 Database analysts and data administrators,320,200,125
"2123 Computer, software and Web designers and developers","3,300","2,645",655
21230 Computer systems developers and programmers,600,485,115
21231 Software engineers and designers,850,715,135
21232 Software developers and programmers,"1,150",955,195
21233 Web designers,150,100,50
21234 Web developers and programmers,545,385,160
213 Professional occupations in engineering,"3,590","3,100",485
2130 Civil and mechanical engineers,"2,100","1,825",265
21300 Civil engineers,"1,385","1,140",240
21301 Mechanical engineers,715,680,30
"2131 Electrical, electronics and computer engineers",870,765,105
21310 Electrical and electronics engineers,610,535,75
21311 Computer engineers (except software engineers and designers),265,230,30
2132 Manufacturing and processing engineers,400,325,80
21320 Chemical engineers,240,210,30
21321 Industrial and manufacturing engineers,135,100,35
21322 Metallurgical and materials engineers,25,15,10
2133 Natural resources engineers,100,85,20
21330 Mining engineers,15,10,0
21331 Geological engineers,70,55,10
21332 Petroleum engineers,20,20,0
2139 Other engineers,125,105,20
21390 Aerospace engineers,10,10,0
21399 Other professional engineers,110,90,20
22 Technical occupations related to natural and applied sciences,"11,495","9,300","2,190"
221 Technical occupations related to natural sciences,"1,990","1,435",550
2210 Technical occupations in physical sciences,465,325,140
22100 Chemical technologists and technicians,330,200,135
22101 Geological and mineral technologists and technicians,135,125,10
2211 Technical occupations in life sciences,"1,525","1,110",410
22110 Biological technologists and technicians,410,205,210
22111 Agricultural and fish products inspectors,50,20,30
22112 Forestry technologists and technicians,400,385,20
22113 Conservation and fishery officers,230,180,50
22114 Landscape and horticulture technicians and specialists,425,320,110
222 Technical occupations related to applied sciences (except engineering),"5,495","4,265","1,230"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",910,685,225
22210 Architectural technologists and technicians,120,70,45
22211 Industrial designers,60,55,0
22212 Drafting technologists and technicians,465,370,100
22213 Land survey technologists and technicians,65,55,0
22214 Technical occupations in geomatics and meteorology,205,135,70
2222 Technical occupations in computer and information systems,"3,405","2,620",790
22220 Computer network and web technicians,"1,385","1,150",235
22221 User support technicians,"1,825","1,365",460
22222 Information systems testing technicians,200,105,95
2223 Technical inspectors and regulatory officers,"1,180",960,225
22230 Non-destructive testers and inspectors,275,265,15
22231 Engineering inspectors and regulatory officers,205,150,55
22232 Occupational health and safety specialists,350,230,115
22233 Construction inspectors,350,310,40
223 Technical occupations related to engineering,"4,010","3,605",410
"2230 Technical occupations in civil, mechanical and industrial engineering","1,795","1,535",265
22300 Civil engineering technologists and technicians,705,580,130
22301 Mechanical engineering technologists and technicians,460,415,45
22302 Industrial engineering and manufacturing technologists and technicians,195,150,45
22303 Construction estimators,425,390,40
2231 Technical occupations in electronics and electrical engineering,"2,210","2,070",145
22310 Electrical and electronics engineering technologists and technicians,755,700,50
22311 Electronic service technicians (household and business equipment),"1,160","1,075",80
22312 Industrial instrument technicians and mechanics,225,215,15
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",75,75,0
3 Health occupations,"37,225","5,955","31,265"
30 Specialized middle management occupations in health care,830,175,660
300 Specialized middle management occupations in health care,830,175,660
3001 Managers in health care,830,175,660
30010 Managers in health care,830,175,660
31 Professional occupations in health,"15,050","2,770","12,275"
311 Health treating and consultation services professionals,"4,400","1,820","2,575"
