Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21230 Computer systems developers and programmers,15,0,10
21231 Software engineers and designers,20,10,10
21232 Software developers and programmers,35,30,10
21233 Web designers,0,0,0
21234 Web developers and programmers,15,15,0
213 Professional occupations in engineering,190,150,40
2130 Civil and mechanical engineers,140,115,25
21300 Civil engineers,115,100,15
21301 Mechanical engineers,25,15,10
"2131 Electrical, electronics and computer engineers",25,25,0
21310 Electrical and electronics engineers,20,20,0
21311 Computer engineers (except software engineers and designers),10,10,0
2132 Manufacturing and processing engineers,0,0,0
21320 Chemical engineers,0,0,0
21321 Industrial and manufacturing engineers,0,0,0
21322 Metallurgical and materials engineers,0,0,0
2133 Natural resources engineers,20,10,15
21330 Mining engineers,10,0,0
21331 Geological engineers,10,0,0
21332 Petroleum engineers,0,0,0
2139 Other engineers,0,0,0
21390 Aerospace engineers,0,0,0
21399 Other professional engineers,0,0,0
22 Technical occupations related to natural and applied sciences,770,580,190
221 Technical occupations related to natural sciences,200,150,50
2210 Technical occupations in physical sciences,45,40,10
22100 Chemical technologists and technicians,0,0,0
22101 Geological and mineral technologists and technicians,40,30,10
2211 Technical occupations in life sciences,155,115,45
22110 Biological technologists and technicians,55,40,20
22111 Agricultural and fish products inspectors,0,0,0
22112 Forestry technologists and technicians,25,20,0
22113 Conservation and fishery officers,60,50,10
22114 Landscape and horticulture technicians and specialists,15,10,10
222 Technical occupations related to applied sciences (except engineering),395,270,125
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",100,60,35
22210 Architectural technologists and technicians,15,15,0
22211 Industrial designers,0,0,0
22212 Drafting technologists and technicians,25,10,10
22213 Land survey technologists and technicians,0,0,0
22214 Technical occupations in geomatics and meteorology,60,35,25
2222 Technical occupations in computer and information systems,160,125,35
22220 Computer network and web technicians,120,90,30
22221 User support technicians,40,35,0
22222 Information systems testing technicians,0,0,0
2223 Technical inspectors and regulatory officers,135,80,55
22230 Non-destructive testers and inspectors,0,0,0
22231 Engineering inspectors and regulatory officers,0,0,0
22232 Occupational health and safety specialists,85,30,55
22233 Construction inspectors,40,40,0
223 Technical occupations related to engineering,175,160,15
"2230 Technical occupations in civil, mechanical and industrial engineering",80,70,15
22300 Civil engineering technologists and technicians,45,35,10
22301 Mechanical engineering technologists and technicians,15,10,0
22302 Industrial engineering and manufacturing technologists and technicians,0,0,0
22303 Construction estimators,20,20,0
2231 Technical occupations in electronics and electrical engineering,95,95,0
22310 Electrical and electronics engineering technologists and technicians,35,35,0
22311 Electronic service technicians (household and business equipment),65,65,0
22312 Industrial instrument technicians and mechanics,0,0,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0
3 Health occupations,"1,605",295,"1,310"
30 Specialized middle management occupations in health care,45,0,40
300 Specialized middle management occupations in health care,45,0,40
3001 Managers in health care,45,0,40
30010 Managers in health care,45,0,40
31 Professional occupations in health,770,140,630
311 Health treating and consultation services professionals,230,75,150
3110 Physicians and veterinarians,100,35,60
31100 Specialists in clinical and laboratory medicine,20,10,0
31101 Specialists in surgery,0,0,0
31102 General practitioners and family physicians,50,15,35
31103 Veterinarians,30,10,10
"3111 Dentists, optometrists and audiologists",65,25,40
31110 Dentists,25,20,10
31111 Optometrists,0,0,0
31112 Audiologists and speech-language pathologists,40,0,30
3112 Pharmacists and dietitians,65,20,45
31120 Pharmacists,50,20,30
31121 Dietitians and nutritionists,20,0,20
312 Therapy and assessment professionals,100,25,75
3120 Therapy and assessment professionals,100,25,75
31200 Psychologists,35,0,30
31201 Chiropractors,0,0,0
31202 Physiotherapists,25,0,15
31203 Occupational therapists,15,10,10
31204 Kinesiologists and other professional occupations in therapy and assessment,15,0,15
31209 Other professional occupations in health diagnosing and treating,15,0,15
313 Nursing and allied health professionals,440,40,400
3130 Nursing and allied health professionals,440,40,400
31300 Nursing coordinators and supervisors,15,0,15
31301 Registered nurses and registered psychiatric nurses,410,35,380
31302 Nurse practitioners,0,0,0
"31303 Physician assistants, midwives and allied health professionals",10,0,10
32 Technical occupations in health,420,75,345
321 Technical occupations in health (except practitioners of natural healing),355,55,300
3210 Technical occupations in therapy and assessment,260,45,220
32100 Opticians,0,0,0
32101 Licensed practical nurses,115,0,115
32102 Paramedical occupations,65,30,30
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0,0
32104 Animal health technologists and veterinary technicians,35,0,25
32109 Other technical occupations in therapy and assessment,40,0,40
3211 Technical occupations in dental health care,20,0,20
32110 Denturists,0,0,0
32111 Dental hygienists and dental therapists,20,0,20
32112 Dental technologists and technicians,0,0,0
3212 Medical technologists and technicians,70,10,60
32120 Medical laboratory technologists,10,0,0
32121 Medical radiation technologists,15,0,10
32122 Medical sonographers,10,0,0
32123 Cardiology technologists and electrophysiological diagnostic technologists,0,0,0
32124 Pharmacy technicians,45,0,45
32129 Other medical technologists and technicians,0,0,0
322 Practitioners of natural healing,65,15,45
3220 Practitioners of natural healing,65,15,45
32200 Traditional Chinese medicine practitioners and acupuncturists,10,0,10
32201 Massage therapists,50,15,30
32209 Other practitioners of natural healing,10,0,10
33 Assisting occupations in support of health services,365,75,290
331 Assisting occupations in support of health services,365,75,290
3310 Assisting occupations in support of health services,365,75,290
33100 Dental assistants and dental laboratory assistants,60,0,55
33101 Medical laboratory assistants and related technical occupations,20,0,20
"33102 Nurse aides, orderlies and patient service associates",225,60,165
33103 Pharmacy technical assistants and pharmacy assistants,25,10,15
33109 Other assisting occupations in support of health services,40,0,30
"4 Occupations in education, law and social, community and government services","4,810","1,585","3,225"
"40 Managers in public administration, in education and social and community services and in public protection services",395,135,255
"400 Managers in public administration, in education and social and community services and in public protection services",395,135,255
4001 Managers in public administration,150,50,95
40010 Government managers - health and social policy development and program administration,55,20,40
"40011 Government managers - economic analysis, policy development and program administration",55,25,30
40012 Government managers - education policy development and program administration,10,0,0
40019 Other managers in public administration,25,10,25
4002 Managers in education,105,30,75
40020 Administrators - post-secondary education and vocational training,25,10,15
40021 School principals and administrators of elementary and secondary education,85,20,60
"4003 Managers in social, community and correctional services",110,35,75
"40030 Managers in social, community and correctional services",110,35,75
4004 Managers in public protection services,30,15,10
40040 Commissioned police officers and related occupations in public protection services,0,0,0
40041 Fire chiefs and senior firefighting officers,15,15,0
40042 Commissioned officers of the Canadian Armed Forces,10,0,0
"41 Professional occupations in law, education, social, community and government services","2,425",800,"1,620"
411 Professional occupations in law,115,50,65
"4110 Judges, lawyers and Quebec notaries",115,50,65
41100 Judges,0,0,0
41101 Lawyers and Quebec notaries,105,45,65
412 Professional occupations in education services,965,320,645
4120 University professors and post-secondary assistants,150,60,85
41200 University professors and lecturers,75,25,50
41201 Post-secondary teaching and research assistants,75,35,35
4121 College and other vocational instructors,105,60,45
41210 College and other vocational instructors,105,60,45
"4122 Secondary, elementary and kindergarten school teachers",705,200,505
41220 Secondary school teachers,235,115,120
41221 Elementary school and kindergarten teachers,475,80,395
413 Professional occupations in social and community services,430,145,290
4130 Social and community service professionals,340,110,235
41300 Social workers,210,55,155
41301 Therapists in counselling and related specialized therapies,80,0,75
41302 Religious leaders,50,35,10
4131 Police investigators and probation officers,40,20,15
41310 Police investigators and other investigative occupations,15,10,0
41311 Probation and parole officers,25,10,10
4132 Educational and employment counsellors,55,15,40
41320 Educational counsellors,35,0,35
41321 Career development practitioners and career counsellors (except education),20,15,10
414 Professional occupations in government services,915,285,625
"4140 Policy and program researchers, consultants and officers",915,285,625
"41400 Natural and applied science policy researchers, consultants and program officers",215,95,125
41401 Economists and economic policy researchers and analysts,60,20,35
41402 Business development officers and market researchers and analysts,75,20,60
"41403 Social policy researchers, consultants and program officers",210,40,170
"41404 Health policy researchers, consultants and program officers",75,20,50
"41405 Education policy researchers, consultants and program officers",115,35,80
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",35,15,20
41407 Program officers unique to government,105,40,70
41409 Other professional occupations in social science,20,0,20
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","1,160",410,750
421 Occupations in front-line public protection services,220,185,35
4210 Occupations in front-line public protection services,220,185,35
42100 Police officers (except commissioned),155,120,35
42101 Firefighters,65,65,0
42102 Specialized members of the Canadian Armed Forces,0,0,0
"422 Paraprofessional occupations in legal, social, community and education services",935,220,715
"4220 Paraprofessional occupations in legal, social, community and education services",935,220,715
42200 Paralegals and related occupations,35,15,25
42201 Social and community service workers,510,155,355
42202 Early childhood educators and assistants,365,40,325
42203 Instructors of persons with disabilities,10,10,0
42204 Religion workers,20,10,10
43 Assisting occupations in education and in legal and public protection,535,195,330
431 Assisting occupations in educational,315,60,255
4310 Assisting occupations in education,315,60,255
43100 Elementary and secondary school teacher assistants,275,55,225
43109 Other instructors,40,0,30
432 Assisting occupations in legal and public protection,220,140,80
4320 Assisting occupations in legal and public protection,220,140,80
43200 Sheriffs and bailiffs,15,0,10
43201 Correctional service officers,90,70,20
43202 By-law enforcement and other regulatory officers,50,35,15
"43203 Border services, customs, and immigration officers",55,20,30
43204 Operations members of the Canadian Armed Forces,10,10,0
44 Care providers and legal and public protection support occupations,290,30,260
441 Home care provider occupations,290,30,260
4410 Home care provider occupations,290,30,260
44100 Home child care providers,55,0,55
"44101 Home support workers, caregivers and related occupations",235,30,200
442 Primary combat members of the Canadian Armed Forces,0,0,0
4420 Primary combat members of the Canadian Armed Forces,0,0,0
44200 Primary combat members of the Canadian Armed Forces,0,0,0
"45 Student monitors, crossing guards and related occupations",10,10,0
"451 Student monitors, crossing guards and related occupations",10,10,0
"4510 Student monitors, crossing guards and related occupations",10,10,0
"45100 Student monitors, crossing guards and related occupations",10,10,0
"5 Occupations in art, culture, recreation and sport",925,415,510
"50 Specialized middle management occupations in art, culture, recreation and sport",85,35,50
"500 Specialized middle management occupations in art, culture, recreation and sport",85,35,50
"5001 Managers in art, culture, recreation and sport",85,35,50
"50010 Library, archive, museum and art gallery managers",30,10,20
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",25,10,15
"50012 Recreation, sports and fitness program and service directors",35,15,20
51 Professional occupations in art and culture,230,100,130
511 Professional occupations in art and culture,230,100,130
"5110 Librarians, archivists, conservators and curators",45,15,30
51100 Librarians,35,0,30
51101 Conservators and curators,10,10,0
51102 Archivists,0,0,0
"5111 Writing, translating and related communications professionals",110,50,60
51110 Editors,25,20,0
51111 Authors and writers (except technical),35,0,25
51112 Technical writers,10,0,0
51113 Journalists,30,15,10
"51114 Translators, terminologists and interpreters",25,10,15
5112 Creative and performing artists,75,35,40
"51120 Producers, directors, choreographers and related occupations",30,30,0
"51121 Conductors, composers and arrangers",10,0,10
51122 Musicians and singers,35,0,30
"52 Technical occupations in art, culture and sport",165,80,85
521 Technical occupations in art and culture,165,80,85
5210 Technical occupations in libraries and public archives,0,0,0
52100 Library and public archive technicians,0,0,0
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",65,55,10
52110 Film and video camera operators,15,15,0
52111 Graphic arts technicians,0,0,0
52112 Broadcast technicians,0,0,0
52113 Audio and video recording technicians,10,10,0
52114 Announcers and other broadcasters,0,0,0
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",30,25,10
5212 Graphic and interior designers,90,20,65
52120 Graphic designers and illustrators,90,20,65
52121 Interior designers and interior decorators,0,0,0
"53 Occupations in art, culture and sport",245,105,145
531 Occupations in art and culture,220,95,125
5310 Occupations related to museums and art galleries,60,35,25
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",60,35,25
5311 Photographers and support occupations in arts and culture,45,30,10
53110 Photographers,40,30,0
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",10,0,10
5312 Occupations in creative and performing art,125,30,90
53120 Dancers,15,0,15
"53121 Actors, comedians and circus performers",10,0,10
"53122 Painters, sculptors and other visual artists",50,15,30
"53123 Theatre, fashion, exhibit and other creative designers",0,0,0
53124 Artisans and craftspersons,50,15,35
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,20,10,15
"5320 Athletes, coaches, referees and related occupations",20,10,15
53200 Athletes,10,0,0
53201 Coaches,10,0,10
53202 Sports officials and referees,0,0,0
54 Support occupations in sport,200,95,100
541 Support occupations in sport,200,95,100
"5410 Program leaders and instructors in recreation, sport and fitness",200,95,100
"54100 Program leaders and instructors in recreation, sport and fitness",200,95,100
55 Support occupations in art and culture,0,0,0
551 Support occupations in art and culture,0,0,0
5510 Support occupations in art and culture,0,0,0
55109 Other performers,0,0,0
6 Sales and service occupations,"5,335","2,440","2,895"
60 Middle management occupations in retail and wholesale trade and customer services,735,440,295
600 Middle management occupations in retail and wholesale trade and customer services,735,440,295
6001 Corporate sales managers,15,10,0
60010 Corporate sales managers,15,10,0
6002 Retail and wholesale trade managers,430,280,155
60020 Retail and wholesale trade managers,430,280,155
6003 Managers in food service and accommodation,270,145,120
60030 Restaurant and food service managers,145,75,75
60031 Accommodation service managers,115,70,50
6004 Managers in customer and personal services,25,10,15
60040 Managers in customer and personal services,25,10,15
62 Retail sales and service supervisors and specialized occupations in sales and services,285,160,120
620 Retail sales and service supervisors,145,85,60
6201 Retail sales supervisors,55,40,15
62010 Retail sales supervisors,55,40,15
6202 Service supervisors,90,45,45
62020 Food service supervisors,55,25,25
62021 Executive housekeepers,0,0,0
"62022 Accommodation, travel, tourism and related services supervisors",0,0,0
62023 Customer and information services supervisors,10,0,10
62024 Cleaning supervisors,15,15,0
62029 Other services supervisors,10,0,0
621 Specialized sales occupations,45,30,10
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,45,30,10
62100 Technical sales specialists - wholesale trade,40,30,0
62101 Retail and wholesale buyers,10,0,10
622 Specialized services occupations,90,45,45
6220 Specialized occupations in services,90,45,45
62200 Chefs,60,45,20
62201 Funeral directors and embalmers,10,0,10
"62202 Jewellers, jewellery and watch repairers and related occupations",15,0,15
63 Occupations in sales and services,705,300,405
631 Occupations in sales,125,70,60
"6310 Insurance, real estate and financial sales occupations",125,70,60
63100 Insurance agents and brokers,45,20,30
63101 Real estate agents and salespersons,50,35,20
63102 Financial sales representatives,25,15,15
632 Occupations in services,580,235,340
"6320 Cooks, butchers and bakers",475,205,270
63200 Cooks,385,165,220
63201 Butchers - retail and wholesale,30,30,0
63202 Bakers,60,15,50
6321 Hairstylists and estheticians,100,20,80
63210 Hairstylists and barbers,60,20,40
"63211 Estheticians, electrologists and related occupations",40,0,40
"6322 Shoe repairers, shoemakers and upholsterers",0,0,0
63220 Shoe repairers and shoemakers,0,0,0
63221 Upholsterers,0,0,0
64 Sales and service representatives and other customer and personal services occupations,"1,425",615,815
641 Retail salespersons and non-technical wholesale trade sales and account representatives,790,355,430
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,790,355,430
64100 Retail salespersons and visual merchandisers,760,335,420
64101 Sales and account representatives - wholesale trade (non-technical),30,25,10
642 Occupations in personal service,15,0,15
6420 Occupations in personal service,15,0,15
"64200 Tailors, dressmakers, furriers and milliners",10,0,10
"64201 Image, social and other personal consultants",0,0,0
"643 Occupations in food, accommodation and tourism",260,90,170
6430 Occupations in food and beverage service,90,35,60
64300 Maîtres d'hôtel and hosts/hostesses,25,10,15
64301 Bartenders,70,25,45
6431 Occupations in travel and accommodation,115,30,85
64310 Travel counsellors,35,10,20
64311 Pursers and flight attendants,15,0,15
64312 Airline ticket and service agents,10,10,0
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0
64314 Hotel front desk clerks,55,10,45
6432 Tourism and amusement services occupations,55,30,20
64320 Tour and travel guides,20,10,10
64321 Casino workers,0,0,0
64322 Outdoor sport and recreational guides,30,20,10
"644 Occupations in customer, information and protective services",365,165,195
6440 Customer and information services representatives,235,65,175
64400 Customer services representatives - financial institutions,50,0,45
64401 Postal services representatives,15,0,10
64409 Other customer and information services representatives,175,60,115
6441 Security guards and related security service occupations,130,105,25
64410 Security guards and related security service occupations,130,105,25
65 Sales and service support occupations,"2,195",925,"1,265"
651 Sales support occupations,700,320,380
6510 Cashiers and other sales support occupations,700,320,380
65100 Cashiers,400,85,315
65101 Service station attendants,30,30,0
"65102 Store shelf stockers, clerks and order fillers",255,200,60
65109 Other sales related occupations,15,10,10
"652 Support occupations in food, accommodation and tourism",790,275,515
6520 Food support occupations,675,240,440
65200 Food and beverage servers,130,35,95
"65201 Food counter attendants, kitchen helpers and related support occupations",540,195,345
65202 Meat cutters and fishmongers - retail and wholesale,10,10,0
"6521 Support occupations in accommodation, travel, tourism and amusement services",75,40,40
"65210 Support occupations in accommodation, travel and facilities set-up services",0,0,0
"65211 Operators and attendants in amusement, recreation and sport",75,40,40
6522 Support occupations in personal services,40,0,40
65220 Pet groomers and animal care workers,40,0,40
65229 Other support occupations in personal services,0,0,0
653 Support occupations in cleaning and related services,700,330,370
6531 Cleaners,670,320,345
65310 Light duty cleaners,310,105,205
65311 Specialized cleaners,60,45,15
