Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","1,145","1,070",70
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","2,540","2,130",415
"72020 Contractors and supervisors, mechanic trades",625,605,20
"72021 Contractors and supervisors, heavy equipment operator crews","1,215","1,185",30
"72022 Supervisors, printing and related occupations",35,20,15
"72023 Supervisors, railway transport operations",10,0,0
"72024 Supervisors, motor transport and other ground transit operators",280,185,100
"72025 Supervisors, mail and message distribution occupations",370,130,235
721 Technical industrial trades,"4,150","4,025",125
"7210 Machining, metal forming, shaping and erecting trades","4,150","4,025",125
72100 Machinists and machining and tooling inspectors,715,700,15
72101 Tool and die makers,55,55,0
72102 Sheet metal workers,560,560,0
72103 Boilermakers,210,205,0
72104 Structural metal and platework fabricators and fitters,320,305,15
72105 Ironworkers,375,365,10
72106 Welders and related machine operators,"1,915","1,835",85
722 Technical electrical trades,"4,775","4,615",160
7220 Technical electrical trades and electrical power line and telecommunications workers,"4,775","4,615",160
72200 Electricians (except industrial and power system),"2,790","2,690",100
72201 Industrial electricians,700,680,20
72202 Power system electricians,50,50,0
72203 Electrical power line and cable workers,410,410,0
72204 Telecommunications line and cable installers and repairers,320,310,0
72205 Telecommunications equipment installation and cable television service technicians,515,475,35
723 Technical construction trades,"10,110","9,850",260
"7230 Plumbers, pipefitters and gas fitters","2,305","2,265",45
72300 Plumbers,"1,355","1,335",20
"72301 Steamfitters, pipefitters and sprinkler system installers",800,785,15
72302 Gas fitters,150,145,0
7231 Carpenters and cabinetmakers,"7,020","6,830",185
72310 Carpenters,"6,735","6,570",165
72311 Cabinetmakers,280,265,20
7232 Bricklayers and insulators,785,755,35
72320 Bricklayers,405,380,20
72321 Insulators,385,370,10
724 Technical maintenance trades,"11,070","10,800",260
7240 Machinery and transportation equipment mechanics (except motor vehicles),"4,415","4,275",145
72400 Construction millwrights and industrial mechanics,"1,505","1,455",45
72401 Heavy-duty equipment mechanics,"1,065","1,060",0
"72402 Heating, refrigeration and air conditioning mechanics",730,715,15
72403 Railway carmen/women,20,20,0
72404 Aircraft mechanics and aircraft inspectors,975,895,80
72405 Machine fitters,40,40,0
72406 Elevator constructors and mechanics,90,90,0
7241 Automotive service technicians,"5,585","5,480",110
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","4,650","4,580",75
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",935,900,35
7242 Small engine and equipment mechanics and related repairers (including electrical components),"1,065","1,050",15
72420 Oil and solid fuel heating mechanics,300,300,0
72421 Appliance servicers and repairers,150,140,10
72422 Electrical mechanics,100,95,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",380,380,0
72429 Other small engine and small equipment repairers,130,130,0
725 Technical equipment operation trades,420,420,0
7250 Crane operators and water well drillers,420,420,0
72500 Crane operators,375,375,0
72501 Water well drillers,40,40,0
726 Transportation officers and controllers,"1,585","1,380",205
7260 Transportation officers and controllers,"1,585","1,380",205
"72600 Air pilots, flight engineers and flying instructors",515,485,35
72601 Air traffic controllers and related occupations,150,110,45
"72602 Deck officers, water transport",680,595,80
"72603 Engineer officers, water transport",195,170,25
72604 Railway traffic controllers and marine traffic regulators,40,20,20
729 Other technical trades,400,365,35
7299 Other technical trades,400,365,35
72999 Other technical trades and related occupations,400,365,35
73 General trades,"23,235","21,685","1,550"
731 General construction trades,"3,690","3,480",205
"7310 Concrete finishers, tilesetters and plasterers",950,930,20
73100 Concrete finishers,140,140,0
73101 Tilesetters,165,165,0
"73102 Plasterers, drywall installers and finishers and lathers",640,625,20
"7311 Roofers, glaziers, painters, decorators and floor covering installers","2,745","2,560",185
73110 Roofers and shinglers,715,695,20
73111 Glaziers,175,170,0
73112 Painters and decorators (except interior decorators),"1,435","1,275",155
73113 Floor covering installers,415,415,0
"732 Building maintenance installers, servicers and repairers","4,780","4,455",330
"7320 Building maintenance installers, servicers and repairers","4,780","4,455",330
73200 Residential and commercial installers and servicers,"1,135","1,085",55
73201 General building maintenance workers and building superintendents,"3,235","2,980",255
73202 Pest controllers and fumigators,95,90,0
73209 Other repairers and servicers,315,300,15
733 Transportation occupations,"11,090","10,195",900
7330 Transport truck and transit drivers,"11,015","10,130",885
73300 Transport truck drivers,"8,425","8,195",220
"73301 Bus drivers, subway operators and other transit operators","2,600","1,935",660
7331 Train crew operating occupations,75,60,15
73310 Railway and yard locomotive engineers,45,30,15
73311 Railway conductors and brakemen/women,35,30,0
"734 Operators, drillers and blasters","3,670","3,555",120
"7340 Operators, drillers and blasters","3,670","3,555",120
73400 Heavy equipment operators,"3,245","3,160",80
73401 Printing press operators,370,335,35
"73402 Drillers and blasters - surface mining, quarrying and construction",60,60,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","4,950","3,765","1,180"
741 Mail and message distribution occupations,"2,880","1,845","1,030"
7410 Mail and message distribution occupations,"2,880","1,845","1,030"
74100 Mail and parcel sorters and related occupations,610,200,410
74101 Letter carriers,"1,055",600,450
74102 Couriers and messengers,"1,220","1,050",170
"742 Transport equipment operators, utility maintenance and related workers","2,070","1,920",150
"7420 Transport equipment operators, utility maintenance and related maintenance workers","2,070","1,920",150
74200 Railway yard and track maintenance workers,60,60,0
74201 Water transport deck and engine room crew,620,560,60
74202 Air transport ramp attendants,285,270,20
74203 Automotive and heavy truck and equipment parts installers and servicers,380,365,20
74204 Utility maintenance workers,130,95,30
74205 Public works maintenance equipment operators and related workers,595,570,25
"75 Helpers and labourers and other transport drivers, operators and labourers","17,465","15,845","1,620"
751 Helpers and labourers,"12,505","11,380","1,115"
7510 Longshore workers and material handlers,"5,035","4,455",580
75100 Longshore workers,475,405,65
75101 Material handlers,"4,560","4,050",515
7511 Trades helpers and labourers,"7,465","6,930",540
75110 Construction trades helpers and labourers,"7,130","6,635",500
75119 Other trades helpers and labourers,340,300,40
"752 Transport drivers, operators and labourers","4,965","4,465",505
"7520 Taxi, personal service and delivery service drivers","3,990","3,590",405
75200 Taxi and limousine drivers and chauffeurs,"1,430","1,305",120
75201 Delivery service drivers and door-to-door distributors,"2,560","2,275",285
7521 Water and rail transport operators and labourers and related occupations,975,875,100
75210 Boat and cable ferry operators and related occupations,180,165,10
75211 Railway and motor transport labourers,45,35,10
75212 Public works and maintenance labourers,750,670,80
"8 Natural resources, agriculture and related production occupations","20,710","17,075","3,640"
80 Middle management occupations in production and agriculture,"3,060","2,310",750
800 Middle management occupations in production and agriculture,"3,060","2,310",750
8001 Managers in natural resources production and fishing,275,260,15
80010 Managers in natural resources production and fishing,275,260,15
"8002 Managers in agriculture, horticulture and aquaculture","2,785","2,050",730
80020 Managers in agriculture,"2,530","1,835",695
80021 Managers in horticulture,195,155,35
80022 Managers in aquaculture,65,60,10
"82 Supervisors in natural resources, agriculture and related production","1,120",965,155
"820 Supervisors in natural resources, agriculture and related production","1,120",965,155
"8201 Supervisors, logging and forestry",200,180,20
"82010 Supervisors, logging and forestry",200,180,20
"8202 Contractors and supervisors, mining, oil and gas",305,300,0
"82020 Supervisors, mining and quarrying",155,155,0
"82021 Contractors and supervisors, oil and gas drilling and services",150,140,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",610,485,130
82030 Agricultural service contractors and farm supervisors,30,20,10
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",580,465,115
83 Occupations in natural resources and related production,"4,235","3,860",370
831 Occupations in natural resources and fisheries,"4,235","3,860",370
"8310 Underground miners, oil and gas drillers and related occupations",255,240,20
83100 Underground production and development miners,160,160,0
"83101 Oil and gas well drillers, servicers, testers and related workers",95,80,20
8311 Logging machinery operators,220,220,0
83110 Logging machinery operators,220,220,0
8312 Fishing vessel masters and fishermen/women,"3,760","3,405",355
83120 Fishing masters and officers,450,435,15
83121 Fishermen/women,"3,310","2,970",345
"84 Workers in natural resources, agriculture and related production","5,340","4,580",760
841 Workers in natural resources and fisheries,"5,340","4,580",760
8410 Mine service workers and operators in oil and gas drilling,125,105,20
84100 Underground mine service and support workers,35,30,0
84101 Oil and gas well drilling and related workers and services operators,90,75,10
8411 Logging and forestry workers,710,660,50
84110 Chain saw and skidder operators,355,340,10
84111 Silviculture and forestry workers,355,315,45
8412 Workers in agriculture and fishing occupations,"4,510","3,820",690
84120 Specialized livestock workers and farm machinery operators,935,720,210
84121 Fishing vessel deckhands,"3,570","3,095",475
"85 Harvesting, landscaping and natural resources labourers","6,960","5,350","1,610"
"851 Harvesting, landscaping and natural resources labourers","6,960","5,350","1,610"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","2,505","1,625",875
85100 Livestock labourers,785,505,285
85101 Harvesting labourers,575,325,250
85102 Aquaculture and marine harvest labourers,550,490,60
85103 Nursery and greenhouse labourers,575,295,285
85104 Trappers and hunters,15,20,0
"8511 Mine and oil and gas drilling, services and related labourers",205,165,40
85110 Mine labourers,70,50,20
"85111 Oil and gas drilling, servicing and related labourers",135,115,20
"8512 Logging, forestry, landscaping and other related labourers","4,250","3,560",690
85120 Logging and forestry labourers,210,145,60
85121 Landscaping and grounds maintenance labourers,"4,045","3,410",635
9 Occupations in manufacturing and utilities,"21,655","16,050","5,605"
90 Middle management occupations in manufacturing and utilities,"1,805","1,390",415
900 Middle management occupations in manufacturing and utilities,"1,805","1,390",415
9001 Managers in manufacturing and utilities,"1,805","1,390",415
90010 Manufacturing managers,"1,490","1,135",355
90011 Utilities managers,315,250,60
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","2,715","2,290",420
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","1,185",890,295
"9201 Supervisors, processing and manufacturing occupations",965,740,230
"92010 Supervisors, mineral and metal processing",50,45,0
"92011 Supervisors, petroleum, gas and chemical processing and utilities",290,250,35
"92012 Supervisors, food and beverage processing",415,270,150
"92013 Supervisors, plastic and rubber products manufacturing",100,85,20
"92014 Supervisors, forest products processing",85,80,10
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",25,10,15
"9202 Supervisors, assembly and fabrication",220,155,70
"92020 Supervisors, motor vehicle assembling",25,15,0
"92021 Supervisors, electronics and electrical products manufacturing",35,10,25
"92022 Supervisors, furniture and fixtures manufacturing",0,0,0
"92023 Supervisors, other mechanical and metal products manufacturing",105,90,20
"92024 Supervisors, other products manufacturing and assembly",60,40,20
921 Utilities equipment operators and controllers,"1,525","1,405",125
9210 Utilities equipment operators and controllers,"1,525","1,405",125
92100 Power engineers and power systems operators,"1,070","1,010",65
92101 Water and waste treatment plant operators,455,395,60
93 Central control and process operators and aircraft assembly assemblers and inspectors,440,365,75
931 Central control and process operators in processing and manufacturing,320,265,50
9310 Central control and process operators in processing and manufacturing,320,265,50
"93100 Central control and process operators, mineral and metal processing",25,25,0
"93101 Central control and process operators, petroleum, gas and chemical processing",270,220,50
"93102 Pulping, papermaking and coating control operators",25,25,0
932 Aircraft assemblers and aircraft assembly inspectors,125,105,20
9320 Aircraft assemblers and aircraft assembly inspectors,125,105,20
93200 Aircraft assemblers and aircraft assembly inspectors,125,105,20
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","8,670","6,205","2,460"
941 Processing and manufacturing machine operators and related production workers,"6,255","4,360","1,895"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,425,410,20
"94100 Machine operators, mineral and metal processing",65,65,0
94101 Foundry workers,10,10,0
94102 Glass forming and finishing machine operators and glass cutters,15,15,0
"94103 Concrete, clay and stone forming operators",80,80,0
"94104 Inspectors and testers, mineral and metal processing",15,10,0
94105 Metalworking and forging machine operators,95,85,10
94106 Machining tool operators,45,45,0
94107 Machine operators of other metal products,95,90,0
"9411 Machine operators and related workers in chemical, plastic and rubber processing","1,575","1,280",295
94110 Chemical plant machine operators,75,60,20
94111 Plastics processing machine operators,290,225,60
94112 Rubber processing machine operators and related workers,"1,215",995,215
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,610,540,70
94120 Sawmill machine operators,240,230,10
"94121 Pulp mill, papermaking and finishing machine operators",105,100,10
94122 Paper converting machine operators,95,90,10
94123 Lumber graders and other wood processing inspectors and graders,45,45,0
94124 Woodworking machine operators,85,45,40
94129 Other wood processing machine operators,40,35,0
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",540,90,460
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",100,25,75
"94131 Weavers, knitters and other fabric making occupations",65,30,35
94132 Industrial sewing machine operators,345,30,315
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",35,0,30
"9414 Machine operators and related workers in food, beverage and associated products processing","2,755","1,815",940
"94140 Process control and machine operators, food and beverage processing",875,715,165
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",125,105,20
94142 Fish and seafood plant workers,"1,270",785,485
"94143 Testers and graders, food and beverage processing",480,210,270
9415 Printing equipment operators and related occupations,340,225,115
94150 Plateless printing equipment operators,135,95,45
"94151 Camera, platemaking and other prepress occupations",80,65,15
94152 Binding and finishing machine operators,65,35,25
94153 Photographic and film processors,55,30,25
942 Assemblers and inspectors in manufacturing,"2,415","1,845",565
"9420 Mechanical, electrical and electronics assemblers and inspectors",735,475,260
"94200 Motor vehicle assemblers, inspectors and testers",265,195,70
"94201 Electronics assemblers, fabricators, inspectors and testers",225,90,135
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",60,25,35
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",15,15,0
94204 Mechanical assemblers and inspectors,105,85,20
"94205 Machine operators and inspectors, electrical apparatus manufacturing",60,60,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","1,680","1,370",310
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",135,125,10
94211 Assemblers and inspectors of other wood products,185,175,10
"94212 Plastic products assemblers, finishers and inspectors",130,110,20
"94213 Industrial painters, coaters and metal finishing process operators",410,375,35
"94219 Other products assemblers, finishers and inspectors",820,585,240
"95 Labourers in processing, manufacturing and utilities","8,025","5,795","2,230"
"951 Labourers in processing, manufacturing and utilities","8,025","5,795","2,230"
"9510 Labourers in processing, manufacturing and utilities","8,025","5,795","2,230"
95100 Labourers in mineral and metal processing,140,140,0
95101 Labourers in metal fabrication,250,210,45
95102 Labourers in chemical products processing and utilities,215,135,75
"95103 Labourers in wood, pulp and paper processing",510,450,60
95104 Labourers in rubber and plastic products manufacturing,"1,170",985,185
95105 Labourers in textile processing and cutting,130,85,50
95106 Labourers in food and beverage processing,"1,790","1,115",680
95107 Labourers in fish and seafood processing,"2,065","1,370",695
"95109 Other labourers in processing, manufacturing and utilities","1,755","1,310",445
