Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"21112 Agricultural representatives, consultants and specialists",60,25,35
2112 Public and environmental health and safety professionals,530,300,225
21120 Public and environmental health and safety professionals,530,300,225
212 Professional occupations in applied sciences (except engineering),"10,775","7,900","2,875"
"2120 Architects, urban planners and land surveyors","1,130",765,360
21200 Architects,350,235,115
21201 Landscape architects,35,20,10
21202 Urban and land use planners,495,275,220
21203 Land surveyors,245,230,15
"2121 Mathematicians, statisticians, actuaries and data scientists",405,275,130
"21210 Mathematicians, statisticians and actuaries",195,100,95
21211 Data scientists,205,170,35
2122 Computer and information systems professionals,"4,180","2,830","1,355"
21220 Cybersecurity specialists,335,295,45
21221 Business systems specialists,625,330,295
21222 Information systems specialists,"2,680","1,890",795
21223 Database analysts and data administrators,535,320,215
"2123 Computer, software and Web designers and developers","5,065","4,035","1,030"
21230 Computer systems developers and programmers,670,475,195
21231 Software engineers and designers,"1,300","1,100",205
21232 Software developers and programmers,"1,705","1,450",255
21233 Web designers,260,165,95
21234 Web developers and programmers,"1,130",850,285
213 Professional occupations in engineering,"5,270","4,510",760
2130 Civil and mechanical engineers,"2,545","2,195",350
21300 Civil engineers,"1,675","1,415",260
21301 Mechanical engineers,870,780,90
"2131 Electrical, electronics and computer engineers","1,385","1,220",165
21310 Electrical and electronics engineers,960,840,115
21311 Computer engineers (except software engineers and designers),425,375,50
2132 Manufacturing and processing engineers,580,420,155
21320 Chemical engineers,120,85,35
21321 Industrial and manufacturing engineers,410,300,110
21322 Metallurgical and materials engineers,45,35,10
2133 Natural resources engineers,145,140,10
21330 Mining engineers,50,50,0
21331 Geological engineers,55,50,0
21332 Petroleum engineers,40,30,0
2139 Other engineers,615,535,80
21390 Aerospace engineers,70,60,10
21399 Other professional engineers,545,475,70
22 Technical occupations related to natural and applied sciences,"13,140","10,480","2,655"
221 Technical occupations related to natural sciences,"1,945","1,300",645
2210 Technical occupations in physical sciences,340,235,105
22100 Chemical technologists and technicians,215,115,100
22101 Geological and mineral technologists and technicians,130,115,10
2211 Technical occupations in life sciences,"1,610","1,065",540
22110 Biological technologists and technicians,350,175,175
22111 Agricultural and fish products inspectors,165,70,95
22112 Forestry technologists and technicians,250,225,25
22113 Conservation and fishery officers,245,175,75
22114 Landscape and horticulture technicians and specialists,595,420,175
222 Technical occupations related to applied sciences (except engineering),"5,650","4,150","1,500"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,420",945,470
22210 Architectural technologists and technicians,200,130,75
22211 Industrial designers,105,50,55
22212 Drafting technologists and technicians,565,380,180
22213 Land survey technologists and technicians,175,145,30
22214 Technical occupations in geomatics and meteorology,375,245,135
2222 Technical occupations in computer and information systems,"3,015","2,315",700
22220 Computer network and web technicians,"1,310","1,115",200
22221 User support technicians,"1,535","1,085",455
22222 Information systems testing technicians,165,115,55
2223 Technical inspectors and regulatory officers,"1,220",890,330
22230 Non-destructive testers and inspectors,215,180,30
22231 Engineering inspectors and regulatory officers,175,100,70
22232 Occupational health and safety specialists,435,255,175
22233 Construction inspectors,395,350,45
223 Technical occupations related to engineering,"5,545","5,035",515
"2230 Technical occupations in civil, mechanical and industrial engineering","2,010","1,790",220
22300 Civil engineering technologists and technicians,340,290,50
22301 Mechanical engineering technologists and technicians,745,695,50
22302 Industrial engineering and manufacturing technologists and technicians,310,255,55
22303 Construction estimators,620,555,65
2231 Technical occupations in electronics and electrical engineering,"3,530","3,245",290
22310 Electrical and electronics engineering technologists and technicians,"1,555","1,365",190
22311 Electronic service technicians (household and business equipment),"1,390","1,315",75
22312 Industrial instrument technicians and mechanics,145,135,15
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",445,430,15
3 Health occupations,"48,825","8,345","40,480"
30 Specialized middle management occupations in health care,"1,090",215,875
300 Specialized middle management occupations in health care,"1,090",215,875
3001 Managers in health care,"1,090",215,875
30010 Managers in health care,"1,090",215,875
31 Professional occupations in health,"20,900","4,150","16,755"
311 Health treating and consultation services professionals,"6,255","2,580","3,680"
3110 Physicians and veterinarians,"3,485","1,830","1,655"
31100 Specialists in clinical and laboratory medicine,"1,230",655,575
31101 Specialists in surgery,410,320,90
31102 General practitioners and family physicians,"1,515",755,760
31103 Veterinarians,330,100,235
"3111 Dentists, optometrists and audiologists","1,090",410,680
31110 Dentists,595,300,290
31111 Optometrists,165,80,85
31112 Audiologists and speech-language pathologists,330,30,295
3112 Pharmacists and dietitians,"1,685",335,"1,345"
31120 Pharmacists,"1,245",325,920
31121 Dietitians and nutritionists,435,10,425
312 Therapy and assessment professionals,"2,545",635,"1,910"
3120 Therapy and assessment professionals,"2,545",635,"1,910"
31200 Psychologists,610,100,505
31201 Chiropractors,235,140,105
31202 Physiotherapists,820,250,570
31203 Occupational therapists,455,45,405
31204 Kinesiologists and other professional occupations in therapy and assessment,295,70,220
31209 Other professional occupations in health diagnosing and treating,130,25,105
313 Nursing and allied health professionals,"12,095",935,"11,160"
3130 Nursing and allied health professionals,"12,095",935,"11,160"
31300 Nursing coordinators and supervisors,505,30,480
31301 Registered nurses and registered psychiatric nurses,"11,245",880,"10,360"
31302 Nurse practitioners,235,15,220
"31303 Physician assistants, midwives and allied health professionals",115,10,105
32 Technical occupations in health,"10,980","1,995","8,980"
321 Technical occupations in health (except practitioners of natural healing),"9,410","1,795","7,620"
3210 Technical occupations in therapy and assessment,"6,070","1,320","4,745"
32100 Opticians,280,100,180
32101 Licensed practical nurses,"3,075",170,"2,905"
32102 Paramedical occupations,"1,220",815,405
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",360,90,265
32104 Animal health technologists and veterinary technicians,705,55,650
32109 Other technical occupations in therapy and assessment,440,90,345
3211 Technical occupations in dental health care,990,110,880
32110 Denturists,55,25,25
32111 Dental hygienists and dental therapists,775,20,755
32112 Dental technologists and technicians,165,70,95
3212 Medical technologists and technicians,"2,355",360,"1,995"
32120 Medical laboratory technologists,735,110,625
32121 Medical radiation technologists,525,105,420
32122 Medical sonographers,160,0,155
32123 Cardiology technologists and electrophysiological diagnostic technologists,90,10,80
32124 Pharmacy technicians,700,55,645
32129 Other medical technologists and technicians,145,75,70
322 Practitioners of natural healing,"1,565",205,"1,360"
3220 Practitioners of natural healing,"1,565",205,"1,360"
32200 Traditional Chinese medicine practitioners and acupuncturists,140,25,110
32201 Massage therapists,"1,260",160,"1,100"
32209 Other practitioners of natural healing,170,10,160
33 Assisting occupations in support of health services,"15,855","1,980","13,870"
331 Assisting occupations in support of health services,"15,855","1,980","13,870"
3310 Assisting occupations in support of health services,"15,855","1,980","13,870"
33100 Dental assistants and dental laboratory assistants,880,15,865
33101 Medical laboratory assistants and related technical occupations,655,125,525
"33102 Nurse aides, orderlies and patient service associates","12,110","1,465","10,650"
33103 Pharmacy technical assistants and pharmacy assistants,"1,000",115,880
33109 Other assisting occupations in support of health services,"1,215",260,955
"4 Occupations in education, law and social, community and government services","73,205","26,255","46,955"
"40 Managers in public administration, in education and social and community services and in public protection services","5,520","3,000","2,515"
"400 Managers in public administration, in education and social and community services and in public protection services","5,520","3,000","2,515"
4001 Managers in public administration,835,375,455
40010 Government managers - health and social policy development and program administration,255,50,200
"40011 Government managers - economic analysis, policy development and program administration",355,210,145
40012 Government managers - education policy development and program administration,85,25,60
40019 Other managers in public administration,140,90,50
4002 Managers in education,"1,585",585,"1,000"
40020 Administrators - post-secondary education and vocational training,700,245,455
40021 School principals and administrators of elementary and secondary education,880,340,545
"4003 Managers in social, community and correctional services",965,215,750
"40030 Managers in social, community and correctional services",965,215,750
4004 Managers in public protection services,"2,140","1,825",310
40040 Commissioned police officers and related occupations in public protection services,45,30,15
40041 Fire chiefs and senior firefighting officers,55,55,0
40042 Commissioned officers of the Canadian Armed Forces,"2,035","1,735",300
"41 Professional occupations in law, education, social, community and government services","35,665","12,495","23,165"
