Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21110 Biologists and related scientists,"1,095",545,550
21111 Forestry professionals,50,30,20
"21112 Agricultural representatives, consultants and specialists","1,190",595,600
2112 Public and environmental health and safety professionals,750,410,335
21120 Public and environmental health and safety professionals,750,410,335
212 Professional occupations in applied sciences (except engineering),"7,415","5,445","1,970"
"2120 Architects, urban planners and land surveyors",715,495,220
21200 Architects,160,100,55
21201 Landscape architects,35,20,15
21202 Urban and land use planners,375,235,140
21203 Land surveyors,150,145,10
"2121 Mathematicians, statisticians, actuaries and data scientists",335,210,125
"21210 Mathematicians, statisticians and actuaries",175,95,85
21211 Data scientists,155,115,45
2122 Computer and information systems professionals,"3,110","2,220",885
21220 Cybersecurity specialists,160,130,35
21221 Business systems specialists,430,235,195
21222 Information systems specialists,"2,170","1,650",520
21223 Database analysts and data administrators,340,205,135
"2123 Computer, software and Web designers and developers","3,260","2,520",740
21230 Computer systems developers and programmers,595,430,160
21231 Software engineers and designers,600,530,75
21232 Software developers and programmers,"1,235",990,240
21233 Web designers,175,85,95
21234 Web developers and programmers,660,490,170
213 Professional occupations in engineering,"5,035","4,150",885
2130 Civil and mechanical engineers,"2,750","2,295",455
21300 Civil engineers,"1,740","1,385",355
21301 Mechanical engineers,"1,015",910,105
"2131 Electrical, electronics and computer engineers","1,150",980,170
21310 Electrical and electronics engineers,895,750,145
21311 Computer engineers (except software engineers and designers),255,225,25
2132 Manufacturing and processing engineers,555,425,130
21320 Chemical engineers,250,175,65
21321 Industrial and manufacturing engineers,275,220,55
21322 Metallurgical and materials engineers,35,30,10
2133 Natural resources engineers,500,400,95
21330 Mining engineers,180,135,45
21331 Geological engineers,135,110,20
21332 Petroleum engineers,185,150,30
2139 Other engineers,75,50,25
21390 Aerospace engineers,0,0,0
21399 Other professional engineers,75,45,25
22 Technical occupations related to natural and applied sciences,"13,680","11,045","2,635"
221 Technical occupations related to natural sciences,"1,970","1,255",715
2210 Technical occupations in physical sciences,600,390,215
22100 Chemical technologists and technicians,245,105,145
22101 Geological and mineral technologists and technicians,360,290,75
2211 Technical occupations in life sciences,"1,370",865,505
22110 Biological technologists and technicians,410,205,205
22111 Agricultural and fish products inspectors,250,155,95
22112 Forestry technologists and technicians,55,45,15
22113 Conservation and fishery officers,155,120,35
22114 Landscape and horticulture technicians and specialists,495,345,150
222 Technical occupations related to applied sciences (except engineering),"6,100","4,650","1,450"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,425","1,000",430
22210 Architectural technologists and technicians,305,210,95
22211 Industrial designers,85,50,35
22212 Drafting technologists and technicians,720,500,220
22213 Land survey technologists and technicians,105,105,0
22214 Technical occupations in geomatics and meteorology,210,135,80
2222 Technical occupations in computer and information systems,"2,790","2,215",570
22220 Computer network and web technicians,"1,435","1,210",230
22221 User support technicians,"1,265",940,320
22222 Information systems testing technicians,90,70,20
2223 Technical inspectors and regulatory officers,"1,885","1,430",455
22230 Non-destructive testers and inspectors,350,310,35
22231 Engineering inspectors and regulatory officers,175,140,40
22232 Occupational health and safety specialists,710,450,260
22233 Construction inspectors,650,530,120
223 Technical occupations related to engineering,"5,610","5,145",470
"2230 Technical occupations in civil, mechanical and industrial engineering","2,065","1,815",250
22300 Civil engineering technologists and technicians,675,550,125
22301 Mechanical engineering technologists and technicians,570,535,35
22302 Industrial engineering and manufacturing technologists and technicians,235,195,40
22303 Construction estimators,595,535,55
2231 Technical occupations in electronics and electrical engineering,"3,545","3,330",215
22310 Electrical and electronics engineering technologists and technicians,"1,005",915,95
22311 Electronic service technicians (household and business equipment),"1,905","1,815",95
22312 Industrial instrument technicians and mechanics,560,540,25
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",70,65,0
3 Health occupations,"53,175","8,960","44,215"
30 Specialized middle management occupations in health care,"1,330",310,"1,020"
300 Specialized middle management occupations in health care,"1,330",310,"1,020"
3001 Managers in health care,"1,330",310,"1,020"
30010 Managers in health care,"1,330",310,"1,020"
31 Professional occupations in health,"22,630","4,605","18,025"
311 Health treating and consultation services professionals,"6,595","2,875","3,720"
3110 Physicians and veterinarians,"3,430","1,875","1,560"
31100 Specialists in clinical and laboratory medicine,"1,040",615,430
31101 Specialists in surgery,340,225,115
31102 General practitioners and family physicians,"1,580",885,695
31103 Veterinarians,475,150,325
"3111 Dentists, optometrists and audiologists","1,195",450,750
31110 Dentists,535,325,210
31111 Optometrists,205,100,105
31112 Audiologists and speech-language pathologists,460,25,430
3112 Pharmacists and dietitians,"1,970",550,"1,420"
31120 Pharmacists,"1,655",540,"1,120"
31121 Dietitians and nutritionists,310,15,295
312 Therapy and assessment professionals,"2,310",635,"1,670"
3120 Therapy and assessment professionals,"2,310",635,"1,670"
31200 Psychologists,480,125,355
31201 Chiropractors,265,145,115
31202 Physiotherapists,845,230,615
31203 Occupational therapists,345,35,310
31204 Kinesiologists and other professional occupations in therapy and assessment,280,65,215
31209 Other professional occupations in health diagnosing and treating,95,35,60
313 Nursing and allied health professionals,"13,730","1,095","12,635"
3130 Nursing and allied health professionals,"13,730","1,095","12,635"
31300 Nursing coordinators and supervisors,345,25,320
31301 Registered nurses and registered psychiatric nurses,"13,125","1,025","12,100"
31302 Nurse practitioners,215,25,185
"31303 Physician assistants, midwives and allied health professionals",45,15,30
32 Technical occupations in health,"10,820","1,910","8,910"
321 Technical occupations in health (except practitioners of natural healing),"8,990","1,640","7,355"
3210 Technical occupations in therapy and assessment,"5,170","1,055","4,120"
32100 Opticians,275,30,245
32101 Licensed practical nurses,"2,615",170,"2,450"
32102 Paramedical occupations,"1,080",645,435
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",255,75,185
32104 Animal health technologists and veterinary technicians,625,80,545
32109 Other technical occupations in therapy and assessment,310,50,260
3211 Technical occupations in dental health care,"1,010",185,825
32110 Denturists,90,65,25
32111 Dental hygienists and dental therapists,750,30,715
32112 Dental technologists and technicians,175,90,85
3212 Medical technologists and technicians,"2,815",400,"2,415"
32120 Medical laboratory technologists,875,130,745
32121 Medical radiation technologists,805,110,695
32122 Medical sonographers,205,20,190
32123 Cardiology technologists and electrophysiological diagnostic technologists,100,10,85
32124 Pharmacy technicians,740,90,650
32129 Other medical technologists and technicians,80,35,45
322 Practitioners of natural healing,"1,835",275,"1,555"
3220 Practitioners of natural healing,"1,835",275,"1,555"
32200 Traditional Chinese medicine practitioners and acupuncturists,60,20,45
32201 Massage therapists,"1,640",250,"1,390"
32209 Other practitioners of natural healing,130,0,120
33 Assisting occupations in support of health services,"18,390","2,130","16,265"
331 Assisting occupations in support of health services,"18,390","2,130","16,265"
3310 Assisting occupations in support of health services,"18,390","2,130","16,265"
33100 Dental assistants and dental laboratory assistants,"1,235",35,"1,195"
33101 Medical laboratory assistants and related technical occupations,620,75,545
"33102 Nurse aides, orderlies and patient service associates","14,285","1,715","12,570"
33103 Pharmacy technical assistants and pharmacy assistants,985,135,845
33109 Other assisting occupations in support of health services,"1,270",165,"1,105"
"4 Occupations in education, law and social, community and government services","77,825","24,395","53,430"
"40 Managers in public administration, in education and social and community services and in public protection services","4,450","1,855","2,600"
"400 Managers in public administration, in education and social and community services and in public protection services","4,450","1,855","2,600"
4001 Managers in public administration,795,410,385
40010 Government managers - health and social policy development and program administration,230,65,165
"40011 Government managers - economic analysis, policy development and program administration",280,160,120
40012 Government managers - education policy development and program administration,120,60,55
40019 Other managers in public administration,165,125,40
4002 Managers in education,"1,935",745,"1,195"
40020 Administrators - post-secondary education and vocational training,550,160,390
40021 School principals and administrators of elementary and secondary education,"1,390",580,810
"4003 Managers in social, community and correctional services","1,225",260,960
"40030 Managers in social, community and correctional services","1,225",260,960
4004 Managers in public protection services,495,435,65
40040 Commissioned police officers and related occupations in public protection services,45,35,10
40041 Fire chiefs and senior firefighting officers,65,65,0
40042 Commissioned officers of the Canadian Armed Forces,385,335,50
"41 Professional occupations in law, education, social, community and government services","39,100","13,295","25,810"
411 Professional occupations in law,"2,100","1,265",840
"4110 Judges, lawyers and Quebec notaries","2,100","1,265",840
41100 Judges,130,85,40
41101 Lawyers and Quebec notaries,"1,975","1,175",800
412 Professional occupations in education services,"24,810","7,910","16,900"
4120 University professors and post-secondary assistants,"5,465","2,665","2,805"
41200 University professors and lecturers,"2,435","1,375","1,065"
41201 Post-secondary teaching and research assistants,"3,035","1,290","1,740"
4121 College and other vocational instructors,"2,430","1,110","1,325"
41210 College and other vocational instructors,"2,430","1,110","1,325"
"4122 Secondary, elementary and kindergarten school teachers","16,910","4,140","12,765"
41220 Secondary school teachers,"5,090","2,270","2,820"
