Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
21232 Software developers and programmers,0,0,0
21233 Web designers,0,0,0
21234 Web developers and programmers,0,0,0
213 Professional occupations in engineering,20,15,10
2130 Civil and mechanical engineers,15,10,10
21300 Civil engineers,10,10,10
21301 Mechanical engineers,10,10,0
"2131 Electrical, electronics and computer engineers",0,0,0
21310 Electrical and electronics engineers,0,0,0
21311 Computer engineers (except software engineers and designers),10,10,0
2132 Manufacturing and processing engineers,0,0,0
21320 Chemical engineers,0,0,0
21321 Industrial and manufacturing engineers,0,0,0
21322 Metallurgical and materials engineers,0,0,0
2133 Natural resources engineers,0,0,0
21330 Mining engineers,0,0,0
21331 Geological engineers,0,0,0
21332 Petroleum engineers,0,0,0
2139 Other engineers,0,0,0
21390 Aerospace engineers,0,0,0
21399 Other professional engineers,0,0,0
22 Technical occupations related to natural and applied sciences,235,200,40
221 Technical occupations related to natural sciences,75,65,15
2210 Technical occupations in physical sciences,0,0,0
22100 Chemical technologists and technicians,0,0,0
22101 Geological and mineral technologists and technicians,0,0,0
2211 Technical occupations in life sciences,75,60,15
22110 Biological technologists and technicians,25,20,10
22111 Agricultural and fish products inspectors,0,0,0
22112 Forestry technologists and technicians,0,0,0
22113 Conservation and fishery officers,45,35,10
22114 Landscape and horticulture technicians and specialists,0,0,0
222 Technical occupations related to applied sciences (except engineering),115,95,20
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",40,30,10
22210 Architectural technologists and technicians,0,0,0
22211 Industrial designers,0,0,0
22212 Drafting technologists and technicians,10,0,0
22213 Land survey technologists and technicians,0,0,0
22214 Technical occupations in geomatics and meteorology,40,30,10
2222 Technical occupations in computer and information systems,55,50,0
22220 Computer network and web technicians,20,20,0
22221 User support technicians,30,30,0
22222 Information systems testing technicians,0,0,0
2223 Technical inspectors and regulatory officers,20,15,10
22230 Non-destructive testers and inspectors,0,0,0
22231 Engineering inspectors and regulatory officers,10,0,0
22232 Occupational health and safety specialists,0,10,0
22233 Construction inspectors,10,10,0
223 Technical occupations related to engineering,45,35,10
"2230 Technical occupations in civil, mechanical and industrial engineering",10,10,0
22300 Civil engineering technologists and technicians,15,10,0
22301 Mechanical engineering technologists and technicians,10,10,0
22302 Industrial engineering and manufacturing technologists and technicians,0,0,0
22303 Construction estimators,0,0,0
2231 Technical occupations in electronics and electrical engineering,35,25,0
22310 Electrical and electronics engineering technologists and technicians,15,10,0
22311 Electronic service technicians (household and business equipment),15,10,10
22312 Industrial instrument technicians and mechanics,0,0,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0
3 Health occupations,585,90,495
30 Specialized middle management occupations in health care,20,10,20
300 Specialized middle management occupations in health care,20,10,20
3001 Managers in health care,20,10,20
30010 Managers in health care,20,10,20
31 Professional occupations in health,235,45,190
311 Health treating and consultation services professionals,35,15,20
3110 Physicians and veterinarians,25,0,15
31100 Specialists in clinical and laboratory medicine,0,0,0
31101 Specialists in surgery,0,0,0
31102 General practitioners and family physicians,15,0,10
31103 Veterinarians,0,0,0
"3111 Dentists, optometrists and audiologists",10,0,0
31110 Dentists,0,0,0
31111 Optometrists,0,0,0
31112 Audiologists and speech-language pathologists,0,0,0
